seed,scenario,cell_id,world,policy,ablation,delay,t_irrev,R,containment_strength,capture_threshold,mutation_rate,adversarial_pressure,catastrophe_severity,initial_exploit_mass_scale,initial_resource_concentration_scale,extraction_payoff_scale,interception_payoff_scale,harm_payoff_scale,exploit_mutation_bias,action_channel_cost_scale,fixed_mi_claim,permanence,collapse,capture_index,strict_zero_capture,resource_hhi,max_lineage_share,exploitative_strategy_mass,cooperative_strategy_mass,strategy_diversity,response_diversity,welfare,minimum_zone_welfare,neighbor_harm_volume,aid_interception_volume,extraction_volume,deception_level,catastrophe_recovery_rate,mutation_survival,containment_cost,false_containment,delayed_consequence_true_harm_mi,irreversible_failures,containment_events,mutation_events,selection_delta_seen,initial_exploitative_strategy_mass,exploit_payoff_total,coop_payoff_total,no_strategy_observation_asserted,capture_component_resource_concentration,capture_component_exploit_mass,capture_component_neighbor_harm,capture_component_aid_interception,capture_component_coop_loss
9620,reproduction_original,W6_action_channel_containment,W6_mutation_corridor,action_channel_containment,full,2,8,4.0,0.62,0.5,0.18,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0,1.0,0.0,0.39499643685721686,0.0,0.13207870979087474,0.1049203874283289,0.14754024847503597,0.8524597515232086,0.251343795116528,0.9742776548120796,0.9441470989927068,0.8868460693372127,0.4601363073331721,0.8478603202270016,1.0629583936675397,0.11423816381249748,1.0,688,0.007357893330174565,0.0,0.023287258793322198,0,74,688,1.0,0.04709308042637907,118.46386661452321,1329.8071300007773,1.0,0.059907424799324684,0.25437973875006203,1.0,0.7372698436756536,0.0
9621,reproduction_original,W6_action_channel_containment,W6_mutation_corridor,action_channel_containment,full,2,8,4.0,0.62,0.5,0.18,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0,1.0,0.0,0.44288857340791504,0.0,0.18402163343485756,0.20762067618939098,0.17657420574006738,0.8234257942582066,0.23749069872975465,0.9683128273756366,0.944440007421648,0.8574332003416428,0.4492722953620939,0.8572589303574913,1.0161837149831028,0.12554420929314225,1.0,602,0.007799781313797849,0.0,0.02183059789352197,0,80,602,1.0,0.0478973877549431,87.97955667851564,1291.8976144119338,1.0,0.208315778067847,0.3044382857587369,1.0,0.7454425481369491,0.0
9622,reproduction_original,W6_action_channel_containment,W6_mutation_corridor,action_channel_containment,full,2,8,4.0,0.62,0.5,0.18,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0,1.0,0.0,0.4280591921922098,0.0,0.15240314643311562,0.1136854683663577,0.19024636861494826,0.8097536313816984,0.26789710866843197,0.9749265899600871,0.9828241201151222,0.9615271997883275,0.4383215174530048,0.8453352844405831,1.08569040746193,0.12175702551678766,1.0,643,0.009292476879542315,0.0,0.017195950621956994,1,83,643,1.0,0.0904013983253174,9.101368560936754,1132.9277922188583,1.0,0.11797724377715575,0.32801098037060045,1.0,0.7350741603831158,0.0
9623,reproduction_original,W6_action_channel_containment,W6_mutation_corridor,action_channel_containment,full,2,8,4.0,0.62,0.5,0.18,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0,1.0,0.0,0.4202484872777088,0.0,0.13525210008245436,0.10326532663423904,0.18488935843711968,0.815110641560141,0.28022756607978666,0.9698173014925734,0.9583231295165001,0.8958115090384763,0.46369400640642316,0.8879320176506674,1.1146154811359288,0.13130410331327408,1.0,530,0.008290319970387858,0.0,0.016285886220860052,0,82,530,1.0,0.07463803057824442,43.25526814742145,1245.667993885667,1.0,0.06897425420383789,0.3187747559260684,1.0,0.7721147979571021,0.0
9624,reproduction_original,W6_action_channel_containment,W6_mutation_corridor,action_channel_containment,full,2,8,4.0,0.62,0.5,0.18,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0,1.0,0.0,0.43985329209143353,0.0,0.18508060761017672,0.16490642997342123,0.17025286445385962,0.8297471355435488,0.3067458752343682,0.9652283171026771,0.9683415833888365,0.9274334458177996,0.45587717501876057,0.8522814219547548,1.1399597043277134,0.12437171078497723,1.0,609,0.00861760219678443,0.0,0.013989268991867749,0,80,609,1.0,0.06972858500860729,-17.072881093587533,1164.5669308658867,1.0,0.21134141856875893,0.29353942147217177,1.0,0.7411142799606564,0.0
9800,seed_robustness,W6_action_channel_containment,W6_mutation_corridor,action_channel_containment,full,2,8,4.0,0.62,0.5,0.18,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0,1.0,0.0,0.4412624218210339,0.0,0.12034185922670666,0.0715918926020551,0.2517304124737151,0.7482695875244291,0.257263692788708,0.9658274091881773,0.9037661854405421,0.8451550262660191,0.47364121430428957,0.8735032811116641,1.1345767775670093,0.12389170906209451,1.0,511,0.0071586952338963065,0.0,0.023024825247718626,0,67,511,1.0,0.056178507822570015,197.21302415658315,1295.8184704584255,1.0,0.02637356604455874,0.4340179525408881,1.0,0.7595680705318819,0.0
9801,seed_robustness,W6_action_channel_containment,W6_mutation_corridor,action_channel_containment,full,2,8,4.0,0.62,0.5,0.18,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0,1.0,0.0,0.4418495668356621,0.0,0.1515974793434485,0.12800843739339912,0.215892641475394,0.7841073585224855,0.21697252325163058,0.9736830877928033,0.9362623521992823,0.7791498926529075,0.4600520565815403,0.8600233500523886,1.0875488839325191,0.12490595103712103,1.0,632,0.008243194801911838,0.0,0.03207675153574695,0,81,632,1.0,0.060952001140975536,-2.6578653014055815,1231.5821489556097,1.0,0.11567533780667828,0.3722286921989552,1.0,0.7478463913499032,0.0
9802,seed_robustness,W6_action_channel_containment,W6_mutation_corridor,action_channel_containment,full,2,8,4.0,0.62,0.5,0.18,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0,1.0,0.0,0.40858491562176147,0.0,0.13918561774671842,0.11546423423532533,0.1794619067136453,0.8205380932839758,0.26620897010051964,0.969700041271735,0.9676454675806695,0.909754620948194,0.4736836986132855,0.7996433025143965,1.053474369382816,0.12554073825193857,1.0,609,0.00821763413194982,0.0,0.014648780146197662,0,81,609,1.0,0.06505608519103132,64.58017617006783,1291.3134465805872,1.0,0.08021287610173519,0.3094170805407678,1.0,0.6953420021864318,0.0
9803,seed_robustness,W6_action_channel_containment,W6_mutation_corridor,action_channel_containment,full,2,8,4.0,0.62,0.5,0.18,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0,1.0,0.0,0.4474978859254428,0.0,0.1544888197427945,0.15073864744920956,0.21058172672980965,0.7894182732680306,0.28376108864345895,0.9680600510595662,0.9453400923212466,0.8839818877572988,0.4549618012096898,0.9090501117317519,1.0783121239360598,0.1269518750003216,1.0,598,0.007968029069340393,0.0,0.01856093542404593,0,77,598,1.0,0.0616155477958295,26.469650904021776,1219.1052087199535,1.0,0.12393631037623826,0.3630719426376029,1.0,0.7904783580276104,0.0
9804,seed_robustness,W6_action_channel_containment,W6_mutation_corridor,action_channel_containment,full,2,8,4.0,0.62,0.5,0.18,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0,1.0,0.0,0.4149333623668483,0.0,0.12723213067493594,0.10013545858550793,0.20243073220622554,0.7975692677916154,0.27228422760609416,0.9740497352564783,0.9541322477708692,0.8971650110151798,0.4628238437326242,0.8209080957012626,1.0006689598423342,0.10700485517067432,1.0,512,0.007142022303110793,0.0,0.016554392410745335,0,56,512,1.0,0.061007513331811355,57.84131891783952,1351.4372011222433,1.0,0.04606005589664239,0.34901850380383714,1.0,0.7138331266967501,0.0
9805,seed_robustness,W6_action_channel_containment,W6_mutation_corridor,action_channel_containment,full,2,8,4.0,0.62,0.5,0.18,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0,1.0,0.0,0.4143787865445505,0.0,0.12045004692948146,0.08729478851949528,0.22042610405312718,0.7795738959445209,0.3023344291621578,0.9719111022321949,0.9676121801486709,0.911550492219158,0.47572997212002827,0.7827359720870345,1.0153490484986163,0.11900821025573036,1.0,562,0.007778084166802553,0.0,0.019694357725551927,0,72,562,1.0,0.0675204271611322,86.89058036841999,1309.757846979163,1.0,0.02668267376677243,0.38004500698815036,1.0,0.6806399757278562,0.0
9806,seed_robustness,W6_action_channel_containment,W6_mutation_corridor,action_channel_containment,full,2,8,4.0,0.62,0.5,0.18,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0,1.0,0.0,0.41388056515829125,0.0,0.13953986416342096,0.1236890089134949,0.18526715836550725,0.8147328416330142,0.21865751958472465,0.9691746923500921,0.9171105978347673,0.7715060654251307,0.47005380932627744,0.8170500481285543,1.0673075554472475,0.13624774637724657,1.0,696,0.006792936055546244,0.0,0.01755815725490969,0,63,696,1.0,0.041738755282795095,181.8403602155173,1410.2042117836136,1.0,0.0812250087208853,0.31942613511294354,1.0,0.7104783027204821,0.0
9807,seed_robustness,W6_action_channel_containment,W6_mutation_corridor,action_channel_containment,full,2,8,4.0,0.62,0.5,0.18,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0,1.0,0.0,0.41250969018067324,0.0,0.16311389835641824,0.11673568637911566,0.16306587174115206,0.8369341282559688,0.2752379617543732,0.9672571768719398,0.9835867482663763,0.9516280518346436,0.46281565641364997,0.7751058925147442,1.0671132296705628,0.12032797137603486,1.0,599,0.009126048331198013,0.0,0.015893545280170184,0,88,599,1.0,0.07626419363614526,-36.3199068554209,1244.3794430411297,1.0,0.14857939212944896,0.28114805472612425,1.0,0.6740051239258645,0.0
9808,seed_robustness,W6_action_channel_containment,W6_mutation_corridor,action_channel_containment,full,2,8,4.0,0.62,0.5,0.18,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0,1.0,0.0,0.4111839129202788,0.0,0.15086052698024388,0.15318515683470793,0.1594770152638498,0.8405229847339483,0.2913531033553037,0.967106481187145,0.9630826967470986,0.9120474118020696,0.45947145317361787,0.8372740744291183,1.104142798778339,0.12845228275499854,1.0,575,0.008036256444977125,0.0,0.011352934458344743,0,75,575,1.0,0.059156667539456226,62.30103692642233,1212.525760952637,1.0,0.11356975962609366,0.27496037114456867,1.0,0.7280644125470594,0.0
9809,seed_robustness,W6_action_channel_containment,W6_mutation_corridor,action_channel_containment,full,2,8,4.0,0.62,0.5,0.18,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0,1.0,0.0,0.42139521322348455,0.0,0.14921876746082652,0.10384347459480667,0.16647811192521403,0.8335218880727783,0.2711513206233891,0.9711576332120673,0.9589706210664095,0.8839704744585039,0.43718493857849866,0.897560322505537,1.1080659107406365,0.1330849684816498,1.0,620,0.008030196945043753,0.0,0.013687565107324839,0,83,620,1.0,0.05465066105165811,16.204472591080986,1351.3889483500038,1.0,0.10887901814204404,0.28703122745726556,1.0,0.7804872369613366,0.0
9810,seed_robustness,W6_action_channel_containment,W6_mutation_corridor,action_channel_containment,full,2,8,4.0,0.62,0.5,0.18,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0,1.0,0.0,0.43478151469608406,0.0,0.209872820024977,0.20047942537386068,0.12931058312669214,0.87068941687175,0.3071607436923758,0.9735350427474536,0.9602963005568417,0.8849902198101464,0.443601036079842,0.8454564440526086,1.0254421498738215,0.11751753723049536,1.0,611,0.007512585812889232,0.0,0.01612387591161365,0,66,611,1.0,0.04117007419558036,70.81696756511602,1243.223135678768,1.0,0.28217631118247405,0.2229492812529175,1.0,0.7351795165674858,0.0
9811,seed_robustness,W6_action_channel_containment,W6_mutation_corridor,action_channel_containment,full,2,8,4.0,0.62,0.5,0.18,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0,1.0,0.0,0.41417603273686276,0.0,0.14668706202451567,0.1594488177047181,0.16167968476917635,0.8383203152288887,0.26016826190541364,0.9709332383919053,0.9665563170062264,0.9086047468036714,0.441573270295296,0.872173377073939,1.0436966589069565,0.11398603729574949,1.0,570,0.007159841392956892,0.0,0.020515039812932637,0,61,570,1.0,0.0524909805120883,22.94835885329185,1297.9545225718075,1.0,0.10164557403829877,0.2787580771882351,1.0,0.758411632238208,0.0
9812,seed_robustness,W6_action_channel_containment,W6_mutation_corridor,action_channel_containment,full,2,8,4.0,0.62,0.5,0.18,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0,1.0,0.0,0.4587424403789392,0.0,0.2242075624029155,0.2098460627381038,0.16537564302385607,0.8346243569743096,0.2678579695329078,0.970648457216238,0.9546351156159046,0.9222598199898074,0.4566491657068502,0.8265948924504231,1.076453841577584,0.12171197041409834,1.0,489,0.008364615033615248,0.0,0.023339617351116126,0,80,489,1.0,0.05010138433843057,65.368071849786,1232.4216202413008,1.0,0.32313271797658405,0.28513041900664843,1.0,0.718778167348194,0.0
