world,policy,delay,t_irrev,R,target_mi,mi_tolerance,diversity_floor,channel_noise,n,permanence_probability,permanence_wilson_lo,permanence_wilson_hi,collapse_probability,capture_probability,irreversible_zone_failures_mean,time_to_first_irreversible_failure_mean,fraction_irreversible_zones_mean,mean_welfare,adversarial_share,total_diversity,non_adv_diversity,adv_diversity,last_aid_updates_nonzero,neighbor_metrics_nonzero,signal_truth_corr,mutual_information
T1_proxy_trap,no_diversity_floor,2,7,3.5,0.25,0.05999999999999999,0.35,0.12,30,0.0,0.0,0.113517091390478,0.0,1.0,3.0,7.866666666666666,0.3333333333333333,0.6441224077596146,0.6824894735080894,0.2197041171784827,0.3400874596991984,0.49883576692886655,1.0,1.0,0.9748120807359949,0.8566691483842919
T2_sag_ambiguity_trap,feature_proxy,2,7,3.5,0.25,0.05999999999999999,0.0,0.12,30,0.0,0.0,0.113517091390478,0.0,1.0,2.0,6.0,0.2222222222222222,0.7775737637962272,0.24580646330232347,0.24858678170336238,0.42184509805510617,0.6387408093503276,1.0,1.0,0.9690715815402723,0.6197405368867791
T2_sag_ambiguity_trap,always_cut_sagging,2,7,3.5,0.25,0.05999999999999999,0.0,0.12,30,0.0,0.0,0.113517091390478,1.0,1.0,4.0,6.0,0.4444444444444444,0.5627779847187473,0.07388586491201457,0.2911886036087535,0.48667723431417387,0.6901166128938532,1.0,1.0,0.9777943798306222,0.9112164330934127
T2_sag_ambiguity_trap,always_aid_sagging,2,7,3.5,0.25,0.05999999999999999,0.0,0.12,30,0.0,0.0,0.113517091390478,0.0,1.0,2.0,6.0,0.2222222222222222,0.5302296091000369,0.6177611647482354,0.2988397469156376,0.3726043621160608,0.6199768249710994,1.0,1.0,0.9685658155976393,0.6144849897472652
T2_sag_ambiguity_trap,monoculture_optimizer,2,7,3.5,0.25,0.05999999999999999,0.35,0.12,30,0.0,0.0,0.113517091390478,0.0,1.0,2.0,6.0,0.2222222222222222,0.7802937276539086,0.09063981503358431,0.278002032076581,0.47649100935548283,0.6884102203959844,1.0,1.0,0.9680036850464657,0.6219263761870462
T2_sag_ambiguity_trap,self_consequence,2,7,3.5,0.25,0.05999999999999999,0.0,0.12,30,0.0,0.0,0.113517091390478,0.0,1.0,2.0,6.0,0.2222222222222222,0.7731606933231159,0.5184074251332751,0.2480985652143199,0.3752537176327763,0.6199768249710994,1.0,1.0,0.9693157526308624,0.6200655159253
T2_sag_ambiguity_trap,neighbor_consequence,2,7,3.5,0.25,0.05999999999999999,0.0,0.12,30,0.0,0.0,0.113517091390478,0.0,1.0,2.0,6.0,0.2222222222222222,0.7788673877931137,0.25393129607389503,0.24413528318319166,0.4175225878667192,0.637223528163196,1.0,1.0,0.9694479430019471,0.6229459856092457
T2_sag_ambiguity_trap,local_global_neighbor,2,7,3.5,0.25,0.05999999999999999,0.35,0.12,30,0.0,0.0,0.113517091390478,0.0,1.0,2.0,6.0,0.2222222222222222,0.7758841622614323,0.5064907248563882,0.2446150825623165,0.3799010941601994,0.6199777963370718,1.0,1.0,0.9695569483846349,0.621235161352292
T2_sag_ambiguity_trap,response_to_neighbor_aid,2,7,3.5,0.25,0.05999999999999999,0.0,0.12,30,0.0,0.0,0.113517091390478,0.0,1.0,2.0,6.0,0.2222222222222222,0.7781469153696567,0.4894612526520678,0.24509145511312413,0.38568211098429034,0.6210665473413617,1.0,1.0,0.969344483523117,0.6181576091583189
T2_sag_ambiguity_trap,diversity_all_types,2,7,3.5,0.25,0.05999999999999999,0.35,0.12,30,0.0,0.0,0.113517091390478,0.0,1.0,2.0,6.0,0.2222222222222222,0.7518453574385294,0.5206523503909833,0.39061033031862935,0.5036961341990709,0.8128002928813916,1.0,1.0,0.966568075541536,0.6212334651565893
T2_sag_ambiguity_trap,diversity_non_adversarial_only,2,7,3.5,0.25,0.05999999999999999,0.35,0.12,30,0.0,0.0,0.113517091390478,0.0,1.0,2.0,6.0,0.2222222222222222,0.6930675080896531,0.5361808827640381,0.2918886931886769,0.4189400077156424,0.6199768249710994,1.0,1.0,0.9694985367967156,0.6213452014911499
T2_sag_ambiguity_trap,no_diversity_floor,2,7,3.5,0.25,0.05999999999999999,0.35,0.12,30,0.0,0.0,0.113517091390478,0.0,1.0,2.0,6.0,0.2222222222222222,0.7413568182358438,0.5358081896440193,0.25476999345405815,0.3651837587754113,0.6199768249710994,1.0,1.0,0.9694667927184901,0.6209627471069621
T3_monoculture_trap,feature_proxy,2,7,3.5,0.25,0.05999999999999999,0.0,0.12,30,0.0,0.0,0.113517091390478,1.0,0.0,5.0,48.0,0.5555555555555556,0.44661202623968443,0.04709143599739052,0.4250339320611849,0.5179693631476375,0.0,1.0,1.0,0.8508405388696851,0.0
T3_monoculture_trap,always_cut_sagging,2,7,3.5,0.25,0.05999999999999999,0.0,0.12,30,0.0,0.0,0.113517091390478,1.0,0.0,5.0,48.0,0.5555555555555556,0.45046152894385727,0.020446046043702138,0.40874481339840635,0.46939435595622214,0.0,1.0,1.0,0.8653611276170653,0.0
T3_monoculture_trap,always_aid_sagging,2,7,3.5,0.25,0.05999999999999999,0.0,0.12,30,0.0,0.0,0.113517091390478,1.0,0.0,5.0,48.0,0.5555555555555556,0.23836539691472514,0.041607049528076,0.43962078793036513,0.5188384361145911,0.0,1.0,1.0,0.8608641818970586,0.0
T3_monoculture_trap,monoculture_optimizer,2,7,3.5,0.25,0.05999999999999999,0.35,0.12,30,0.0,0.0,0.113517091390478,1.0,0.0,5.0,48.0,0.5555555555555556,0.4505194684497869,0.02845887300308634,0.4081901133688272,0.4917145107819201,0.0,1.0,1.0,0.8546599771137194,0.0
T3_monoculture_trap,self_consequence,2,7,3.5,0.25,0.05999999999999999,0.0,0.12,30,0.0,0.0,0.113517091390478,1.0,0.0,5.0,48.0,0.5555555555555556,0.44645664193948303,0.03665024496791372,0.43461891746612963,0.508954353738576,0.0,1.0,1.0,0.8626738971341408,0.0
T3_monoculture_trap,neighbor_consequence,2,7,3.5,0.25,0.05999999999999999,0.0,0.12,30,0.0,0.0,0.113517091390478,1.0,0.0,5.0,48.0,0.5555555555555556,0.4470278159870353,0.032989108782914625,0.4290552568192073,0.5015543328205423,0.0,1.0,1.0,0.8631171149849037,0.0
T3_monoculture_trap,local_global_neighbor,2,7,3.5,0.25,0.05999999999999999,0.35,0.12,30,0.0,0.0,0.113517091390478,1.0,0.0,5.0,48.0,0.5555555555555556,0.446543086002246,0.04190635594706914,0.42727088152002995,0.5125590400992335,0.0,1.0,1.0,0.8558121640178064,0.0
T3_monoculture_trap,response_to_neighbor_aid,2,7,3.5,0.25,0.05999999999999999,0.0,0.12,30,0.0,0.0,0.113517091390478,1.0,0.0,5.0,48.0,0.5555555555555556,0.44667176246915796,0.03328924354901087,0.4276056736877614,0.5013038560708523,0.0,1.0,1.0,0.8624547222907384,0.0
T3_monoculture_trap,diversity_all_types,2,7,3.5,0.25,0.05999999999999999,0.35,0.12,30,0.9666666666666667,0.8332924860304112,0.9940915620051425,0.03333333333333333,0.0,0.3,86.0,0.03333333333333333,0.98706932255333,0.06514004251495017,0.5266520962620747,0.6321984675388169,0.5456515212909497,1.0,1.0,0.2864452059372111,0.0
T3_monoculture_trap,diversity_non_adversarial_only,2,7,3.5,0.25,0.05999999999999999,0.35,0.12,30,1.0,0.8864829086095221,1.0,0.0,0.0,0.0,90.0,0.0,0.99907205826044,0.01610969423356601,0.37134692874178715,0.6351856855828512,0.0,1.0,1.0,0.0351110286307127,0.0
T3_monoculture_trap,no_diversity_floor,2,7,3.5,0.25,0.05999999999999999,0.35,0.12,30,0.0,0.0,0.113517091390478,1.0,0.0,5.0,48.0,0.5555555555555556,0.44489645686228646,0.038068276303062525,0.4354690543858378,0.5111196287790634,0.0,1.0,1.0,0.862043958021763,0.0
FIXED_MI_DELAY,neighbor_consequence,1,8,8.0,0.13,0.029999999999999995,0.0,0.25,30,0.0,0.0,0.113517091390478,0.0,1.0,2.0,13.1,0.2222222222222222,0.776343485756202,0.2931660726995401,0.2299978202068546,0.33027446285147083,0.5844368550764345,1.0,1.0,0.4145961770334819,0.12820526239755134
FIXED_MI_DELAY,local_global_neighbor,1,8,8.0,0.13,0.029999999999999995,0.0,0.25,30,0.0,0.0,0.113517091390478,0.0,1.0,2.0,12.1,0.2222222222222222,0.7726159815386235,0.4960365230114093,0.23062777490460734,0.3105163776951282,0.5736393530888109,1.0,1.0,0.4165305028110974,0.1291841406167296
FIXED_MI_DELAY,response_to_neighbor_aid,1,8,8.0,0.13,0.029999999999999995,0.0,0.25,30,0.0,0.0,0.113517091390478,0.0,1.0,2.0,12.0,0.2222222222222222,0.7738400937480719,0.4653727686979836,0.22976850539967789,0.31297870789038457,0.5747698686346958,1.0,1.0,0.41762877301553064,0.12970520204106323
FIXED_MI_DELAY,neighbor_consequence,2,8,4.0,0.13,0.029999999999999995,0.0,0.25,30,0.0,0.0,0.113517091390478,0.0,1.0,2.0,13.466666666666667,0.2222222222222222,0.7762246552611168,0.2903124632426113,0.230139026195458,0.33047646701930844,0.584684689824636,1.0,1.0,0.41386662891401566,0.12782697472187
