seed,world,policy,delay,t_irrev,R,target_mi,mi_tolerance,adversarial_strength,catastrophe_severity,diversity_floor,channel_noise,permanence,collapse,capture,mean_welfare,min_welfare,adversarial_share,dove_share,total_diversity,non_adv_diversity,adv_diversity,irreversible_zone_failures,time_to_first_irreversible_failure,fraction_irreversible_zones,last_aid_updates_nonzero,neighbor_metrics_nonzero,signal_truth_corr,mutual_information
9224,T2_sag_ambiguity_trap,feature_proxy,2,7,3.5,0.25,0.06,0.7,0.55,0.0,0.12,0.0,0.0,1.0,0.7778560789128783,0.010464714150574372,0.26687530598215936,0.6822414760426511,0.24538355041041704,0.4175522170519427,0.6365823038184218,2,6,0.2222222222222222,1.0,1.0,0.9685056737170734,0.6539755098611858
9225,T2_sag_ambiguity_trap,feature_proxy,2,7,3.5,0.25,0.06,0.7,0.55,0.0,0.12,0.0,0.0,1.0,0.7590976594687836,0.0049834238332320665,0.22641539275783498,0.7233263268098122,0.251442798157161,0.4266113908350724,0.6399525736684984,2,6,0.2222222222222222,1.0,1.0,0.9680039614466489,0.6400719264521295
9226,T2_sag_ambiguity_trap,feature_proxy,2,7,3.5,0.25,0.06,0.7,0.55,0.0,0.12,0.0,0.0,1.0,0.778456762071358,0.01121670175733223,0.197307429704125,0.7509889890763256,0.24862439463143712,0.43077580874295196,0.6456452323383934,2,6,0.2222222222222222,1.0,1.0,0.968040489426807,0.5967216181936694
9227,T2_sag_ambiguity_trap,feature_proxy,2,7,3.5,0.25,0.06,0.7,0.55,0.0,0.12,0.0,0.0,1.0,0.7770657361273922,0.010896135772223252,0.23511858594565777,0.7150139396168135,0.24877689230845304,0.42252447423472844,0.6387834756769255,2,6,0.2222222222222222,1.0,1.0,0.9702379970315786,0.6195037201245233
9228,T2_sag_ambiguity_trap,feature_proxy,2,7,3.5,0.25,0.06,0.7,0.55,0.0,0.12,0.0,0.0,1.0,0.778949671490197,0.015636147950785703,0.24266564404671748,0.7058843931810045,0.2477161926126436,0.42253078092444385,0.6390385010429355,2,6,0.2222222222222222,1.0,1.0,0.9704557645419054,0.6577017192349311
9229,T2_sag_ambiguity_trap,feature_proxy,2,7,3.5,0.25,0.06,0.7,0.55,0.0,0.12,0.0,0.0,1.0,0.778963871561696,0.01572053064015861,0.18882104035775527,0.7592571086928394,0.24909254123307648,0.43278403023025624,0.6472881505299898,2,6,0.2222222222222222,1.0,1.0,0.9691344861126632,0.571974972094573
9200,T2_sag_ambiguity_trap,always_cut_sagging,2,7,3.5,0.25,0.06,0.7,0.55,0.0,0.12,0.0,1.0,1.0,0.5627779700564595,0.0,0.07388616971674633,0.8770502826707198,0.2911872855217397,0.4866755954961073,0.690116498188718,4,6,0.4444444444444444,1.0,1.0,0.9767847151009833,0.9280110037190958
9201,T2_sag_ambiguity_trap,always_cut_sagging,2,7,3.5,0.25,0.06,0.7,0.55,0.0,0.12,0.0,1.0,1.0,0.5627780009625991,0.0,0.07388909785775932,0.8770454062043782,0.2911903175187242,0.4866796310342496,0.6901165617421775,4,6,0.4444444444444444,1.0,1.0,0.9775071773610656,0.875815572111008
9202,T2_sag_ambiguity_trap,always_cut_sagging,2,7,3.5,0.25,0.06,0.7,0.55,0.0,0.12,0.0,1.0,1.0,0.5627779770136354,0.0,0.07389314579725224,0.8770387564462141,0.2911959270807308,0.4866871343797982,0.6901165168417641,4,6,0.4444444444444444,1.0,1.0,0.9776895508691525,0.9063876424915789
9203,T2_sag_ambiguity_trap,always_cut_sagging,2,7,3.5,0.25,0.06,0.7,0.55,0.0,0.12,0.0,1.0,1.0,0.5627780050814023,0.0,0.0738734853136887,0.8770707478364951,0.29117495816922423,0.48665856824643466,0.6901171442211244,4,6,0.4444444444444444,1.0,1.0,0.9781805611163792,0.9084264491492303
