class_id,M1_original_active,M1_original_score,M2_intervention_active,M2_intervention_score,M3_reuse_active,M3_reuse_score,M4_compression_active,M4_compression_score,M5_perturbation_centrality_active,M5_perturbation_centrality_score,M6_frequency_control_active,M6_frequency_control_score,M7_random_matched_active,M7_random_matched_score,active_metric_count
0c57eb6d78c86555,False,0.2235363666575475,True,1.0,False,0.0013062247143504715,True,7.8232947358178455,False,0.34820684874050534,True,0.206192082371738,True,0.6248182843659388,4
c53822f9dcb1c4e7,False,0.15761669491343372,True,1.0,False,1.957464823193663e-05,True,6.08589647411853,False,0.3833421419250377,True,0.12672221729096397,False,0.383402100119019,3
d53de0fdf9ed6571,False,0.30889828526219865,True,1.0,False,0.0013062247143504715,True,27.54117203464046,False,0.34820684874050534,True,0.48755836144150544,False,0.38666018861537976,3
dd24ab168765de64,False,0.2857524433026298,True,1.0,False,0.1819721247169429,True,8.007770049989134,False,0.4374430116781799,True,0.19330507722350437,False,0.5008129359642991,3
8a9616136ed4af33,False,0.14849404712362366,True,1.0,False,1.957464823193663e-05,True,4.373902605081162,False,0.3833421419250377,True,0.09665253861175219,False,0.16163268522669363,3
ba97020b93362854,False,0.16126642251843987,False,0.0,False,3.895139878651031e-05,True,20.327162382700937,False,0.08335086146278727,True,0.3200272945144683,False,0.5008129359642991,2
718129c8bed453b1,False,0.18900062859612374,True,1.0,False,0.0013062247143504715,True,2.8111924686192467,False,0.34820684874050534,True,0.09235687022900764,True,0.6248182843659388,4
1e565464cbc3b2f5,False,0.18834901089685163,True,1.0,False,0.0013062247143504715,True,2.7330446628393497,False,0.34820684874050534,True,0.09020903603763537,False,0.16228430292596577,3
89575e35be739026,False,0.14849404712362366,True,1.0,False,1.957464823193663e-05,True,4.36046511627907,False,0.3833421419250377,True,0.09665253861175219,False,0.5404617656055186,3
20275260b367c959,False,0.08893685789923161,False,0.0,False,3.895139878651031e-05,True,3.391472868217054,False,0.08335086146278727,True,0.0816176992721463,False,0.38470533551756336,2
a47e03a95d815b23,False,0.2864040610019019,True,1.0,False,0.1819721247169429,True,8.127648880678112,False,0.4374430116781799,True,0.19545291141487664,False,0.383402100119019,3
163cbdb6514059dd,False,0.22614283745463615,True,1.0,False,0.0013062247143504715,True,8.270896175926827,False,0.34820684874050534,True,0.2147834191372271,True,0.6216599625252344,4
91e598a8ba5ae552,False,0.2326590144473576,True,1.0,False,0.0013062247143504715,True,9.432470565340079,False,0.34820684874050534,True,0.23626176105094976,False,0.23036493886449733,3
e8c8be80f133ca5f,False,0.17404954467329461,True,0.4406779661016949,False,2.0501998117759093e-05,True,4.592011456679431,False,0.3322126157296615,True,0.08616989170956862,False,0.11982286835564922,3
bd1b3c44f26b54cb,False,0.2922686202953513,True,1.0,False,0.1819721247169429,True,9.237122364703326,False,0.4374430116781799,True,0.2147834191372271,False,0.1467565653725437,3
fd17b16a28c62025,False,0.18900062859612374,True,1.0,False,0.0013062247143504715,True,2.8111924686192467,False,0.34820684874050534,True,0.09235687022900764,False,0.22841008576668087,3
14b5464d618b7780,False,0.18087487075434494,True,0.32941176470588235,False,2.0501998117759093e-05,True,7.154436062098635,False,0.2988327553109177,True,0.12893218533641043,False,0.14781676124212179,3
cc8c966d1f92cbfd,False,0.10587891808030743,False,0.0,False,3.895139878651031e-05,True,6.419148646810825,False,0.08335086146278727,True,0.13746138824782533,False,0.5008129359642991,2
9a78a83728d8b9b9,False,0.16518806649687062,True,0.25,False,2.0501998117759093e-05,True,3.946630089157678,False,0.275009225899153,True,0.0913227853719155,True,0.6216599625252344,4
7c048f91578b0c81,False,0.17959712916330056,True,0.5348837209302325,False,2.0501998117759093e-05,True,3.535522788203753,False,0.3604743421782228,True,0.08712431208947274,False,0.5472298509951867,3
