class_id,class_size,freq,dag_diversity,dag_div_score,operator_diversity,op_div_score,depth_min,depth_max,depth_score,intervention_score,conditional_score,role_score,complexity,signature_len,operators,representative,M1_original,M2_intervention,M3_reuse,M4_compression,M5_perturbation_centrality,M6_frequency_control,M7_random_matched
77b6a1021cf1a462,113,0.17251908396946564,58,0.1686046511627907,3,1.0,1,1,0.16666666666666666,0.3274336283185841,0.0,0.3274336283185841,5.0,246,Ancestor;Effect;Reachable,"Ancestor(N3, N1) || Effect(N3 -> N1) || Reachable(N3, N1)",0.1934154386001055,0.3274336283185841,2.0501998117759093e-05,10.127657584637447,0.2982393143947282,0.17075758920646192,0.6216599625252344
0f2f893b845d1cf6,132,0.2015267175572519,55,0.15988372093023256,3,1.0,1,1,0.16666666666666666,0.3409090909090909,0.0,0.3409090909090909,5.0,247,Ancestor;Effect;Reachable,"Ancestor(N3, N2) || Effect(N3 -> N2) || Reachable(N3, N2)",0.19774372067759136,0.3409090909090909,2.0501998117759093e-05,11.660595871859531,0.3022819531718803,0.18278736907509321,0.39187313020955694
d34283f682fb5db5,52,0.07938931297709924,52,0.1511627906976744,1,0.3333333333333333,2,2,0.3333333333333333,0.0,0.0,0.0,4.0,283,P_obs,P(N1 | N0),0.09805950568904166,0.0,3.895139878651031e-05,4.957608362559162,0.08335086146278727,0.11168737795135808,0.6605574078115255
210dc2e782ce6534,44,0.06717557251908397,44,0.12790697674418605,1,0.3333333333333333,2,2,0.3333333333333333,0.0,0.0,0.0,4.0,284,P_obs,P(N2 | N0),0.09284656409486451,0.0,3.895139878651031e-05,4.039167686658507,0.08335086146278727,0.09450470442037992,0.383402100119019
53b16c30a7f9d314,48,0.0732824427480916,48,0.13953488372093023,1,0.3333333333333333,2,2,0.3333333333333333,0.0,0.0,0.0,4.0,283,P_obs,P(N3 | N0),0.09545303489195309,0.0,3.895139878651031e-05,4.4945350539684705,0.08335086146278727,0.103096041185869,0.6216599625252344
f0e578d57e5d51e5,12,0.0183206106870229,12,0.03488372093023256,1,0.3333333333333333,2,2,0.3333333333333333,0.0,0.0,0.0,4.0,280,P_obs,P(N0 | N1),0.07199479771815581,0.0,3.895139878651031e-05,0.9439124487004101,0.08335086146278727,0.02577401029646725,0.23557788045867445
37a2778aa2c10a05,60,0.0916030534351145,60,0.1744186046511628,1,0.3333333333333333,2,2,0.3333333333333333,0.0,0.0,0.0,4.0,284,P_obs,P(N2 | N1),0.10327244728321884,0.0,3.895139878651031e-05,5.915952672378621,0.08335086146278727,0.12887005148233624,0.6248182843659388
d1ef19f473f194b5,10,0.015267175572519083,10,0.029069767441860465,1,0.3333333333333333,2,2,0.3333333333333333,0.0,0.0,0.0,4.0,280,P_obs,P(N3 | N1),0.07069156231961153,0.0,3.895139878651031e-05,0.7780437756497948,0.08335086146278727,0.021478341913722707,0.6216599625252344
af5dcc0f1bb1aaae,11,0.016793893129770993,11,0.03197674418604651,1,0.3333333333333333,2,2,0.3333333333333333,0.0,0.0,0.0,4.0,282,P_obs,P(N0 | N2),0.07134318001888368,0.0,3.895139878651031e-05,0.858027006751688,0.08335086146278727,0.02362617610509498,0.6605574078115255
fb929282347e51f7,44,0.06717557251908397,44,0.12790697674418605,1,0.3333333333333333,2,2,0.3333333333333333,0.0,0.0,0.0,4.0,281,P_obs,P(N1 | N2),0.09284656409486451,0.0,3.895139878651031e-05,4.056961376908103,0.08335086146278727,0.09450470442037992,0.5404617656055186
