gamma,p,C,kappa,audit_on,n,successes,permanence_rate,wilson_lo,wilson_hi,mean_final_corr,mean_corr,mean_adversary_concealment,mean_final_adversary_concealment,mean_adversary_fitness,adversary_extinction_rate,mean_adversary_share,mean_caught_events,mean_false_positive_events,mean_steps_run
0.0,0.5,1.0,0.0,True,30,0,0.0,0.0,0.113517091390478,-1.0,-0.49842574771292225,0.9983919547250388,0.9984482696123762,1.1512291037133735,0.0,0.9077809992009588,0.0,0.0,66.86666666666666
0.0,0.5,1.0,0.1,True,30,0,0.0,0.0,0.113517091390478,-0.9333333333333333,-0.38860858081097266,0.9866169220604875,0.992688350631916,1.1391297625549444,0.06666666666666667,0.827091693279615,0.0,0.26666666666666666,61.333333333333336
0.0,0.5,1.0,0.3,True,30,0,0.0,0.0,0.113517091390478,-0.6666666666666666,-0.07814261664786278,0.9316977635399952,0.936248029958499,1.0398606464455302,0.26666666666666666,0.6841384667504712,0.0,0.7666666666666667,44.733333333333334
0.1,0.0,0.0,0.0,False,30,0,0.0,0.0,0.113517091390478,0.26666666666666666,0.5620881193747577,0.7301441532287082,0.7450047375980718,1.0699857494129297,1.0,0.05869773986457682,0.0,0.0,41.4
0.1,0.0,0.0,0.1,False,30,0,0.0,0.0,0.113517091390478,0.26666666666666666,0.5620881193747577,0.7301441532287082,0.7450047375980718,1.0699857494129297,1.0,0.05869773986457682,0.0,0.0,41.4
0.1,0.0,0.0,0.3,False,30,0,0.0,0.0,0.113517091390478,0.26666666666666666,0.5620881193747577,0.7301441532287082,0.7450047375980718,1.0699857494129297,1.0,0.05869773986457682,0.0,0.0,41.4
0.1,0.0,0.5,0.0,False,30,0,0.0,0.0,0.113517091390478,0.26666666666666666,0.5620881193747577,0.7301441532287082,0.7450047375980718,1.0699857494129297,1.0,0.05869773986457682,0.0,0.0,41.4
0.1,0.0,0.5,0.1,False,30,0,0.0,0.0,0.113517091390478,0.26666666666666666,0.5620881193747577,0.7301441532287082,0.7450047375980718,1.0699857494129297,1.0,0.05869773986457682,0.0,0.0,41.4
0.1,0.0,0.5,0.3,False,30,0,0.0,0.0,0.113517091390478,0.26666666666666666,0.5620881193747577,0.7301441532287082,0.7450047375980718,1.0699857494129297,1.0,0.05869773986457682,0.0,0.0,41.4
0.1,0.0,1.0,0.0,False,30,0,0.0,0.0,0.113517091390478,0.26666666666666666,0.5620881193747577,0.7301441532287082,0.7450047375980718,1.0699857494129297,1.0,0.05869773986457682,0.0,0.0,41.4
0.1,0.0,1.0,0.1,False,30,0,0.0,0.0,0.113517091390478,0.26666666666666666,0.5620881193747577,0.7301441532287082,0.7450047375980718,1.0699857494129297,1.0,0.05869773986457682,0.0,0.0,41.4
0.1,0.0,1.0,0.3,False,30,0,0.0,0.0,0.113517091390478,0.26666666666666666,0.5620881193747577,0.7301441532287082,0.7450047375980718,1.0699857494129297,1.0,0.05869773986457682,0.0,0.0,41.4
0.1,0.25,0.0,0.0,False,30,0,0.0,0.0,0.113517091390478,0.2,0.3264168577315764,0.7662646127857103,0.7532412221922095,1.0714903381338934,1.0,0.06039253759753575,0.0,0.0,46.03333333333333
0.1,0.25,0.0,0.1,False,30,0,0.0,0.0,0.113517091390478,0.13333333333333333,0.3648441918540567,0.764967974380644,0.7628454081369992,1.0681078692047337,1.0,0.06019846624812534,0.0,0.0,45.36666666666667
0.1,0.25,0.0,0.3,False,30,0,0.0,0.0,0.113517091390478,0.13333333333333333,0.36142490470349015,0.7719687253653004,0.7678454081369992,1.061614424194914,1.0,0.06040633464723567,0.0,0.0,45.03333333333333
0.1,0.25,0.5,0.0,True,30,0,0.0,0.0,0.113517091390478,0.2,0.3264168577315764,0.7662646127857103,0.7532412221922095,1.0714903381338934,1.0,0.06039253759753575,0.0,0.0,46.03333333333333
0.1,0.25,0.5,0.1,True,30,0,0.0,0.0,0.113517091390478,0.13333333333333333,0.420479231627048,0.756888938600289,0.7643573884456456,1.0678990015065968,0.9666666666666667,0.07224270999914145,0.0,0.03333333333333333,46.53333333333333
0.1,0.25,0.5,0.3,True,30,0,0.0,0.0,0.113517091390478,0.06666666666666667,0.38608621654072295,0.7609617795631124,0.7674713312636394,1.0226554703046429,0.9333333333333333,0.10641540849261175,0.0,0.2,43.86666666666667
0.1,0.25,1.0,0.0,True,30,0,0.0,0.0,0.113517091390478,0.2,0.3264168577315764,0.7662646127857103,0.7532412221922095,1.0714903381338934,1.0,0.06039253759753575,0.0,0.0,46.03333333333333
0.1,0.25,1.0,0.1,True,30,0,0.0,0.0,0.113517091390478,0.06666666666666667,0.4341553545584901,0.7586919689033192,0.7710240551123123,1.0678125024720728,0.9666666666666667,0.06315728495774478,0.0,0.03333333333333333,44.1
0.1,0.25,1.0,0.3,True,30,0,0.0,0.0,0.113517091390478,0.13333333333333333,0.4417561521074898,0.7439891655274847,0.7499087701380646,0.9855282072266931,0.9333333333333333,0.09581872563107444,0.0,0.16666666666666666,39.1
0.1,0.5,0.0,0.0,False,30,0,0.0,0.0,0.113517091390478,0.2,0.3264168577315764,0.7662646127857103,0.7532412221922095,1.0714903381338934,1.0,0.06039253759753575,0.0,0.0,46.03333333333333
0.1,0.5,0.0,0.1,False,30,0,0.0,0.0,0.113517091390478,0.13333333333333333,0.36734171304333724,0.7608106843322593,0.749512074803666,1.0647205766632262,1.0,0.06013074099754285,0.0,0.0,44.8
0.1,0.5,0.0,0.3,False,30,0,0.0,0.0,0.113517091390478,-1.850371707708594e-17,0.30709728800941005,0.7832477092272713,0.7887681898487577,1.0520445164369794,1.0,0.06077544416586427,0.0,0.0,45.766666666666666
0.1,0.5,0.5,0.0,True,30,0,0.0,0.0,0.113517091390478,0.2,0.3264168577315764,0.7662646127857103,0.7532412221922095,1.0714903381338934,1.0,0.06039253759753575,0.0,0.0,46.03333333333333
0.1,0.5,0.5,0.1,True,30,1,0.03333333333333333,0.0059084379948573795,0.16670751396958874,0.06666666666666667,0.33263666016644705,0.7805289823055582,0.7868654165411685,1.0639648409974298,0.8333333333333334,0.1890292224447675,0.0,0.26666666666666666,52.233333333333334
0.1,0.5,0.5,0.3,True,30,1,0.03333333333333333,0.0059084379948573795,0.16670751396958874,0.0,0.2532515875856319,0.7887492863648194,0.7848303565292231,1.0072111418178993,0.8,0.2203493535476982,0.0,0.7,52.1
0.1,0.5,1.0,0.0,True,30,0,0.0,0.0,0.113517091390478,0.2,0.3264168577315764,0.7662646127857103,0.7532412221922095,1.0714903381338934,1.0,0.06039253759753575,0.0,0.0,46.03333333333333
0.1,0.5,1.0,0.1,True,30,0,0.0,0.0,0.113517091390478,0.2,0.45135272564975387,0.7703813447798407,0.7718874218725937,1.0627880673353105,0.8333333333333334,0.0951709765668688,0.0,0.23333333333333334,40.233333333333334
0.1,0.5,1.0,0.3,True,30,0,0.0,0.0,0.113517091390478,0.1333333333333333,0.3994889674106354,0.7686703861744939,0.7678029473815801,0.972391405425809,0.7333333333333333,0.15985981866701884,0.0,0.5,35.56666666666667
0.3,0.0,0.0,0.0,False,30,0,0.0,0.0,0.113517091390478,1.0,1.0,0.0993320522234021,0.07998550416972483,1.0100202140880477,1.0,0.04519184497487698,0.0,0.0,16.5
