class_id,k,persistence,class_size,analyzed
18238c7d4071f241,4,,245,False
47deeed507786d18,0,,245,False
47deeed507786d18,1,,245,False
47deeed507786d18,2,,245,False
47deeed507786d18,3,,245,False
47deeed507786d18,4,,245,False
771831d01716c10e,0,,245,False
771831d01716c10e,1,,245,False
771831d01716c10e,2,,245,False
771831d01716c10e,3,,245,False
771831d01716c10e,4,,245,False
0c5ca47a06964983,0,,243,False
0c5ca47a06964983,1,,243,False
0c5ca47a06964983,2,,243,False
0c5ca47a06964983,3,,243,False
0c5ca47a06964983,4,,243,False
e52a73ec60adcfae,0,,236,False
e52a73ec60adcfae,1,,236,False
e52a73ec60adcfae,2,,236,False
e52a73ec60adcfae,3,,236,False
e52a73ec60adcfae,4,,236,False
a1d78b2c6c71c63e,0,,235,False
a1d78b2c6c71c63e,1,,235,False
a1d78b2c6c71c63e,2,,235,False
a1d78b2c6c71c63e,3,,235,False
a1d78b2c6c71c63e,4,,235,False
a9a0cc1d70da7a20,0,,234,False
a9a0cc1d70da7a20,1,,234,False
a9a0cc1d70da7a20,2,,234,False
a9a0cc1d70da7a20,3,,234,False
a9a0cc1d70da7a20,4,,234,False
ec0211f2e790fff5,0,,234,False
ec0211f2e790fff5,1,,234,False
ec0211f2e790fff5,2,,234,False
ec0211f2e790fff5,3,,234,False
ec0211f2e790fff5,4,,234,False
0b88c10fc68d94f6,0,,233,False
0b88c10fc68d94f6,1,,233,False
0b88c10fc68d94f6,2,,233,False
0b88c10fc68d94f6,3,,233,False
0b88c10fc68d94f6,4,,233,False
0a60f33026596983,0,,232,False
0a60f33026596983,1,,232,False
0a60f33026596983,2,,232,False
0a60f33026596983,3,,232,False
0a60f33026596983,4,,232,False
0effd4a1f26a3c0d,0,,232,False
0effd4a1f26a3c0d,1,,232,False
0effd4a1f26a3c0d,2,,232,False
0effd4a1f26a3c0d,3,,232,False
0effd4a1f26a3c0d,4,,232,False
8061f519a055e2f1,0,,231,False
8061f519a055e2f1,1,,231,False
8061f519a055e2f1,2,,231,False
8061f519a055e2f1,3,,231,False
8061f519a055e2f1,4,,231,False
061d51f8a43f53d2,0,,230,False
061d51f8a43f53d2,1,,230,False
061d51f8a43f53d2,2,,230,False
061d51f8a43f53d2,3,,230,False
061d51f8a43f53d2,4,,230,False
d5261fa8638ea9f5,0,,229,False
d5261fa8638ea9f5,1,,229,False
d5261fa8638ea9f5,2,,229,False
d5261fa8638ea9f5,3,,229,False
d5261fa8638ea9f5,4,,229,False
1a548869f66c2e7c,0,,228,False
1a548869f66c2e7c,1,,228,False
1a548869f66c2e7c,2,,228,False
1a548869f66c2e7c,3,,228,False
1a548869f66c2e7c,4,,228,False
491ca705673fd562,0,,228,False
491ca705673fd562,1,,228,False
491ca705673fd562,2,,228,False
491ca705673fd562,3,,228,False
