dag_size,edge_probability,depth,relation,class_count,entropy,largest_class_fraction,singleton_fraction,class_count_ratio
6,0.25,6,consequence,2692,10.549368575055452,0.004201680672268907,0.4338781575037147,0.25135387488328664
6,0.25,6,ast_identity,10710,13.386670859634236,9.337068160597572e-05,1.0,1.0
6,0.35,1,feature,45,5.491853096329673,0.022222222222222223,0.0,0.029411764705882353
6,0.35,1,consequence,145,6.660806080574882,0.025490196078431372,0.0,0.09477124183006536
6,0.35,1,ast_identity,1530,10.579315937580205,0.00065359477124183,1.0,1.0
6,0.35,2,feature,90,6.428818690495882,0.013333333333333334,0.0,0.03529411764705882
6,0.35,2,consequence,368,7.827446900973214,0.015294117647058824,0.20652173913043478,0.14431372549019608
6,0.35,2,ast_identity,2550,11.316281531746432,0.000392156862745098,1.0,1.0
6,0.35,3,feature,130,6.9254256352709085,0.013289760348583878,0.0,0.02832244008714597
6,0.35,3,consequence,1109,9.396491825596044,0.00849673202614379,0.3155996393146979,0.24161220043572984
6,0.35,3,ast_identity,4590,12.164278438301634,0.00021786492374727668,1.0,1.0
6,0.35,4,feature,190,7.502521878671234,0.009200603318250377,0.0,0.02865761689291101
6,0.35,4,consequence,1528,9.851170365944869,0.0058823529411764705,0.3416230366492147,0.23046757164404222
6,0.35,4,ast_identity,6630,12.694793154998672,0.00015082956259426848,1.0,1.0
6,0.35,5,feature,250,7.914205810034201,0.007035755478662053,0.0,0.02883506343713956
6,0.35,5,consequence,1819,10.105660655746489,0.004498269896193772,0.331500824628917,0.20980392156862746
6,0.35,5,ast_identity,8670,13.0818162781096,0.00011534025374855825,1.0,1.0
6,0.35,6,feature,340,8.27933486394831,0.005695611577964519,0.0,0.031746031746031744
6,0.35,6,consequence,3045,10.786759781852576,0.0036414565826330533,0.45714285714285713,0.28431372549019607
6,0.35,6,ast_identity,10710,13.386670859634236,9.337068160597572e-05,1.0,1.0
8,0.15,1,feature,84,6.382305845815558,0.01568627450980392,0.0,0.041176470588235294
8,0.15,1,consequence,207,6.957268628565247,0.018627450980392157,0.09178743961352658,0.10147058823529412
