,class_size,frequency,dag_diversity,dag_div_score,operator_diversity,op_div_score,depth_min,depth_max,depth_score,intervention_score,conditional_score,role_score,complexity,signature_len,M1_original_score,M2_intervention_score,M3_reuse_score,M4_compression_score,M5_perturbation_centrality_score,M6_frequency_control_score,M7_random_matched_score,expression_depth,reuse_rate,reuse_count,intervention_role,conditional_role,raw_score,active_M1,active_M2_intervention,active_M3,active_M4_compression,active_M5,active_M6_frequency_control,active_M7_random_matched,functional_core_membership,strict_core_membership
intervention_role,0.10317392605262997,0.10317392605263112,0.14223616632253813,0.1422361663225383,-0.3025508836568904,-0.3025508836568897,0.038979340058816626,0.038979340058816626,0.03897934005881652,1.0,-0.3028251421912667,0.12156967938147227,-0.05939398050348133,-0.556832141073411,-0.7357781006802927,1.0,-0.7864896970404908,0.07215735382190311,-0.678985270901601,0.1265334701515955,-0.0067319349846399305,0.038979340058816626,-0.7864896970404908,0.026049981231721243,1.0,-0.3028251421912667,-0.7357781006802928,-0.5943027458675336,0.8914044860348181,-0.5943027458675302,0.1315002005306479,-0.5943027458675304,0.04348292891017137,-0.0062047205964423785,-0.5977417441726217,-0.19553696586678382
conditional_role,-0.2529038735475505,-0.25290387354755434,-0.2642027182082079,-0.26420271820820795,-0.055978285160273054,-0.05597828516027275,0.3945058804392115,0.3945058804392115,0.39450588043920626,-0.3028251421912667,1.0,0.5720318947047087,0.40554649601178433,0.27001022875645,0.7198090488022626,-0.3028251421912667,0.7212672715276105,-0.2068156575908075,0.7578044980569825,-0.2630943234328826,0.0014746801625312546,0.3945058804392115,0.7212672715276105,-0.20061254088278335,-0.3028251421912667,1.0,0.7198090488022626,0.3474396203574943,-0.3258015244479288,0.3474396203574913,-0.23154397873156368,0.3474396203574921,-0.1702197923618812,0.009399506603631655,0.3494501179933165,0.114314277796985
raw_score,-0.16630901425085817,-0.16630901425085867,-0.19438389955941499,-0.19438389955941326,0.13776820906429288,0.1377682090642935,0.505171342268796,0.505171342268796,0.5051713422687987,-0.7357781006802928,0.7198090488022626,0.4669577876170983,0.5894481312170822,0.4871742296537268,1.0,-0.7357781006802928,0.9900686967555372,-0.1191759354344803,0.9738116574937158,-0.1845166121121001,-0.0005445145473014563,0.505171342268796,0.9900686967555372,-0.1020214291915874,-0.7357781006802928,0.7198090488022626,1.0,0.7566676090374411,-0.7064330144216141,0.7509993217452514,-0.3134036606083998,0.754350905847081,-0.16133605202309811,0.005204060902168176,0.7555485520101294,0.2811871188265854
active_M1,-0.12289834492418021,-0.12289834492417975,-0.14339080628067594,-0.14339080628067838,-0.03711643790306379,-0.03711643790306265,0.6539819288906944,0.6539819288906944,0.6539819288906974,-0.5943027458675336,0.3474396203574943,0.19874654432858418,0.6909300373607821,0.523436114196932,0.7566676090374411,-0.5943027458675336,0.7399281103242559,-0.09286733445688847,0.6488236474400361,-0.1362116410804348,0.00027424317259358967,0.6539819288906944,0.7399281103242559,-0.07948646402532202,-0.5943027458675336,0.3474396203574943,0.7566676090374411,1.0,-0.6012828091153679,0.966732737188924,-0.40947407207077974,0.9677070921666588,-0.2553867920211693,-0.0003841749923646556,0.9665786616572303,0.32901911900364245
active_M2_intervention,0.14373805508212026,0.14373805508212262,0.15996837156493746,0.1599683715649375,-0.15192999383105477,-0.151929993831053,-0.08265147438038256,-0.08265147438038256,-0.08265147438038122,0.8914044860348181,-0.3258015244479288,0.04482519323958867,-0.13976926387750596,-0.6156967195212546,-0.7064330144216141,0.8914044860348181,-0.7526912831983428,0.1053026264069935,-0.6450746794241591,0.15499663605684558,-0.004793517582226014,-0.08265147438038256,-0.7526912831983428,0.09911119885654014,0.8914044860348181,-0.3258015244479288,-0.7064330144216141,-0.6012828091153679,1.0,-0.5765063539673708,0.1743037531578254,-0.5735832890341857,0.09050922507303427,-0.0056735305857568506,-0.5660072117613243,-0.10042979173890663
active_M3,-0.15877141469508388,-0.15877141469508674,-0.1773205620946081,-0.17732056209460906,-0.07145991708553026,-0.07145991708553044,0.6539819288906911,0.6539819288906911,0.6539819288906966,-0.5943027458675302,0.3474396203574913,0.19874654432858221,0.6794293055646828,0.5324359024236999,0.7509993217452514,-0.5943027458675302,0.740079113072403,-0.11261248806032728,0.6452941746325521,-0.1715538104661849,-0.0001836152089682114,0.6539819288906911,0.740079113072403,-0.11223312409437448,-0.5943027458675302,0.3474396203574913,0.7509993217452514,0.966732737188924,-0.5765063539673708,1.0,-0.43494649506000665,0.9667327371889265,-0.28085921501040245,-0.0003841749923647259,0.967969014440882,0.3271140858127749
active_M4_compression,0.2776005016736374,0.2776005016736414,0.30608958106454176,0.30608958106453993,0.48421470215544576,0.48421470215544443,-0.4875671874272189,-0.4875671874272189,-0.48756718742722,0.1315002005306479,-0.23154397873156368,-0.1930980070271999,-0.3622290257743107,-0.34719400149087415,-0.3134036606083998,0.1315002005306479,-0.3399012722322708,0.1804059785589792,-0.2687965134886223,0.29775209829998744,-0.0017570952205828954,-0.4875671874272189,-0.3399012722322708,0.20711471824563119,0.1315002005306479,-0.23154397873156368,-0.3134036606083998,-0.40947407207077974,0.1743037531578254,-0.43494649506000665,1.0,-0.4094740720707824,0.8459127199503894,-0.0001057878558704771,-0.40208461856886385,0.22043222712387284
active_M5,-0.1554420694938071,-0.15544206949380882,-0.17331397839780566,-0.1733139783978051,-0.03711643790306504,-0.03711643790306461,0.6539819288906946,0.6539819288906946,0.6539819288907008,-0.5943027458675304,0.3474396203574921,0.19874654432858402,0.6909300373607791,0.5247011446705772,0.754350905847081,-0.5943027458675304,0.739928110324249,-0.11121389422136103,0.6488236474400424,-0.1677957564206885,-0.0013297130177721385,0.6539819288906946,0.739928110324249,-0.10882715100282987,-0.5943027458675304,0.3474396203574921,0.754350905847081,0.9677070921666588,-0.5735832890341857,0.9667327371889265,-0.4094740720707824,1.0,-0.25566517915766523,-0.0033072399255551985,0.9942466820518872,0.32901911900364134
active_M6_frequency_control,0.2775505198440916,0.2775505198440937,0.3068574799806975,0.306857479980696,0.509648994269661,0.5096489942696524,-0.3401420742239785,-0.3401420742239785,-0.3401420742239802,0.04348292891017137,-0.1702197923618812,-0.122153030411335,-0.1951556333222871,-0.2801744941837435,-0.16133605202309811,0.04348292891017137,-0.20071983478185873,0.1795651645315401,-0.13666916145651725,0.29815719319537237,-0.00214620046655953,-0.3401420742239785,-0.20071983478185873,0.20749023898339752,0.04348292891017137,-0.1702197923618812,-0.16133605202309811,-0.2553867920211693,0.09050922507303427,-0.28085921501040245,0.8459127199503894,-0.25566517915766523,1.0,-0.0020544978113309644,-0.2484506359754259,0.23648893544694682
active_M7_random_matched,-0.006746126601015719,-0.006746126601015849,-0.005663158545189104,-0.005663158545189125,-0.001910779326896814,-0.0019107793268968879,-0.0060530544095302565,-0.0060530544095302565,-0.006053054409530252,-0.0062047205964423785,0.009399506603631655,0.005031774738649786,-0.007149946597038632,0.0034363020746946723,0.005204060902168176,-0.0062047205964423785,0.006729442359783447,-0.008597554067958368,0.007624833409120786,-0.0062463793974713985,0.7566676090374364,-0.0060530544095302565,0.006729442359783447,-0.006945871375128334,-0.0062047205964423785,0.009399506603631655,0.005204060902168176,-0.0003841749923646556,-0.0056735305857568506,-0.0003841749923647259,-0.0001057878558704771,-0.0033072399255551985,-0.0020544978113309644,1.0,-0.0041656518879339965,-0.007899608182211231
