class_id,class_size,frequency,dag_diversity,dag_div_score,operator_diversity,op_div_score,depth_min,depth_max,depth_score,intervention_score,conditional_score,role_score,complexity,signature_len,operators,representative,M1_original_score,M2_intervention_score,M3_reuse_score,M4_compression_score,M5_perturbation_centrality_score,M6_frequency_control_score,M7_random_matched_score,expression_depth,reuse_rate,reuse_count,intervention_role,conditional_role,raw_score,active_M1,active_M2_intervention,active_M3,active_M4_compression,active_M5,active_M6_frequency_control,active_M7_random_matched,functional_core_membership,strict_core_membership,class_a_survives,class_b_survives,class_b_attack_cost,class_b_auc_gns
2198fe7030eb6d13,11,0.0167938931297709,11,0.0319767441860465,1,0.3333333333333333,2,2,0.3333333333333333,0.0,0.0,0.0,4.0,282,P_obs,P(N3 | N2),0.0713431800188836,0.0,3.895139878651031e-05,0.858027006751688,0.0833508614627872,0.0236261761050949,0.5008129359642991,2,3.895139878651031e-05,11,0.0,0.0,0.0713431800188836,False,False,False,True,False,True,False,False,False,,,,
4955c64e148a70f2,50,0.0763358778625954,50,0.1453488372093023,1,0.3333333333333333,2,2,0.3333333333333333,0.0,0.0,0.0,4.0,283,P_obs,P(N0 | N3),0.0967562702904973,0.0,3.895139878651031e-05,4.724369232864586,0.0833508614627872,0.1073917095686135,0.498957849522139,2,3.895139878651031e-05,50,0.0,0.0,0.0967562702904973,False,False,False,True,False,True,False,False,False,True,False,1.0,0.0
333d4ad2334fa474,45,0.0687022900763358,45,0.1308139534883721,1,0.3333333333333333,2,2,0.3333333333333333,0.0,0.0,0.0,4.0,283,P_obs,P(N1 | N3),0.0934981817941366,0.0,3.895139878651031e-05,4.156168068371412,0.0833508614627872,0.0966525386117521,0.6216599625252344,2,3.895139878651031e-05,45,0.0,0.0,0.0934981817941366,False,False,False,True,False,True,True,False,False,True,False,1.0,0.0
d221d9b5e05b2607,51,0.0778625954198473,51,0.1482558139534883,1,0.3333333333333333,2,2,0.3333333333333333,0.0,0.0,0.0,4.0,284,P_obs,P(N2 | N3),0.0974078879897695,0.0,3.895139878651031e-05,4.833486332109343,0.0833508614627872,0.1095395437599858,0.4976546141235947,2,3.895139878651031e-05,51,0.0,0.0,0.0974078879897695,False,False,False,True,False,True,False,False,False,True,False,1.0,0.0
bc9c853b1e75c157,334,0.5099236641221374,334,0.9709302325581396,1,0.3333333333333333,2,2,0.3333333333333333,1.0,0.0,1.0,4.0,251,P_do,P(N1 | do(N0)),0.3368115622132739,1.0,1.957464823193663e-05,75.46708105597828,0.3833421419250377,0.7173766199183385,0.537203677109158,2,1.957464823193663e-05,334,1.0,0.0,0.3368115622132739,False,True,False,True,False,True,False,False,False,True,False,2.0,0.25
a0b2c1117b29c0f8,333,0.5083969465648855,333,0.9680232558139537,1,0.3333333333333333,2,2,0.3333333333333333,1.0,0.0,1.0,4.0,251,P_do,P(N2 | do(N0)),0.3361599445140018,1.0,1.957464823193663e-05,75.09243382274141,0.3833421419250377,0.7152287857269661,0.2342746450601302,2,1.957464823193663e-05,333,1.0,0.0,0.3361599445140018,False,True,False,True,False,True,False,False,False,True,False,1.0,0.0
a1e49f1c94433d63,339,0.517557251908397,339,0.9854651162790696,1,0.3333333333333333,2,2,0.3333333333333333,1.0,0.0,1.0,4.0,251,P_do,P(N3 | do(N0)),0.3400696507096346,1.0,1.957464823193663e-05,77.3537134283571,0.3833421419250377,0.7281157908751997,0.5365520594098857,2,1.957464823193663e-05,339,1.0,0.0,0.3400696507096346,False,True,False,True,False,True,False,False,False,True,False,2.0,0.25
38b8e8007fa9161a,48,0.0732824427480916,48,0.1395348837209302,1,0.3333333333333333,2,2,0.3333333333333333,1.0,0.0,1.0,4.0,249,P_do,P(N0 | do(N1)),0.1504489002214401,1.0,1.957464823193663e-05,4.729996058336618,0.3833421419250377,0.103096041185869,0.6248182843659388,2,1.957464823193663e-05,48,1.0,0.0,0.1504489002214401,False,True,False,True,False,True,True,False,False,True,False,1.0,0.0
5e258fa8c2710ec8,344,0.5251908396946565,344,1.0,1,0.3333333333333333,2,2,0.3333333333333333,1.0,0.0,1.0,4.0,251,P_do,P(N2 | do(N1)),0.3433277392059954,1.0,1.957464823193663e-05,79.26267281105991,0.3833421419250377,0.7388549618320611,0.6605574078115255,2,1.957464823193663e-05,344,1.0,0.0,0.3433277392059954,False,True,False,True,False,True,True,False,False,True,False,1.0,0.5
2f10f682ed11029b,49,0.0748091603053435,49,0.1424418604651162,1,0.3333333333333333,2,2,0.3333333333333333,1.0,0.0,1.0,4.0,249,P_do,P(N3 | do(N1)),0.1511005179207122,1.0,1.957464823193663e-05,4.850485541262049,0.3833421419250377,0.1052438753772412,0.6248182843659388,2,1.957464823193663e-05,49,1.0,0.0,0.1511005179207122,False,True,False,True,False,True,True,False,False,True,False,1.0,0.0
8f1242e3195a396b,17,0.0259541984732824,17,0.0494186046511627,1,0.3333333333333333,2,2,0.3333333333333333,1.0,0.0,1.0,4.0,250,P_do,P(N0 | do(N2)),0.1302487515440035,1.0,1.957464823193663e-05,1.4369409660107333,0.3833421419250377,0.0365131812533286,0.6248182843659388,2,1.957464823193663e-05,17,1.0,0.0,0.1302487515440035,False,True,False,True,False,True,True,False,False,,,,
5a405e514d4554ea,60,0.0916030534351145,60,0.1744186046511628,1,0.3333333333333333,2,2,0.3333333333333333,1.0,0.0,1.0,4.0,249,P_do,P(N1 | do(N2)),0.1582683126127058,1.0,1.957464823193663e-05,6.234994804170997,0.3833421419250377,0.1288700514823362,0.5008129359642991,2,1.957464823193663e-05,60,1.0,0.0,0.1582683126127058,False,True,False,True,False,True,False,False,False,True,False,1.0,0.0
b728285b2ffb3555,15,0.0229007633587786,15,0.0436046511627907,1,0.3333333333333333,2,2,0.3333333333333333,1.0,0.0,1.0,4.0,250,P_do,P(N3 | do(N2)),0.1289455161454592,1.0,1.957464823193663e-05,1.254472271914132,0.3833421419250377,0.032217512870584,0.6216599625252344,2,1.957464823193663e-05,15,1.0,0.0,0.1289455161454592,False,True,False,True,False,True,True,False,False,,,,
8d380d339234504a,333,0.5083969465648855,333,0.9680232558139537,1,0.3333333333333333,2,2,0.3333333333333333,1.0,0.0,1.0,4.0,251,P_do,P(N0 | do(N3)),0.3361599445140018,1.0,1.957464823193663e-05,75.09243382274141,0.3833421419250377,0.7152287857269661,0.1154946537708123,2,1.957464823193663e-05,333,1.0,0.0,0.3361599445140018,False,True,False,True,False,True,False,False,False,True,True,,1.0
50460cde9bb67eb1,310,0.4732824427480916,310,0.9011627906976744,1,0.3333333333333333,2,2,0.3333333333333333,1.0,0.0,1.0,4.0,251,P_do,P(N1 | do(N3)),0.3211727374307423,1.0,1.957464823193663e-05,66.72203765227022,0.3833421419250377,0.665828599325404,0.2277584680674087,2,1.957464823193663e-05,310,1.0,0.0,0.3211727374307423,False,True,False,True,False,True,False,False,False,True,False,1.0,0.0
3100693433eb8c2d,338,0.516030534351145,338,0.9825581395348836,1,0.3333333333333333,2,2,0.3333333333333333,1.0,0.0,1.0,4.0,251,P_do,P(N2 | do(N3)),0.3394180330103625,1.0,1.957464823193663e-05,76.9746007930554,0.3833421419250377,0.7259679566838274,0.6216599625252344,2,1.957464823193663e-05,338,1.0,0.0,0.3394180330103625,False,True,False,True,False,True,True,False,False,True,False,1.0,0.0
c3733769bb8fc44f,4,0.0061068702290076,2,0.005813953488372,2,0.6666666666666666,3,3,0.5,0.0,1.0,1.0,6.0,268,Blocked;Independent,"Blocked(N0, N1 | N2) || Independent(N0, N1 | N2)",0.5370558762037789,0.0,0.8123494663530739,0.2330939877826599,0.7766683709699944,0.0059750576957216,0.2019266984639396,3,0.8123494663530739,8,0.0,1.0,0.5370558762037789,False,False,False,True,False,True,False,False,False,,,,
c94a6b6406620b62,44,0.0671755725190839,27,0.0784883720930232,2,0.6666666666666666,3,3,0.5,0.0,1.0,1.0,6.0,258,Blocked;Independent,"Blocked(N0, N1 | N3) || Independent(N0, N1 | N3)",0.557124944639781,0.0,0.8123494663530739,2.9666070363744783,0.7766683709699944,0.0722663323273566,0.6605574078115255,3,0.8123494663530739,88,0.0,1.0,0.557124944639781,True,False,False,True,False,True,True,False,False,True,False,1.0,0.5
0c8425cddbd39ea8,3,0.0045801526717557,2,0.005813953488372,2,0.6666666666666666,3,3,0.5,0.0,1.0,1.0,6.0,261,Blocked;Independent,"Blocked(N0, N2 | N1) || Independent(N0, N2 | N1)",0.5368039678068324,0.0,0.8123494663530739,0.1762417956405478,0.7766683709699944,0.005135363039233,0.5378552948084301,3,0.8123494663530739,6,0.0,1.0,0.5368039678068324,False,False,False,True,False,True,False,False,False,,,,
6b0eb82d60bdd4b5,39,0.0595419847328244,24,0.0697674418604651,2,0.6666666666666666,3,3,0.5,0.0,1.0,1.0,6.0,258,Blocked;Independent,"Blocked(N0, N2 | N3) || Independent(N0, N2 | N3)",0.5546662747480715,0.0,0.8123494663530739,2.5898520084566594,0.7766683709699944,0.0641434404402627,0.5368039678068324,3,0.8123494663530739,78,0.0,1.0,0.5546662747480715,True,False,False,True,False,True,False,False,False,True,False,1.0,0.5
ff0f5147443f5bba,6,0.0091603053435114,3,0.0087209302325581,2,0.6666666666666666,3,3,0.5,0.0,1.0,1.0,6.0,267,Blocked;Independent,"Blocked(N0, N3 | N1) || Independent(N0, N3 | N1)",0.5379594022999976,0.0,0.8123494663530739,0.3520560070813551,0.7766683709699944,0.0089625865435824,0.1058789180803074,3,0.8123494663530739,12,0.0,1.0,0.5379594022999976,False,False,False,True,False,True,False,False,False,,,,
8384d4443a4611b4,4,0.0061068702290076,2,0.005813953488372,2,0.6666666666666666,3,3,0.5,0.0,1.0,1.0,6.0,269,Blocked;Independent,"Blocked(N0, N3 | N2) || Independent(N0, N3 | N2)",0.5370558762037789,0.0,0.8123494663530739,0.2328257553456258,0.7766683709699944,0.0059750576957216,0.2180512146258597,3,0.8123494663530739,8,0.0,1.0,0.5370558762037789,False,False,False,True,False,True,False,False,False,,,,
b9282ee5dc6e9fbf,6,0.0091603053435114,4,0.0116279069767441,2,0.6666666666666666,3,3,0.5,0.0,1.0,1.0,6.0,268,Blocked;Independent,"Blocked(N1, N0 | N2) || Independent(N1, N0 | N2)",0.5383591116023232,0.0,0.8123494663530739,0.3536598435323116,0.7766683709699944,0.0102707260784661,0.6248182843659388,3,0.8123494663530739,12,0.0,1.0,0.5383591116023232,False,False,False,True,False,True,True,False,False,,,,
