,class_size,frequency,dag_diversity,dag_div_score,operator_diversity,op_div_score,depth_min,depth_max,depth_score,intervention_score,conditional_score,role_score,complexity,signature_len,M1_original_score,M2_intervention_score,M3_reuse_score,M4_compression_score,M5_perturbation_centrality_score,M6_frequency_control_score,M7_random_matched_score,expression_depth,reuse_rate,reuse_count,intervention_role,conditional_role,raw_score,active_M1,active_M2_intervention,active_M3,active_M4_compression,active_M5,active_M6_frequency_control,active_M7_random_matched,functional_core_membership,strict_core_membership
conditional_score,-0.27795408197715954,-0.27795408197715954,-0.27211096811224456,-0.27211096811224456,0.025208767391022832,0.025208767391022832,0.4161495906533047,0.4161495906533047,0.4161495906533047,-0.33657529827916244,1.0,0.5867397723366033,0.39289070355137495,0.35466825371439875,0.6208022114003431,-0.33657529827916244,0.6283769102348247,-0.343350239278008,0.6283741552128851,-0.2756545421502272,0.006999900610051766,0.4161495906533047,0.6283769102348247,-0.25456765888229116,-0.33657529827916244,1.0,0.6208022114003431,0.3474396203574934,-0.3258015244479302,0.3474396203574934,-0.23154397873156785,0.3474396203574934,-0.1702197923618863,0.00939950660363154,0.34945011799331577,0.11431427779698322
role_score,-0.213590252385067,-0.213590252385067,-0.19057008422749758,-0.19057008422749758,-0.16674025691762273,-0.16674025691762273,0.4371774183070436,0.4371774183070436,0.4371774183070436,0.04668710864264326,0.5867397723366033,1.0,0.40291393962035865,-0.007140544213452708,0.3942519973857066,0.04668710864264326,0.3943540741044589,-0.26289975195879917,0.4082657855570463,-0.20527263884095648,0.001891585291732337,0.4371774183070436,0.3943540741044589,-0.21876193768862762,0.04668710864264326,0.5867397723366033,0.3942519973857066,0.2038566437492715,0.0006531069523620323,0.2038566437492715,-0.21194134082558366,0.2038566437492715,-0.138112267677649,0.005285469444738992,0.20503628267439727,0.06707273332942516
complexity,-0.24115052943240525,-0.24115052943240525,-0.24640008392864127,-0.24640008392864127,0.003051563721995279,0.003051563721995279,0.9525182796956524,0.9525182796956524,0.9525182796956524,-0.12538369565646473,0.39289070355137495,0.40291393962035865,1.0,0.3977480073898117,0.6839152181541337,-0.12538369565646473,0.6347276048178424,-0.463617164125581,0.682371133639455,-0.24198577999184692,-0.007874416220204647,0.9525182796956524,0.6347276048178424,-0.21620929438331435,-0.12538369565646473,0.39289070355137495,0.6839152181541337,0.7254673638448175,-0.18449651810403886,0.7151795480452308,-0.3643374617693336,0.7254673638448175,-0.19284914801519745,-0.0071841244584506135,0.7181477867243926,0.37938712055100476
signature_len,-0.41132192545304996,-0.41132192545304996,-0.42062931826975863,-0.42062931826975863,-0.10131703424113336,-0.10131703424113336,0.4151062511749916,0.4151062511749916,0.4151062511749916,-0.7040069339921252,0.35466825371439875,-0.007140544213452708,0.3977480073898117,1.0,0.634330762087219,-0.7040069339921252,0.6873255770946956,-0.5747735063911538,0.6449724513151293,-0.4147416052485852,0.005978272844158764,0.4151062511749916,0.6873255770946956,-0.3842670505961343,-0.7040069339921252,0.35466825371439875,0.634330762087219,0.63703095119079,-0.7156707166585741,0.6486976401334992,-0.40261907788003315,0.638742452881702,-0.31340379091427495,0.0030462751355558497,0.6347274672561395,0.10430579091446962
M1_original_score,-0.20961145564643574,-0.20961145564643574,-0.22260613252099984,-0.22260613252099984,0.24506581667402472,0.24506581667402472,0.5969088166369153,0.5969088166369153,0.5969088166369153,-0.7310569178213033,0.6208022114003431,0.3942519973857066,0.6839152181541337,0.634330762087219,1.0,-0.7310569178213033,0.9692826140262863,-0.4165088322045759,0.9934961322342186,-0.21315118798826535,0.00208872850818994,0.5969088166369153,0.9692826140262863,-0.1527206678005146,-0.7310569178213033,0.6208022114003431,1.0,0.851156456829554,-0.6972920216803005,0.8424926971101071,-0.25829703014323513,0.8473014949001004,-0.08438978829260994,0.002442754815113542,0.8469825739461173,0.39533308682879426
M2_intervention_score,0.19412570824878442,0.19412570824878442,0.21304941833157767,0.21304941833157767,-0.3007611071681454,-0.3007611071681454,-0.04540882144291539,-0.04540882144291539,-0.04540882144291539,1.0,-0.33657529827916244,0.04668710864264326,-0.12538369565646473,-0.7040069339921252,-0.7310569178213033,1.0,-0.7402283692432847,0.2910485573110821,-0.7311284528837777,0.20023828204392274,-0.008064053223874315,-0.04540882144291539,-0.7402283692432847,0.12992360955740012,1.0,-0.33657529827916244,-0.7310569178213033,-0.6037757610562466,0.905613217685835,-0.6037757610562466,0.14920964319815674,-0.6037757610562466,0.05902056580361687,-0.0064295363172941515,-0.6072695760072343,-0.19865376897848133
M3_reuse_score,-0.3762024953791992,-0.3762024953791992,-0.38213606616529483,-0.38213606616529483,0.08035577394260221,0.08035577394260221,0.6048518007224182,0.6048518007224182,0.6048518007224182,-0.7402283692432847,0.6283769102348247,0.3943540741044589,0.6347276048178424,0.6873255770946956,0.9692826140262863,-0.7402283692432847,1.0,-0.5628005664347192,0.9731163410442853,-0.37841290223713736,0.003253426281417618,0.6048518007224182,1.0,-0.3298159768858183,-0.7402283692432847,0.6283769102348247,0.9692826140262863,0.848453707645945,-0.7077806364930168,0.8532111975527716,-0.38762814658309924,0.848453707645945,-0.23729419115401318,0.0030007083175008016,0.8484527064094248,0.28425512179275425
M4_compression_score,0.927817300894823,0.927817300894823,0.9152534885596987,0.9152534885596987,0.4669783084568749,0.4669783084568749,-0.6047349765932698,-0.6047349765932698,-0.6047349765932698,0.2910485573110821,-0.343350239278008,-0.26289975195879917,-0.463617164125581,-0.5747735063911538,-0.4165088322045759,0.2910485573110821,-0.5628005664347192,1.0,-0.46954313032741407,0.9271789811428713,-0.0020465360494732153,-0.6047349765932698,-0.5628005664347192,0.9141411871685584,0.2910485573110821,-0.343350239278008,-0.4165088322045759,-0.5806024116877379,0.3173796511271372,-0.6058457249053227,0.8486836769384769,-0.5908207161583301,0.8200241134117605,-0.0005666750578910344,-0.5841393979356256,0.1340348438195364
M5_perturbation_centrality_score,-0.2727418400389552,-0.2727418400389552,-0.2887585613440998,-0.2887585613440998,0.23732018360204707,0.23732018360204707,0.5969999688987989,0.5969999688987989,0.5969999688987989,-0.7311284528837777,0.6283741552128851,0.4082657855570463,0.682371133639455,0.6449724513151293,0.9934961322342186,-0.7311284528837777,0.9731163410442853,-0.46954313032741407,1.0,-0.27716889375131715,0.0026099888155671283,0.5969999688987989,0.9731163410442853,-0.21019100370510727,-0.7311284528837777,0.6283741552128851,0.9934961322342186,0.8513861342974904,-0.699906291877332,0.8466286652491467,-0.3016623558216468,0.8513861342974904,-0.14000065394491862,0.0027725540604989826,0.8504119913483061,0.3801440563052611
M6_frequency_control_score,0.9987638426202725,0.9987638426202725,0.9913906174028075,0.9913906174028075,0.5071091223685715,0.5071091223685715,-0.39936072589426125,-0.39936072589426125,-0.39936072589426125,0.20023828204392274,-0.2756545421502272,-0.20527263884095648,-0.24198577999184692,-0.4147416052485852,-0.21315118798826535,0.20023828204392274,-0.37841290223713736,0.9271789811428713,-0.27716889375131715,1.0,-0.003662977991077227,-0.39936072589426125,-0.37841290223713736,0.9848471884501083,0.20023828204392274,-0.2756545421502272,-0.21315118798826535,-0.34576644267288537,0.2158824310567923,-0.3835565595812271,0.8876574192887181,-0.3574085113871336,0.8920489910606808,-0.0018498254247985052,-0.3512907083600287,0.18625705850463595
