depth_cap,observation_depth,sample_budget,horizon,semantic_class_count,semantic_class_rate,trajectory_count,trajectory_rate,state_count,state_rate,normal_form_count,normal_form_rate,label_quotient_count,label_quotient_rate,syntactic_semantic_gap,generated_terms,sample_limited_semantic,sample_limited_trajectory,sample_limited,semantic_saturation_horizon,semantic_axis_verdict,semantic_still_growing_at_max_horizon,observation_limited
8,4,100000,32,100,0.001,88831,0.88831,55885,0.0338972050652014,64,0.00064,79092,0.79092,0.88731,1648661,False,False,False,64,trivial,False,False
8,6,100000,32,127,0.00127,88831,0.88831,55885,0.0338972050652014,64,0.00064,79092,0.79092,0.88704,1648661,False,False,False,64,trivial,False,False
8,8,100000,32,144,0.00144,88831,0.88831,55885,0.0338972050652014,64,0.00064,79092,0.79092,0.88687,1648661,False,False,False,64,trivial,False,False
8,10,100000,32,144,0.00144,88831,0.88831,55885,0.0338972050652014,64,0.00064,79092,0.79092,0.88687,1648661,False,False,False,64,trivial,False,False
8,12,100000,32,144,0.00144,88831,0.88831,55885,0.0338972050652014,64,0.00064,79092,0.79092,0.88687,1648661,False,False,False,64,trivial,False,False
8,4,100000,64,64,0.00064,88864,0.88864,55780,0.033856517076054554,64,0.00064,78950,0.7895,0.888,1647541,False,False,False,64,trivial,False,False
8,6,100000,64,64,0.00064,88864,0.88864,55780,0.033856517076054554,64,0.00064,78950,0.7895,0.888,1647541,False,False,False,64,trivial,False,False
8,8,100000,64,64,0.00064,88864,0.88864,55780,0.033856517076054554,64,0.00064,78950,0.7895,0.888,1647541,False,False,False,64,trivial,False,False
8,10,100000,64,64,0.00064,88864,0.88864,55780,0.033856517076054554,64,0.00064,78950,0.7895,0.888,1647541,False,False,False,64,trivial,False,False
8,12,100000,64,64,0.00064,88864,0.88864,55780,0.033856517076054554,64,0.00064,78950,0.7895,0.888,1647541,False,False,False,64,trivial,False,False
8,4,100000,128,64,0.00064,89026,0.89026,55250,0.03350480922877084,64,0.00064,79244,0.79244,0.8896200000000001,1649017,False,False,False,64,trivial,False,False
8,6,100000,128,64,0.00064,89026,0.89026,55250,0.03350480922877084,64,0.00064,79244,0.79244,0.8896200000000001,1649017,False,False,False,64,trivial,False,False
8,8,100000,128,64,0.00064,89026,0.89026,55250,0.03350480922877084,64,0.00064,79244,0.79244,0.8896200000000001,1649017,False,False,False,64,trivial,False,False
8,10,100000,128,64,0.00064,89026,0.89026,55250,0.03350480922877084,64,0.00064,79244,0.79244,0.8896200000000001,1649017,False,False,False,64,trivial,False,False
8,12,100000,128,64,0.00064,89026,0.89026,55250,0.03350480922877084,64,0.00064,79244,0.79244,0.8896200000000001,1649017,False,False,False,64,trivial,False,False
8,4,100000,256,64,0.00064,88834,0.88834,55302,0.03356343380959722,64,0.00064,78947,0.78947,0.8877,1647686,False,False,False,64,trivial,False,False
8,6,100000,256,64,0.00064,88834,0.88834,55302,0.03356343380959722,64,0.00064,78947,0.78947,0.8877,1647686,False,False,False,64,trivial,False,False
8,8,100000,256,64,0.00064,88834,0.88834,55302,0.03356343380959722,64,0.00064,78947,0.78947,0.8877,1647686,False,False,False,64,trivial,False,False
8,10,100000,256,64,0.00064,88834,0.88834,55302,0.03356343380959722,64,0.00064,78947,0.78947,0.8877,1647686,False,False,False,64,trivial,False,False
8,12,100000,256,64,0.00064,88834,0.88834,55302,0.03356343380959722,64,0.00064,78947,0.78947,0.8877,1647686,False,False,False,64,trivial,False,False
12,4,20000,16,436,0.0218,19982,0.9991,29229,0.08596764705882352,0,0.0,19696,0.9848,0.9773,340000,False,True,True,64,saturating,False,False
12,6,20000,16,2430,0.1215,19982,0.9991,29229,0.08596764705882352,0,0.0,19696,0.9848,0.8775999999999999,340000,False,True,True,64,saturating,False,False
12,8,20000,16,5382,0.2691,19982,0.9991,29229,0.08596764705882352,0,0.0,19696,0.9848,0.73,340000,False,True,True,64,saturating,False,False
12,10,20000,16,7559,0.37795,19982,0.9991,29229,0.08596764705882352,0,0.0,19696,0.9848,0.62115,340000,False,True,True,64,saturating,False,False
12,12,20000,16,7888,0.3944,19982,0.9991,29229,0.08596764705882352,0,0.0,19696,0.9848,0.6047,340000,False,True,True,64,saturating,False,False
12,4,20000,32,1262,0.0631,20000,1.0,77385,0.14047013977128336,1024,0.0512,20000,1.0,0.9369,550900,False,True,True,64,saturating,False,True
12,6,20000,32,1734,0.0867,20000,1.0,77385,0.14047013977128336,1024,0.0512,20000,1.0,0.9133,550900,False,True,True,64,saturating,False,True
12,8,20000,32,2308,0.1154,20000,1.0,77385,0.14047013977128336,1024,0.0512,20000,1.0,0.8846,550900,False,True,True,64,saturating,False,True
12,10,20000,32,3001,0.15005,20000,1.0,77385,0.14047013977128336,1024,0.0512,20000,1.0,0.84995,550900,False,True,True,64,saturating,False,True
12,12,20000,32,3509,0.17545,20000,1.0,77385,0.14047013977128336,1024,0.0512,20000,1.0,0.82455,550900,False,True,True,64,saturating,False,True
12,4,20000,64,1025,0.05125,20000,1.0,79531,0.14080694306003827,1024,0.0512,19998,0.9999,0.94875,564823,False,True,True,64,saturating,False,False
12,6,20000,64,1025,0.05125,20000,1.0,79531,0.14080694306003827,1024,0.0512,19998,0.9999,0.94875,564823,False,True,True,64,saturating,False,False
12,8,20000,64,1025,0.05125,20000,1.0,79531,0.14080694306003827,1024,0.0512,19998,0.9999,0.94875,564823,False,True,True,64,saturating,False,False
12,10,20000,64,1025,0.05125,20000,1.0,79531,0.14080694306003827,1024,0.0512,19998,0.9999,0.94875,564823,False,True,True,64,saturating,False,False
12,12,20000,64,1025,0.05125,20000,1.0,79531,0.14080694306003827,1024,0.0512,19998,0.9999,0.94875,564823,False,True,True,64,saturating,False,False
12,4,20000,128,1024,0.0512,19999,0.99995,80758,0.14283162394522883,1024,0.0512,19997,0.99985,0.94875,565407,False,True,True,64,saturating,False,False
12,6,20000,128,1024,0.0512,19999,0.99995,80758,0.14283162394522883,1024,0.0512,19997,0.99985,0.94875,565407,False,True,True,64,saturating,False,False
12,8,20000,128,1024,0.0512,19999,0.99995,80758,0.14283162394522883,1024,0.0512,19997,0.99985,0.94875,565407,False,True,True,64,saturating,False,False
12,10,20000,128,1024,0.0512,19999,0.99995,80758,0.14283162394522883,1024,0.0512,19997,0.99985,0.94875,565407,False,True,True,64,saturating,False,False
12,12,20000,128,1024,0.0512,19999,0.99995,80758,0.14283162394522883,1024,0.0512,19997,0.99985,0.94875,565407,False,True,True,64,saturating,False,False
12,4,20000,256,1024,0.0512,20000,1.0,80013,0.14141794408182526,1024,0.0512,19999,0.99995,0.9488,565791,False,True,True,64,saturating,False,False
12,6,20000,256,1024,0.0512,20000,1.0,80013,0.14141794408182526,1024,0.0512,19999,0.99995,0.9488,565791,False,True,True,64,saturating,False,False
12,8,20000,256,1024,0.0512,20000,1.0,80013,0.14141794408182526,1024,0.0512,19999,0.99995,0.9488,565791,False,True,True,64,saturating,False,False
12,10,20000,256,1024,0.0512,20000,1.0,80013,0.14141794408182526,1024,0.0512,19999,0.99995,0.9488,565791,False,True,True,64,saturating,False,False
12,12,20000,256,1024,0.0512,20000,1.0,80013,0.14141794408182526,1024,0.0512,19999,0.99995,0.9488,565791,False,True,True,64,saturating,False,False
12,4,50000,16,597,0.01194,49866,0.99732,53325,0.06273529411764706,0,0.0,48073,0.96146,0.98538,850000,False,True,True,64,trivial,False,False
12,6,50000,16,4288,0.08576,49866,0.99732,53325,0.06273529411764706,0,0.0,48073,0.96146,0.9115599999999999,850000,False,True,True,64,trivial,False,False
12,8,50000,16,10350,0.207,49866,0.99732,53325,0.06273529411764706,0,0.0,48073,0.96146,0.79032,850000,False,True,True,64,trivial,False,False
12,10,50000,16,14488,0.28976,49866,0.99732,53325,0.06273529411764706,0,0.0,48073,0.96146,0.70756,850000,False,True,True,64,trivial,False,False
12,12,50000,16,15078,0.30156,49866,0.99732,53325,0.06273529411764706,0,0.0,48073,0.96146,0.6957599999999999,850000,False,True,True,64,trivial,False,False
12,4,50000,32,1378,0.02756,49999,0.99998,147835,0.10722471241858508,1024,0.02048,49993,0.99986,0.97242,1378740,False,True,True,64,trivial,False,True
12,6,50000,32,2366,0.04732,49999,0.99998,147835,0.10722471241858508,1024,0.02048,49993,0.99986,0.95266,1378740,False,True,True,64,trivial,False,True
12,8,50000,32,3673,0.07346,49999,0.99998,147835,0.10722471241858508,1024,0.02048,49993,0.99986,0.92652,1378740,False,True,True,64,trivial,False,True
12,10,50000,32,5256,0.10512,49999,0.99998,147835,0.10722471241858508,1024,0.02048,49993,0.99986,0.89486,1378740,False,True,True,64,trivial,False,True
12,12,50000,32,6396,0.12792,49999,0.99998,147835,0.10722471241858508,1024,0.02048,49993,0.99986,0.87206,1378740,False,True,True,64,trivial,False,True
