world,policy,delay,t_irrev,enforcement_C,audit_p,audit_kappa,penalty_duration,quarantine_strictness,adversarial_strength,catastrophe_severity,migration_speed,migration_cost,scavenger_enabled,R,n,permanence_probability,permanence_wilson_lo,permanence_wilson_hi,capture_probability,strict_zero_capture_probability,collapse_probability,fraction_irreversible_zones,irreversible_zone_failures_mean,adversarial_share,mean_welfare,non_adv_diversity,enforcement_cost_share,false_positive_punishment_rate,collateral_dove_harm,enforcement_events,viable,nontrivial_enforcement_viable
PURE_CATASTROPHE,neighbor_quarantine,2,7,0.2,0.0,0.0,4,0.55,0.7,0.55,0.22,0.08,0,3.5,25,1.0,0.8668035060468213,1.0,0.0,1.0,0.0,0.0,0.0,0.026107057809729505,1.0,0.4396510703554366,0.0,0.0,0.0,0.0,0,0
PURE_CATASTROPHE,neighbor_quarantine,2,7,0.45,0.0,0.0,4,0.55,0.7,0.55,0.22,0.08,0,3.5,25,1.0,0.8668035060468213,1.0,0.0,1.0,0.0,0.0,0.0,0.026107057809729505,1.0,0.4396510703554366,0.0,0.0,0.0,0.0,0,0
PURE_CATASTROPHE,neighbor_quarantine,2,7,0.7,0.0,0.0,4,0.55,0.7,0.55,0.22,0.08,0,3.5,25,1.0,0.8668035060468213,1.0,0.0,1.0,0.0,0.0,0.0,0.026107057809729505,1.0,0.4396510703554366,0.0,0.0,0.0,0.0,0,0
PURE_CATASTROPHE,neighbor_audit_penalty,2,7,0.2,0.35,0.08,4,0.25,0.7,0.55,0.22,0.08,0,3.5,25,1.0,0.8668035060468213,1.0,0.0,1.0,0.0,0.0,0.0,0.026106793410157245,1.0,0.4396358350167863,0.0,0.0,0.0,0.0,0,0
PURE_CATASTROPHE,neighbor_audit_penalty,2,7,0.45,0.35,0.08,4,0.25,0.7,0.55,0.22,0.08,0,3.5,25,1.0,0.8668035060468213,1.0,0.0,1.0,0.0,0.0,0.0,0.026106793410157245,1.0,0.4396358350167863,0.0,0.0,0.0,0.0,0,0
PURE_CATASTROPHE,neighbor_audit_penalty,2,7,0.7,0.35,0.08,4,0.25,0.7,0.55,0.22,0.08,0,3.5,25,1.0,0.8668035060468213,1.0,0.0,1.0,0.0,0.0,0.0,0.026106793410157245,1.0,0.4396358350167863,0.0,0.0,0.0,0.0,0,0
PURE_CATASTROPHE,consequence_plus_diversity,2,7,0.2,0.0,0.0,4,0.25,0.7,0.55,0.22,0.08,0,3.5,25,1.0,0.8668035060468213,1.0,0.0,1.0,0.0,0.0,0.0,0.025246358770303363,1.0,0.5204017055521326,0.0,0.0,0.0,0.0,1,0
PURE_CATASTROPHE,consequence_plus_diversity,2,7,0.45,0.0,0.0,4,0.25,0.7,0.55,0.22,0.08,0,3.5,25,1.0,0.8668035060468213,1.0,0.0,1.0,0.0,0.0,0.0,0.025246358770303363,1.0,0.5204017055521326,0.0,0.0,0.0,0.0,1,0
PURE_CATASTROPHE,consequence_plus_diversity,2,7,0.7,0.0,0.0,4,0.25,0.7,0.55,0.22,0.08,0,3.5,25,1.0,0.8668035060468213,1.0,0.0,1.0,0.0,0.0,0.0,0.025246358770303363,1.0,0.5204017055521326,0.0,0.0,0.0,0.0,1,0
PURE_CATASTROPHE,diversity_non_adversarial_only,2,7,0.0,0.0,0.0,4,0.25,0.7,0.55,0.22,0.08,0,3.5,25,1.0,0.8668035060468213,1.0,0.0,1.0,0.0,0.0,0.0,0.02264453269110657,0.9995204132656859,0.4913318491123046,0.0,0.0,0.0,0.0,1,0
MIXED_CAPTURE_CATASTROPHE,neighbor_consequence,2,7,0.0,0.0,0.0,4,0.25,0.7,0.55,0.22,0.08,0,3.5,25,0.0,0.0,0.13319649395317873,1.0,0.0,0.0,0.2222222222222222,2.0,0.27800580206021663,0.7787775264708475,0.500344562435804,0.0,0.0,0.0,0.0,0,0
MIXED_CAPTURE_CATASTROPHE,local_global_neighbor,2,7,0.0,0.0,0.0,4,0.25,0.7,0.55,0.22,0.08,0,3.5,25,0.0,0.0,0.13319649395317873,1.0,0.0,0.0,0.2222222222222222,2.0,0.532615631074091,0.7751324192019341,0.523984848113393,0.0,0.0,0.0,0.0,0,0
MIXED_CAPTURE_CATASTROPHE,response_to_neighbor_aid,2,7,0.0,0.0,0.0,4,0.25,0.7,0.55,0.22,0.08,0,3.5,25,0.0,0.0,0.13319649395317873,1.0,0.0,0.0,0.2222222222222222,2.0,0.5115352596064863,0.7780019455315319,0.5253503605013184,0.0,0.0,0.0,0.0,0,0
MIXED_CAPTURE_CATASTROPHE,neighbor_penalty,2,7,0.2,0.0,0.0,4,0.25,0.7,0.55,0.22,0.08,0,3.5,25,0.0,0.0,0.13319649395317873,1.0,0.0,0.0,0.2222222222222222,2.0,0.6007578706561069,0.7556496166441394,0.5504300181187132,0.1620700218369431,0.24177777777777776,49.21115459037905,25.44,0,0
MIXED_CAPTURE_CATASTROPHE,neighbor_penalty,2,7,0.45,0.0,0.0,4,0.25,0.7,0.55,0.22,0.08,0,3.5,25,0.0,0.0,0.13319649395317873,1.0,0.0,0.0,0.2222222222222222,2.0,0.5906593744108563,0.7565817610096078,0.5475548619558278,0.31521648165188954,0.36177777777777775,74.45941686628909,38.04,0,0
MIXED_CAPTURE_CATASTROPHE,neighbor_penalty,2,7,0.7,0.0,0.0,4,0.25,0.7,0.55,0.22,0.08,0,3.5,25,0.0,0.0,0.13319649395317873,1.0,0.0,0.04,0.2311111111111111,2.08,0.508763843042634,0.746066347311452,0.5364015233381607,0.42689569108843883,0.7688888888888888,154.540686797023,85.0,0,0
MIXED_CAPTURE_CATASTROPHE,neighbor_quarantine,2,7,0.2,0.0,0.0,4,0.55,0.7,0.55,0.22,0.08,0,3.5,25,0.0,0.0,0.13319649395317873,1.0,0.0,0.0,0.2222222222222222,2.0,0.5695650774415584,0.7542676392911173,0.5434215743069395,0.06542952827742712,0.7488888888888888,162.72996057618408,64.88,0,0
MIXED_CAPTURE_CATASTROPHE,neighbor_quarantine,2,7,0.45,0.0,0.0,4,0.55,0.7,0.55,0.22,0.08,0,3.5,50,0.0,0.0,0.07135003417431873,1.0,0.0,0.0,0.2222222222222222,2.0,0.5695650774415584,0.7542676392911173,0.5434215743069395,0.07175470137060885,0.7488888888888888,162.72996057618408,64.88,0,0
MIXED_CAPTURE_CATASTROPHE,neighbor_quarantine,2,7,0.7,0.0,0.0,4,0.55,0.7,0.55,0.22,0.08,0,3.5,25,0.0,0.0,0.13319649395317873,1.0,0.0,0.0,0.2222222222222222,2.0,0.5695650774415584,0.7542676392911173,0.5434215743069395,0.07798785872876521,0.7488888888888888,162.72996057618408,64.88,0,0
MIXED_CAPTURE_CATASTROPHE,neighbor_audit_penalty,2,7,0.2,0.35,0.08,4,0.25,0.7,0.55,0.22,0.08,0,3.5,25,0.0,0.0,0.13319649395317873,1.0,0.0,0.0,0.2222222222222222,2.0,0.6119975638603489,0.7546052996898673,0.5541087842920708,0.053169184301804034,0.124,25.12965486744819,6.72,0,0
MIXED_CAPTURE_CATASTROPHE,neighbor_audit_penalty,2,7,0.45,0.35,0.08,4,0.25,0.7,0.55,0.22,0.08,0,3.5,25,0.0,0.0,0.13319649395317873,1.0,0.0,0.0,0.2222222222222222,2.0,0.6089650270972959,0.7546016488985626,0.5529765267961055,0.14018767063725876,0.15911111111111112,32.1156059031868,10.52,0,0
MIXED_CAPTURE_CATASTROPHE,neighbor_audit_penalty,2,7,0.7,0.35,0.08,4,0.25,0.7,0.55,0.22,0.08,0,3.5,25,0.0,0.0,0.13319649395317873,1.0,0.0,0.0,0.2222222222222222,2.0,0.5995691498604213,0.7530584793238831,0.5500406824745013,0.20117949288179837,0.23377777777777775,47.36909802140789,17.88,0,0
MIXED_CAPTURE_CATASTROPHE,consequence_plus_diversity,2,7,0.2,0.0,0.0,4,0.25,0.7,0.55,0.22,0.08,0,3.5,25,0.0,0.0,0.13319649395317873,1.0,0.0,0.0,0.2222222222222222,2.0,0.5437182013531188,0.7684027515756243,0.6081110874885439,0.3896011638651312,1.6413333333333333,367.9109725489733,122.6,0,0
MIXED_CAPTURE_CATASTROPHE,consequence_plus_diversity,2,7,0.45,0.0,0.0,4,0.25,0.7,0.55,0.22,0.08,0,3.5,25,0.0,0.0,0.13319649395317873,1.0,0.0,0.0,0.2222222222222222,2.0,0.4326564880281758,0.7651763990081293,0.6070649928606036,0.4682932843608148,1.7080000000000002,376.44954065500934,126.8,0,0
MIXED_CAPTURE_CATASTROPHE,consequence_plus_diversity,2,7,0.7,0.0,0.0,4,0.25,0.7,0.55,0.22,0.08,0,3.5,25,0.0,0.0,0.13319649395317873,1.0,0.0,0.36,0.3377777777777778,3.04,0.36007556899847354,0.6332840106455478,0.611295257772528,0.3936513881519317,1.6453333333333333,346.55034617541196,139.56,0,0
MIXED_CAPTURE_CATASTROPHE,diversity_non_adversarial_only,2,7,0.0,0.0,0.0,4,0.25,0.7,0.55,0.22,0.08,0,3.5,25,0.0,0.0,0.13319649395317873,1.0,0.0,0.0,0.2222222222222222,2.0,0.5630231882987148,0.7182379449553014,0.585797547109609,0.0,0.0,0.0,0.0,0,0
SCAVENGER_CATASTROPHE,neighbor_consequence,2,7,0.0,0.0,0.0,4,0.25,0.7,0.55,0.22,0.08,1,3.5,25,0.0,0.0,0.13319649395317873,1.0,0.0,0.0,0.2222222222222222,2.0,0.303823581237387,0.7786140196476226,0.5012349643206404,0.0,0.0,0.0,0.0,0,0
SCAVENGER_CATASTROPHE,local_global_neighbor,2,7,0.0,0.0,0.0,4,0.25,0.7,0.55,0.22,0.08,1,3.5,25,0.0,0.0,0.13319649395317873,1.0,0.0,0.0,0.2222222222222222,2.0,0.5475645964470351,0.7688183235159172,0.525827815408988,0.0,0.0,0.0,0.0,0,0
SCAVENGER_CATASTROPHE,response_to_neighbor_aid,2,7,0.0,0.0,0.0,4,0.25,0.7,0.55,0.22,0.08,1,3.5,25,0.0,0.0,0.13319649395317873,1.0,0.0,0.0,0.2222222222222222,2.0,0.5119846672549513,0.7784298324909562,0.5246009067662812,0.0,0.0,0.0,0.0,0,0
SCAVENGER_CATASTROPHE,neighbor_penalty,2,7,0.2,0.0,0.0,4,0.25,0.7,0.55,0.22,0.08,1,3.5,25,0.0,0.0,0.13319649395317873,1.0,0.0,0.0,0.2222222222222222,2.0,0.6118834545433345,0.7545096583438615,0.5508649330054854,0.1756587845235243,0.2608888888888889,53.012674073794024,27.04,0,0
SCAVENGER_CATASTROPHE,neighbor_penalty,2,7,0.45,0.0,0.0,4,0.25,0.7,0.55,0.22,0.08,1,3.5,25,0.0,0.0,0.13319649395317873,1.0,0.0,0.0,0.2222222222222222,2.0,0.6029077570849894,0.7552855720017309,0.5482212855269363,0.2962292473326119,0.3151111111111111,63.69519405399316,36.36,0,0
SCAVENGER_CATASTROPHE,neighbor_penalty,2,7,0.7,0.0,0.0,4,0.25,0.7,0.55,0.22,0.08,1,3.5,25,0.0,0.0,0.13319649395317873,1.0,0.0,0.0,0.22666666666666666,2.04,0.46665556616146003,0.7269706991180632,0.5327030490898356,0.4571007599448533,0.8866666666666667,176.9054606354571,102.64,0,0
SCAVENGER_CATASTROPHE,neighbor_quarantine,2,7,0.2,0.0,0.0,4,0.55,0.7,0.55,0.22,0.08,1,3.5,25,0.0,0.0,0.13319649395317873,1.0,0.0,0.0,0.2222222222222222,2.0,0.5850763001072958,0.7528833499946836,0.5446332793040309,0.057806843934476,0.6591111111111111,140.48311730588335,58.24,0,0
SCAVENGER_CATASTROPHE,neighbor_quarantine,2,7,0.45,0.0,0.0,4,0.55,0.7,0.55,0.22,0.08,1,3.5,25,0.0,0.0,0.13319649395317873,1.0,0.0,0.0,0.2222222222222222,2.0,0.5850763001072958,0.7528833499946836,0.5446332793040309,0.06356713221419864,0.6591111111111111,140.48311730588335,58.24,0,0
