seed,world,policy,delay,t_irrev,R,adversarial_strength,catastrophe_severity,diversity_floor,enforcement_C,audit_p,audit_kappa,penalty_duration,quarantine_strictness,migration_speed,migration_cost,scavenger_enabled,permanence,collapse,capture,mean_welfare,min_welfare,adversarial_share,dove_share,total_diversity,non_adv_diversity,adv_diversity,irreversible_zone_failures,time_to_first_irreversible_failure,fraction_irreversible_zones,last_aid_updates_nonzero,neighbor_metrics_nonzero,signal_truth_corr,mutual_information,enforcement_cost_share,false_positive_punishment_rate,collateral_dove_harm,enforcement_events,strict_zero_capture
9310,T1_proxy_trap,feature_proxy,2,7,3.5,0.7,0.55,0.35,0.45,0.0,0.0,4,0.45,0.22,0.08,0,0.0,1.0,1.0,0.0002813584269799909,0.0,0.8135531830175964,0.16332309173019846,0.3233287634904133,0.6235306415835571,0.4697479007459371,9,6,1.0,1.0,1.0,0.9530125779814757,0.8904916363322298,0.0,0.0,0.0,0,0.0
9311,T1_proxy_trap,feature_proxy,2,7,3.5,0.7,0.55,0.35,0.45,0.0,0.0,4,0.45,0.22,0.08,0,0.0,1.0,1.0,0.00027074955670028275,0.0,0.8169742752985427,0.16007170905061702,0.32523078699250724,0.6140989067022624,0.4738031218780059,9,6,1.0,1.0,1.0,0.9479726982183218,0.8470712129826103,0.0,0.0,0.0,0,0.0
9312,T1_proxy_trap,feature_proxy,2,7,3.5,0.7,0.55,0.35,0.45,0.0,0.0,4,0.45,0.22,0.08,0,0.0,1.0,1.0,0.18116119699865021,0.0,0.7829491773112399,0.19356625204624928,0.29958431151860737,0.6162890720043204,0.46761671718665415,7,6,0.7777777777777778,1.0,1.0,0.9631081288826402,0.8699160947940296,0.0,0.0,0.0,0,0.0
9313,T1_proxy_trap,feature_proxy,2,7,3.5,0.7,0.55,0.35,0.45,0.0,0.0,4,0.45,0.22,0.08,0,0.0,1.0,1.0,0.00022955581854022905,0.0,0.8079793734439347,0.16888946809292812,0.31699949498355845,0.6081587802030461,0.47595115510387864,9,6,1.0,1.0,1.0,0.9544819257671736,0.8699160947940296,0.0,0.0,0.0,0,0.0
9314,T1_proxy_trap,feature_proxy,2,7,3.5,0.7,0.55,0.35,0.45,0.0,0.0,4,0.45,0.22,0.08,0,0.0,1.0,1.0,0.20324010175109686,0.0,0.7795591980794508,0.19699975299552275,0.29885549546377366,0.6177142607189003,0.47189933615731455,7,6,0.7777777777777778,1.0,1.0,0.9633282746990417,0.8617606266030471,0.0,0.0,0.0,0,0.0
9315,T1_proxy_trap,feature_proxy,2,7,3.5,0.7,0.55,0.35,0.45,0.0,0.0,4,0.45,0.22,0.08,0,0.0,1.0,1.0,0.14504214524540376,0.0,0.7787223240445191,0.19762091186757283,0.2956806910305856,0.6160196131772426,0.4698374738184061,7,6,0.7777777777777778,1.0,1.0,0.9649673372324561,0.8699160947940296,0.0,0.0,0.0,0,0.0
9316,T1_proxy_trap,feature_proxy,2,7,3.5,0.7,0.55,0.35,0.45,0.0,0.0,4,0.45,0.22,0.08,0,0.0,1.0,1.0,0.10168547281255054,0.0,0.7881517211663814,0.188419806387609,0.3023377113232033,0.6154886441250809,0.47352320322429886,8,6,0.8888888888888888,1.0,1.0,0.9637877213522784,0.8789863463619216,0.0,0.0,0.0,0,0.0
9317,T1_proxy_trap,feature_proxy,2,7,3.5,0.7,0.55,0.35,0.45,0.0,0.0,4,0.45,0.22,0.08,0,0.0,1.0,1.0,0.08991300189198559,0.0,0.7999963961635546,0.17679385281587365,0.31440273674186003,0.6222525539096305,0.46927850084309164,8,6,0.8888888888888888,1.0,1.0,0.9576652487722297,0.8617606266030471,0.0,0.0,0.0,0,0.0
9318,T1_proxy_trap,feature_proxy,2,7,3.5,0.7,0.55,0.35,0.45,0.0,0.0,4,0.45,0.22,0.08,0,0.0,1.0,1.0,0.26614812737863935,0.0,0.7597385648598082,0.21665459650103264,0.2830588456619475,0.6032722619684578,0.4726580088317757,6,6,0.6666666666666666,1.0,1.0,0.9659343403109634,0.8617606266030471,0.0,0.0,0.0,0,0.0
9319,T1_proxy_trap,feature_proxy,2,7,3.5,0.7,0.55,0.35,0.45,0.0,0.0,4,0.45,0.22,0.08,0,0.0,1.0,1.0,0.23486030000132338,0.0,0.7687381958479266,0.20766364388639294,0.2884056486134139,0.6099522002041309,0.4684623919725294,6,6,0.6666666666666666,1.0,1.0,0.9660430968647588,0.8617606266030471,0.0,0.0,0.0,0,0.0
9320,T1_proxy_trap,feature_proxy,2,7,3.5,0.7,0.55,0.35,0.45,0.0,0.0,4,0.45,0.22,0.08,0,0.0,1.0,1.0,0.2662866280972261,0.0,0.7663737877000439,0.2099572185485526,0.2852433251519981,0.6047082709133449,0.4756105582526841,6,6,0.6666666666666666,1.0,1.0,0.9679373916554396,0.8699160947940296,0.0,0.0,0.0,0,0.0
9321,T1_proxy_trap,feature_proxy,2,7,3.5,0.7,0.55,0.35,0.45,0.0,0.0,4,0.45,0.22,0.08,0,0.0,1.0,1.0,0.09111479032167094,0.0,0.7868910290095964,0.18953874492851,0.30121379131314513,0.623165918116691,0.4722681449849453,8,6,0.8888888888888888,1.0,1.0,0.9655764793012689,0.8699160947940296,0.0,0.0,0.0,0,0.0
9322,T1_proxy_trap,feature_proxy,2,7,3.5,0.7,0.55,0.35,0.45,0.0,0.0,4,0.45,0.22,0.08,0,0.0,1.0,1.0,0.10823735221675944,0.0,0.7913539174704638,0.1853948736611771,0.30619642573363826,0.6133252017307267,0.4729099544564994,8,6,0.8888888888888888,1.0,1.0,0.9571630251467038,0.8541968157423399,0.0,0.0,0.0,0,0.0
