gamma,p,C,kappa,audit_on,n,successes,permanence_rate,wilson_lo,wilson_hi,mean_final_corr,mean_corr,mean_adversary_fitness,mean_adversary_deceptive_gap,mean_capture_events,mean_caught_events,mean_false_positive_events,mean_steps_run
0.0,0.0,0.5,0.0,False,30,20,0.6666666666666666,0.48779725813830266,0.807697044731538,-0.06666666666666667,0.0897076023391813,1.1307813950076244,0.005568248388532384,0.0,0.0,0.0,114.7
0.0,0.0,0.5,0.05,False,30,20,0.6666666666666666,0.48779725813830266,0.807697044731538,-0.06666666666666667,0.0897076023391813,1.1307813950076244,0.005568248388532384,0.0,0.0,0.0,114.7
0.0,0.0,0.5,0.1,False,30,20,0.6666666666666666,0.48779725813830266,0.807697044731538,-0.06666666666666667,0.0897076023391813,1.1307813950076244,0.005568248388532384,0.0,0.0,0.0,114.7
0.0,0.0,0.5,0.2,False,30,20,0.6666666666666666,0.48779725813830266,0.807697044731538,-0.06666666666666667,0.0897076023391813,1.1307813950076244,0.005568248388532384,0.0,0.0,0.0,114.7
0.0,0.0,0.5,0.4,False,30,20,0.6666666666666666,0.48779725813830266,0.807697044731538,-0.06666666666666667,0.0897076023391813,1.1307813950076244,0.005568248388532384,0.0,0.0,0.0,114.7
0.0,0.0,0.75,0.0,False,30,20,0.6666666666666666,0.48779725813830266,0.807697044731538,-0.06666666666666667,0.0897076023391813,1.1307813950076244,0.005568248388532384,0.0,0.0,0.0,114.7
0.0,0.0,0.75,0.05,False,30,20,0.6666666666666666,0.48779725813830266,0.807697044731538,-0.06666666666666667,0.0897076023391813,1.1307813950076244,0.005568248388532384,0.0,0.0,0.0,114.7
0.0,0.0,0.75,0.1,False,30,20,0.6666666666666666,0.48779725813830266,0.807697044731538,-0.06666666666666667,0.0897076023391813,1.1307813950076244,0.005568248388532384,0.0,0.0,0.0,114.7
0.0,0.0,0.75,0.2,False,30,20,0.6666666666666666,0.48779725813830266,0.807697044731538,-0.06666666666666667,0.0897076023391813,1.1307813950076244,0.005568248388532384,0.0,0.0,0.0,114.7
0.0,0.0,0.75,0.4,False,30,20,0.6666666666666666,0.48779725813830266,0.807697044731538,-0.06666666666666667,0.0897076023391813,1.1307813950076244,0.005568248388532384,0.0,0.0,0.0,114.7
0.0,0.0,1.0,0.0,False,30,20,0.6666666666666666,0.48779725813830266,0.807697044731538,-0.06666666666666667,0.0897076023391813,1.1307813950076244,0.005568248388532384,0.0,0.0,0.0,114.7
0.0,0.0,1.0,0.05,False,30,20,0.6666666666666666,0.48779725813830266,0.807697044731538,-0.06666666666666667,0.0897076023391813,1.1307813950076244,0.005568248388532384,0.0,0.0,0.0,114.7
0.0,0.0,1.0,0.1,False,30,20,0.6666666666666666,0.48779725813830266,0.807697044731538,-0.06666666666666667,0.0897076023391813,1.1307813950076244,0.005568248388532384,0.0,0.0,0.0,114.7
0.0,0.0,1.0,0.2,False,30,20,0.6666666666666666,0.48779725813830266,0.807697044731538,-0.06666666666666667,0.0897076023391813,1.1307813950076244,0.005568248388532384,0.0,0.0,0.0,114.7
0.0,0.0,1.0,0.4,False,30,20,0.6666666666666666,0.48779725813830266,0.807697044731538,-0.06666666666666667,0.0897076023391813,1.1307813950076244,0.005568248388532384,0.0,0.0,0.0,114.7
0.0,0.1,0.0,0.0,False,30,8,0.26666666666666666,0.14182495553910618,0.4444830204431169,-0.06666666666666665,0.13333599149388625,1.130815530460191,0.00466553137409195,0.0,0.0,0.0,115.8
0.0,0.1,0.0,0.05,False,30,8,0.26666666666666666,0.14182495553910618,0.4444830204431169,-0.13333333333333333,0.13166932482721955,1.1301358327728377,0.004683316072498793,0.0,0.0,0.0,115.8
0.0,0.1,0.0,0.1,False,30,8,0.26666666666666666,0.14182495553910618,0.4444830204431169,-0.2,0.1253669202504787,1.1294872253285735,0.004697735856464605,0.0,0.0,0.0,116.26666666666667
0.0,0.1,0.0,0.2,False,30,11,0.36666666666666664,0.2187370220401768,0.5448675356639505,-0.19999999999999998,0.14666666666666667,1.1285374102667727,0.004736301371023442,0.0,0.0,0.0,117.96666666666667
0.0,0.1,0.0,0.4,False,30,14,0.4666666666666667,0.30232127224128236,0.6385798671847496,-0.13333333333333333,0.20572463768115945,1.1258382398043876,0.0047928726449814945,0.0,0.0,0.0,118.3
0.0,0.1,0.25,0.0,True,30,8,0.26666666666666666,0.14182495553910618,0.4444830204431169,-0.06666666666666665,0.13333599149388625,1.130815530460191,0.00466553137409195,0.0,0.0,0.0,115.8
0.0,0.1,0.25,0.05,True,30,12,0.4,0.24590394326083403,0.5767994750172616,-0.3333333333333333,0.2122242729994668,1.1309528644160722,0.005214410028523378,0.0,0.0,0.03333333333333333,118.2
0.0,0.1,0.25,0.1,True,30,12,0.4,0.24590394326083403,0.5767994750172616,-0.26666666666666666,0.2153156842669787,1.1297794490847797,0.005368482807118483,0.0,0.0,0.03333333333333333,116.06666666666666
0.0,0.1,0.25,0.2,True,30,13,0.43333333333333335,0.2737723743061511,0.6080299045459127,-0.26666666666666666,0.19309346204475644,1.1284692276289479,0.005456594580089313,0.0,0.0,0.13333333333333333,116.06666666666666
0.0,0.1,0.25,0.4,True,30,13,0.43333333333333335,0.2737723743061511,0.6080299045459127,-0.3333333333333333,0.16666295273411394,1.1255560983676718,0.005540450362501384,0.0,0.0,0.36666666666666664,116.03333333333333
0.0,0.1,0.5,0.0,True,30,8,0.26666666666666666,0.14182495553910618,0.4444830204431169,-0.06666666666666665,0.13333599149388625,1.130815530460191,0.00466553137409195,0.0,0.0,0.0,115.8
0.0,0.1,0.5,0.05,True,30,12,0.4,0.24590394326083403,0.5767994750172616,-0.3333333333333333,0.2122242729994668,1.1309128903510564,0.005214410028523378,0.0,0.0,0.03333333333333333,118.2
0.0,0.1,0.5,0.1,True,30,12,0.4,0.24590394326083403,0.5767994750172616,-0.26666666666666666,0.2153156842669787,1.1297264838952215,0.005368482807118483,0.0,0.0,0.03333333333333333,116.06666666666666
0.0,0.1,0.5,0.2,True,30,12,0.4,0.24590394326083403,0.5767994750172616,-0.26666666666666666,0.19309346204475644,1.1283462415605923,0.005456594580089313,0.0,0.0,0.13333333333333333,116.06666666666666
0.0,0.1,0.5,0.4,True,30,12,0.4,0.24590394326083403,0.5767994750172616,-0.3333333333333333,0.1699962860674473,1.125379037193901,0.005540450362501384,0.0,0.0,0.36666666666666664,116.03333333333333
0.0,0.1,0.75,0.0,True,30,8,0.26666666666666666,0.14182495553910618,0.4444830204431169,-0.06666666666666665,0.13333599149388625,1.130815530460191,0.00466553137409195,0.0,0.0,0.0,115.8
0.0,0.1,0.75,0.05,True,30,12,0.4,0.24590394326083403,0.5767994750172616,-0.26666666666666666,0.2022242729994668,1.130918227177578,0.005214410028523378,0.0,0.0,0.03333333333333333,118.2
0.0,0.1,0.75,0.1,True,30,12,0.4,0.24590394326083403,0.5767994750172616,-0.2,0.20531568426697872,1.1297355426179272,0.005368482807118483,0.0,0.0,0.03333333333333333,116.06666666666666
0.0,0.1,0.75,0.2,True,30,12,0.4,0.24590394326083403,0.5767994750172616,-0.2,0.19087123982253423,1.1282298958658277,0.005456594580089313,0.0,0.0,0.13333333333333333,116.06666666666666
0.0,0.1,0.75,0.4,True,30,11,0.36666666666666664,0.2187370220401768,0.5448675356639505,-0.26666666666666666,0.1649962860674473,1.1250240138865144,0.005540450362501384,0.0,0.0,0.36666666666666664,116.03333333333333
0.0,0.1,1.0,0.0,True,30,8,0.26666666666666666,0.14182495553910618,0.4444830204431169,-0.06666666666666665,0.13333599149388625,1.130815530460191,0.00466553137409195,0.0,0.0,0.0,115.8
0.0,0.1,1.0,0.05,True,30,12,0.4,0.24590394326083403,0.5767994750172616,-0.26666666666666666,0.2022242729994668,1.1308635276545447,0.005214410028523378,0.0,0.0,0.03333333333333333,118.2
