world,intervention,oracle_non_blind,delay,t_irrev,intervention_strength,intervention_duration,density_cap,resource_cap_share,R,n,permanence_wilson_lo,permanence_wilson_hi,permanence_probability,capture_probability,collapse_probability,fraction_irreversible_zones,irreversible_zone_failures,mean_welfare,adversarial_share,hawk_population,scavenger_population,dove_population,mutant_population,hawk_reproduction_contribution,scavenger_reproduction_contribution,dove_reproduction_contribution,hawk_migration_contribution,scavenger_migration_contribution,dove_migration_contribution,aid_interception_volume,resource_concentration_hhi,neighbor_damage,intervention_event_count,intervention_cost,intervention_cost_share,collateral_dove_loss,oracle_kill_volume,oracle_freeze_volume,strict_zero_capture,delta_capture,delta_adversarial_share,delta_hawk_pop,delta_welfare,delta_dove_pop
FIXED_MI_DELAY,type_blind_freeze_all_reproduction_in_bad_zones,0,2,7,0.75,6,48.0,0.12,3.5,25,0.0,0.13319649395317873,0.0,1.0,0.0,0.2222222222222222,2.0,0.7278331069316111,0.6235101295803777,514.4045662206914,6.3998399692268375,285.9843540791827,28.491788431053113,465.30773768959756,0.0,139.53534229679804,7.527494070384986,1.2520003846645222,75.87348666279043,71.98765924554345,0.21013660798809486,0.0,29.88,19.748644734119033,0.2640321165787181,11.479838131673555,0.0,0.0,0.0,0.0,0.014682357034340177,-0.0012313663572740552,-0.00028265017562867367,-19.594240207873554
FIXED_MI_DELAY,type_blind_resource_cap_bad_zones,0,2,7,0.75,6,48.0,0.12,3.5,25,0.0,0.13319649395317873,0.0,1.0,0.0,0.2222222222222222,2.0,0.7592935514145958,0.5900146013943707,514.2492887390985,6.398765748716383,331.91011155012524,29.877395596158102,465.0316345133703,0.0,187.25745715910477,7.377963580226221,1.2654281410452115,84.59592927881756,70.00857452694092,0.19462412561780884,0.0,35.8,3.3991404911932004,0.05820181075064968,0.0,0.0,0.0,0.0,0.0,-0.018813171151666808,-0.15650884795024922,0.03117779430735601,26.331517263068974
FIXED_MI_DELAY,type_blind_no_outgoing_migration_bad_zones,0,2,7,0.75,6,48.0,0.12,3.5,25,0.0,0.13319649395317873,0.0,1.0,0.0,0.2222222222222222,2.0,0.7281140656139352,0.6049637641192228,514.6043227660816,6.406814499882574,311.0173066839033,29.200405659284538,465.49905883299783,0.0,164.07489145122517,7.123200667571609,1.16481875146782,75.59570131678338,71.53415588205321,0.20137552589317198,0.0,29.84,14.384142393015061,0.20727741172922687,0.0,0.0,0.0,0.0,0.0,-0.003864008426814669,0.198525179032913,-1.6914933045342195e-06,5.438712396847052
FIXED_MI_DELAY,type_blind_no_interceptable_aid_bad_zones,0,2,7,0.75,6,48.0,0.12,3.5,25,0.0,0.13319649395317873,0.0,1.0,0.0,0.2222222222222222,2.0,0.7327447785419733,0.6166357819413469,513.1323200433291,6.400087530699295,294.45980698454264,28.515933933146275,464.0372536235776,0.0,148.7341408402375,7.616083299393575,1.2489058662588208,77.53420505208105,69.13594360624148,0.20689423592030068,0.0,30.32,2.288858109652445,0.04114175142960371,0.0,0.0,0.0,0.0,0.0,0.0078080093953094565,-1.2734775437196504,0.004629021434733538,-11.118787302513624
FIXED_MI_DELAY,type_blind_edge_cut_bad_zones,0,2,7,0.75,6,48.0,0.12,3.5,25,0.0,0.13319649395317873,0.0,1.0,0.0,0.2222222222222222,2.0,0.7281157571072397,0.6088277725460375,514.4057975870487,6.399836273739613,305.57859428705626,29.041554865779162,465.3101344592003,0.0,160.88159950536226,7.529401020698313,1.2520465782548469,80.08177729693914,71.47031405916321,0.20336837110532524,0.0,29.84,1.492,0.026409008660446757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FIXED_MI_DELAY,global_density_cap,0,2,7,0.75,6,38.0,0.12,3.5,25,0.0,0.13319649395317873,0.0,1.0,0.0,0.2222222222222222,2.0,0.7290894120641651,0.25362892247051155,84.07129020211056,2.6483986306545506,236.56452942270607,18.631395953506907,40.976602199118595,0.0,93.82380518790495,6.370257024312718,1.170630952661088,74.1880104347816,70.84045342524742,0.11111243375449771,0.0,476.4,17.403533908119044,0.24036754879584776,68.02646659776738,0.0,0.0,0.0,0.0,-0.35519885007552593,-430.33450738493815,0.0009736549569253627,-69.01406486435019
FIXED_MI_DELAY,combined_type_blind_maximal,0,2,7,0.75,6,38.0,0.12,3.5,25,0.0,0.13319649395317873,0.0,1.0,0.0,0.2222222222222222,2.0,0.7610141298905099,0.2514094231829463,83.39383475298077,2.566944062821694,237.59164043289556,18.363081480570596,40.94668312824869,0.0,93.43235653770637,6.074696741095406,1.1135125518912916,71.63293164837874,70.85456156981198,0.11111236615637843,0.0,505.12,37.992261871193996,0.40855020020159827,81.924519593139,0.0,0.0,0.0,0.0,-0.3574183493630912,-431.01196283406796,0.032898372783270124,-67.9869538541607
PURE_CATASTROPHE,no_intervention,0,2,7,0.75,6,48.0,0.12,3.5,25,0.8668035060468213,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.026100248188291778,13.611915123629041,3.402983741839625,578.6567107748499,56.23498832348384,0.0,0.0,374.4304664481763,4.851060954636986,1.2127032270046905,131.35921346415094,65.92501828579536,0.11410468043529454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
PURE_CATASTROPHE,oracle_kill_hawks,1,2,7,0.75,6,48.0,0.12,3.5,25,0.8668035060468213,1.0,1.0,0.0,0.0,0.0,0.0,1.0,3.045898968189759e-222,1.589044584082452e-219,3.9726143482853104e-220,595.0036490243662,57.12208367451401,0.0,0.0,391.0485301056293,0.0020693430807891106,0.0005135014306311791,133.81437001358253,51.98566324317102,0.11425713974700484,0.0,1620.0,0.0,0.0,0.0,17.499793372439086,0.0,1.0,0.0,-0.026100248188291778,-13.611915123629041,0.0,16.346938249516256
PURE_CATASTROPHE,oracle_freeze_hawk_reproduction,1,2,7,0.75,6,48.0,0.12,3.5,25,0.8668035060468213,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.026100248188291778,13.611915123629041,3.402983741839625,578.6567107748499,56.23498832348384,0.0,0.0,374.4304664481763,4.851060954636986,1.2127032270046905,131.35921346415094,65.92501828579536,0.11410468043529454,0.0,810.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
