seed,world,intervention,oracle_non_blind,policy,delay,t_irrev,R,adversarial_strength,catastrophe_severity,intervention_strength,intervention_duration,density_cap,resource_cap_share,permanence,collapse,capture,mean_welfare,min_welfare,adversarial_share,dove_share,total_diversity,non_adv_diversity,adv_diversity,irreversible_zone_failures,time_to_first_irreversible_failure,fraction_irreversible_zones,last_aid_updates_nonzero,neighbor_metrics_nonzero,signal_truth_corr,mutual_information,enforcement_cost_share,false_positive_punishment_rate,collateral_dove_harm,enforcement_events,strict_zero_capture,containment_cost_share,false_containment_rate,containment_events,extraction_volume,extraction_cap_active_steps,outgoing_influence_volume,influence_throttle_active_steps,aid_intercepted,aid_escrowed,resource_hhi,max_zone_resource_share,migration_follow_events,replication_throttle_active_steps,capture_pressure_before,capture_pressure_after,collateral_welfare_loss,intervention_event_count,intervention_cost,intervention_cost_share,collateral_dove_loss,hawk_population,scavenger_population,dove_population,mutant_population,hawk_reproduction_contribution,scavenger_reproduction_contribution,dove_reproduction_contribution,hawk_migration_contribution,scavenger_migration_contribution,dove_migration_contribution,aid_interception_volume,resource_concentration_hhi,neighbor_damage,oracle_kill_volume,oracle_freeze_volume
9500,PURE_CATASTROPHE,type_blind_edge_cut_bad_zones,0,no_enforcement,2,7,3.5,0.7,0.55,0.75,6,48.0,0.12,1.0,0.0,0.0,1.0,1.0,0.026082551856338367,0.88771338505043,0.3094165834172736,0.4397202836690183,0.6961984080350915,0,90,0.0,1.0,1.0,0.9578469286338855,0.45859694687487457,0.0,0.0,0.0,0,1.0,0.0,0.0,0,65.92066453330192,0,0.0,0,65.92066453330192,0.0,0.11111111111111112,0.11111111111111112,0,0,1.7475841488296213,1.7460574773472433,0.0,0,0.0,0.0,0.0,13.611043460177468,3.402767908611036,579.0609816855949,56.23144839291825,0.0,0.0,374.8399296792787,4.861956747781598,1.215401142362038,131.52155631677388,65.92066453330192,0.11416171956951092,0.0,0.0,0.0
9501,PURE_CATASTROPHE,type_blind_edge_cut_bad_zones,0,no_enforcement,2,7,3.5,0.7,0.55,0.75,6,48.0,0.12,1.0,0.0,0.0,1.0,1.0,0.026052816459385713,0.8878873719479677,0.30940635282042145,0.4399682881794068,0.6952857092110236,0,90,0.0,1.0,1.0,0.9556617971504672,0.43470104443864466,0.0,0.0,0.0,0,1.0,0.0,0.0,0,65.89940644749383,0,0.0,0,65.89940644749383,0.0,0.11111111111111112,0.11111111111111112,0,0,1.7472335448686986,1.745710196366495,0.0,0,0.0,0.0,0.0,13.612113968061994,3.4030342438458137,579.8810755346717,56.205840608229394,0.0,0.0,375.5628248174844,4.848575399225066,1.2120719519273317,131.48619468712022,65.89940644749383,0.11434908679361967,0.0,0.0,0.0
9502,PURE_CATASTROPHE,type_blind_edge_cut_bad_zones,0,no_enforcement,2,7,3.5,0.7,0.55,0.75,6,48.0,0.12,1.0,0.0,0.0,1.0,1.0,0.026131466658203897,0.8875273270500332,0.30984210907702114,0.44037162765978044,0.6933561671420538,0,90,0.0,1.0,1.0,0.9524721934838227,0.43993768133231326,0.0,0.0,0.0,0,1.0,0.0,0.0,0,65.9542553454855,0,0.0,0,65.9542553454855,0.0,0.11111111111111112,0.11111111111111112,0,0,1.7477477217183923,1.7462207612913965,0.0,0,0.0,0.0,0.0,13.610898937686075,3.4027277171992965,577.8496395148564,56.214871823628876,0.0,0.0,373.6289346671983,4.8637632789240035,1.215903535008783,131.41528503206737,65.9542553454855,0.1141465424756426,0.0,0.0,0.0
9503,PURE_CATASTROPHE,type_blind_edge_cut_bad_zones,0,no_enforcement,2,7,3.5,0.7,0.55,0.75,6,48.0,0.12,1.0,0.0,0.0,1.0,1.0,0.026055356872320055,0.8878310737821672,0.30936369204746594,0.43969075022809617,0.6967702216283348,0,90,0.0,1.0,1.0,0.9501139302747444,0.396672506833167,0.0,0.0,0.0,0,1.0,0.0,0.0,0,65.89335858116985,0,0.0,0,65.89335858116985,0.0,0.11111111111111112,0.11111111111111112,0,0,1.7474234649427627,1.7459002790499347,0.0,0,0.0,0.0,0.0,13.611929937571633,3.4029894517786534,579.7799748355072,56.234710117275164,0.0,0.0,375.51248796131705,4.850875780354593,1.2126318527668467,131.49663455766947,65.89335858116985,0.114220649489498,0.0,0.0,0.0
9504,PURE_CATASTROPHE,type_blind_edge_cut_bad_zones,0,no_enforcement,2,7,3.5,0.7,0.55,0.75,6,48.0,0.12,1.0,0.0,0.0,1.0,1.0,0.026058050274160742,0.8878395925351356,0.30954067526656087,0.44008772074301233,0.6961354623674352,0,90,0.0,1.0,1.0,0.9569678797757851,0.46950035042585336,0.0,0.0,0.0,0,1.0,0.0,0.0,0,65.90296077155472,0,0.0,0,65.90296077155472,0.0,0.11111111111111112,0.11111111111111112,0,0,1.7474010438319934,1.7458772644372387,0.0,0,0.0,0.0,0.0,13.611359346994965,3.4028473352750526,579.7013271969256,56.2192215316997,0.0,0.0,375.4299732808022,4.858008162563017,1.2144083090618512,131.58495701888066,65.90296077155472,0.11435824134592767,0.0,0.0,0.0
9505,PURE_CATASTROPHE,type_blind_edge_cut_bad_zones,0,no_enforcement,2,7,3.5,0.7,0.55,0.75,6,48.0,0.12,1.0,0.0,0.0,1.0,1.0,0.02607924038699911,0.8877404555644366,0.3095130341397754,0.4399059727640568,0.69733857608038,0,90,0.0,1.0,1.0,0.9552565133581089,0.4192319570842445,0.0,0.0,0.0,0,1.0,0.0,0.0,0,65.90836925898134,0,0.0,0,65.90836925898134,0.0,0.11111111111111112,0.11111111111111112,0,0,1.74742975150373,1.7459052753490627,0.0,0,0.0,0.0,0.0,13.612595474756525,3.403152433159151,579.2180897674083,56.22948776617164,0.0,0.0,374.9291084664942,4.842556565543453,1.210594585510608,131.31589361099853,65.90836925898134,0.11422136398643626,0.0,0.0,0.0
9506,PURE_CATASTROPHE,type_blind_edge_cut_bad_zones,0,no_enforcement,2,7,3.5,0.7,0.55,0.75,6,48.0,0.12,1.0,0.0,0.0,1.0,1.0,0.02608977110998873,0.8877590997410606,0.309547459393863,0.4399125574603057,0.6952794290806525,0,90,0.0,1.0,1.0,0.9576515681303471,0.45859694687487457,0.0,0.0,0.0,0,1.0,0.0,0.0,0,65.95112103987269,0,0.0,0,65.95112103987269,0.0,0.11111111111111112,0.11111111111111112,0,0,1.7475653160448457,1.7460384021903717,0.0,0,0.0,0.0,0.0,13.611619786063995,3.4029107733734074,578.9550344571588,56.18374394429107,0.0,0.0,374.6663276840944,4.854752674200024,1.2136153328323966,131.44096157956784,65.95112103987269,0.1142755343611844,0.0,0.0,0.0
9507,PURE_CATASTROPHE,type_blind_edge_cut_bad_zones,0,no_enforcement,2,7,3.5,0.7,0.55,0.75,6,48.0,0.12,1.0,0.0,0.0,1.0,1.0,0.026110905459985855,0.8875621481322618,0.30944447451801327,0.4396832016423914,0.6954871503491128,0,90,0.0,1.0,1.0,0.9528063719785007,0.43470104443864466,0.0,0.0,0.0,0,1.0,0.0,0.0,0,65.9235349024139,0,0.0,0,65.9235349024139,0.0,0.11111111111111112,0.11111111111111112,0,0,1.7476747233009589,1.7461472864483731,0.0,0,0.0,0.0,0.0,13.612833395287591,3.4032092611474463,578.4094847266113,56.25783466985074,0.0,0.0,374.1780805938027,4.839582558905163,1.2098842356569166,131.1866137591429,65.9235349024139,0.11397304217359379,0.0,0.0,0.0
9508,PURE_CATASTROPHE,type_blind_edge_cut_bad_zones,0,no_enforcement,2,7,3.5,0.7,0.55,0.75,6,48.0,0.12,1.0,0.0,0.0,1.0,1.0,0.026074860734858804,0.8877986205944177,0.3095397923711622,0.43994832521040245,0.6963339869346512,0,90,0.0,1.0,1.0,0.9553948025784169,0.4295050296627404,0.0,0.0,0.0,0,1.0,0.0,0.0,0,65.92803952553007,0,0.0,0,65.92803952553007,0.0,0.11111111111111112,0.11111111111111112,0,0,1.7474932660596434,1.7459676833475388,0.0,0,0.0,0.0,0.0,13.611955657388,3.4029917270229704,579.3260785156195,56.201189278056944,0.0,0.0,375.0389995541629,4.850554282650052,1.2126034122128768,131.4415994993536,65.92803952553007,0.11429108582962949,0.0,0.0,0.0
9509,PURE_CATASTROPHE,type_blind_edge_cut_bad_zones,0,no_enforcement,2,7,3.5,0.7,0.55,0.75,6,48.0,0.12,1.0,0.0,0.0,1.0,1.0,0.026116450214796832,0.8875785617507783,0.30943783797505486,0.43947960936537744,0.6949274563507739,0,90,0.0,1.0,1.0,0.9523653998769813,0.44521569638725117,0.0,0.0,0.0,0,1.0,0.0,0.0,0,65.93925260768052,0,0.0,0,65.93925260768052,0.0,0.11111111111111112,0.11111111111111112,0,0,1.7476821774830145,1.7461557590228356,0.0,0,0.0,0.0,0.0,13.611303973604377,3.4028300788681656,578.232512746794,56.22527654836766,0.0,0.0,374.0581219648425,4.858700329945285,1.2146240141479414,131.40574146419087,65.93925260768052,0.11399679806505451,0.0,0.0,0.0
9510,PURE_CATASTROPHE,type_blind_edge_cut_bad_zones,0,no_enforcement,2,7,3.5,0.7,0.55,0.75,6,48.0,0.12,1.0,0.0,0.0,1.0,1.0,0.026045515547612558,0.8878507460574125,0.3093115671880213,0.4396721563629224,0.6956089105156202,0,90,0.0,1.0,1.0,0.953528908920387,0.4243489041231825,0.0,0.0,0.0,0,1.0,0.0,0.0,0,65.86432808905295,0,0.0,0,65.86432808905295,0.0,0.11111111111111112,0.11111111111111112,0,0,1.7472588672161211,1.7457370782350201,0.0,0,0.0,0.0,0.0,13.613057889425441,3.4032719700217817,580.0599774364651,56.25419899851821,0.0,0.0,375.7626784432747,4.8367763821819425,1.2091003747277231,131.37662982603246,65.86432808905295,0.11421861076653815,0.0,0.0,0.0
9511,PURE_CATASTROPHE,type_blind_edge_cut_bad_zones,0,no_enforcement,2,7,3.5,0.7,0.55,0.75,6,48.0,0.12,1.0,0.0,0.0,1.0,1.0,0.026128499612354326,0.8875117194548396,0.30915384482216923,0.4385596632619739,0.697002204322151,0,90,0.0,1.0,1.0,0.9563319847201769,0.3991424621463333,0.0,0.0,0.0,0,1.0,0.0,0.0,0,65.94696207643375,0,0.0,0,65.94696207643375,0.0,0.11111111111111112,0.11111111111111112,0,0,1.7477895478667436,1.7462620268189115,0.0,0,0.0,0.0,0.0,13.612034273707444,3.4030119051387855,577.9533120857461,56.23804207440319,0.0,0.0,373.72319430043416,4.849571578656974,1.2123511857651907,131.27815585996817,65.94696207643375,0.11363516501390353,0.0,0.0,0.0
9512,PURE_CATASTROPHE,type_blind_edge_cut_bad_zones,0,no_enforcement,2,7,3.5,0.7,0.55,0.75,6,48.0,0.12,1.0,0.0,0.0,1.0,1.0,0.026136713506788454,0.8873843346712023,0.3093003217726531,0.4390606605395612,0.6952763628919886,0,90,0.0,1.0,1.0,0.9552651245311232,0.4243489041231825,0.0,0.0,0.0,0,1.0,0.0,0.0,0,65.9064660626721,0,0.0,0,65.9064660626721,0.0,0.11111111111111112,0.11111111111111112,0,0,1.7477538882581622,1.7462274808450144,0.0,0,0.0,0.0,0.0,13.61212463378999,3.4030344369386527,577.6925858479326,56.29832232400039,0.0,0.0,373.5207707395562,4.848442077625082,1.2120695382668352,131.2401541277284,65.9064660626721,0.1136137635756002,0.0,0.0,0.0
