regime,seed,split,setting,capture_rate,lag,audit_period,horizon_harm,horizon_observation,R,true_permanence_hold,permanence_hold,failure,extinct,captured,time_to_failure,final_min_true_share,final_prod_true_share,final_true_corr_sa,final_corr_sa,corr_start,corr_end,mean_intervention_inside_floor,mean_intervention_outside_floor,mean_true_permanence,mean_corr_sa,capture_events,steps_run
geometric,4121,heldout,r05,0.22,4,2,5,6,0.8333333333333334,1,1,0,0,0,120,0.2376130939778267,0.18115311154811123,-0.9999999999999999,-0.9999999999999999,1.0,-0.26666666666666666,0.9888867244779792,0.0,1.0,0.55,0,120
geometric,4121,heldout,r06,0.18,3,2,6,5,1.2,0,0,1,0,0,120,0.08732580957620753,0.07970001255806747,1.0,1.0,1.0,-0.06666666666666667,0.9824196268484953,0.9955254216904916,0.625,0.7333333333333333,0,120
geometric,4121,heldout,r07,0.14,2,2,8,4,2.0,0,0,1,0,0,120,0.13745019198924788,0.11855763671136678,0.9999999999999999,0.9999999999999999,1.0,1.0,0.9808768188719462,0.9924630081586738,0.8416666666666667,1.0,0,120
geometric,4121,heldout,r08,0.1,1,2,10,3,3.3333333333333335,0,0,1,0,0,120,0.16766412174497045,0.13955286402445818,1.0,1.0,1.0,1.0,0.9964644617996778,0.9891384600577018,0.7916666666666666,1.0,0,120
geometric,4121,heldout,r09,0.08,0,2,13,2,6.5,0,0,1,0,0,120,0.10173972327235545,0.09138875198081998,0.9999999999999999,0.9999999999999999,1.0,1.0,1.0003349470703906,0.9931770111119315,0.425,1.0,0,120
geometric,4122,heldout,r01,0.55,9,2,2,11,0.18181818181818182,0,0,1,1,1,27,1.0517901278468788e-09,1.0517901267406163e-09,1.0,1.0,1.0,1.0,1.003123127346065,0.9882578383515961,0.8571428571428571,0.9285714285714286,13,28
geometric,4122,heldout,r02,0.45,7,2,3,9,0.3333333333333333,0,0,1,1,1,43,1.0399687719747647e-09,1.0399687708932295e-09,-0.9999999999999999,-0.9999999999999999,1.0,-1.0,0.9724183173465019,1.0047465220887255,0.9090909090909091,0.3181818181818182,20,44
geometric,4122,heldout,r03,0.35,6,2,3,8,0.375,0,0,1,1,1,85,1.0500344082246536e-09,1.0500344071220812e-09,-1.0,-1.0,1.0,-1.0,0.9895344942405037,0.9905667280007844,0.8837209302325582,-0.18604651162790697,33,86
geometric,4122,heldout,r04,0.28,5,2,4,7,0.5714285714285714,1,1,0,0,0,120,0.3778550200677941,0.235080603877361,-1.0,-1.0,0.4,-1.0,0.9925951222162736,0.0,1.0,-0.16666666666666666,0,120
geometric,4122,heldout,r05,0.22,4,2,5,6,0.8333333333333334,1,1,0,0,0,120,0.15575061090158543,0.13149235810536838,-1.0,-1.0,0.26666666666666666,-0.3333333333333333,0.9989218586716978,0.0,1.0,-0.18333333333333332,0,120
geometric,4122,heldout,r06,0.18,3,2,6,5,1.2,1,1,0,0,0,120,0.1737110272574259,0.14353550626659575,-1.0,-1.0,0.26666666666666666,0.13333333333333333,0.9884800812390107,0.0,1.0,-0.13333333333333333,0,120
geometric,4122,heldout,r07,0.14,2,2,8,4,2.0,1,1,0,0,0,120,0.3313975078325068,0.22157319963491037,-1.0,-1.0,0.26666666666666666,-1.0,0.9925935957710511,0.0,1.0,-0.3333333333333333,0,120
geometric,4122,heldout,r08,0.1,1,2,10,3,3.3333333333333335,1,1,0,0,0,120,0.1756863605166332,0.14482066324505277,-1.0,-1.0,0.26666666666666666,-1.0,0.994652141251143,0.0,1.0,-0.5,0,120
geometric,4122,heldout,r09,0.08,0,2,13,2,6.5,1,1,0,0,0,120,0.3110272624503618,0.21428930446299554,-1.0,-1.0,0.2,-0.26666666666666666,0.9906820845492116,0.0,1.0,-0.016666666666666666,0,120
geometric,4123,heldout,r01,0.55,9,2,2,11,0.18181818181818182,0,0,1,1,1,29,1.0313702603927258e-09,1.031370259329001e-09,-0.9999999999999999,-0.9999999999999999,1.0,-1.0,0.9483752342921269,0.9066196377270789,0.6666666666666666,0.4,16,30
geometric,4123,heldout,r02,0.45,7,2,3,9,0.3333333333333333,0,0,1,1,1,42,1.046187321319882e-09,1.046187320225374e-09,-0.9999999999999999,-0.9999999999999999,0.9999999999999998,-1.0,0.9492502059013972,0.9797625436162164,0.7441860465116279,0.16279069767441862,21,43
