split,seed,governor,collapse_time,shock_survived,final_population,median_population,mean_gini,recovery_floor_time
heldout,7011,geometric_mean,180,True,10,10.0,0.27914926233823933,85
heldout,7011,incomplete_preference,122,False,0,5.0,0.23718801185811064,85
heldout,7012,arithmetic_mean,101,False,0,5.0,0.24551052599627002,83
heldout,7012,geometric_mean,180,True,10,9.5,0.26663143714592036,84
heldout,7012,incomplete_preference,103,False,0,5.0,0.24202587102618534,83
heldout,7013,arithmetic_mean,103,False,0,3.5,0.2265843446333094,78
heldout,7013,geometric_mean,180,True,10,9.0,0.2725205444246489,81
heldout,7013,incomplete_preference,129,False,0,3.5,0.18080205708751768,80
heldout,7014,arithmetic_mean,107,False,0,1.5,0.24135101891903504,78
heldout,7014,geometric_mean,152,True,0,7.0,0.2336301187840482,80
heldout,7014,incomplete_preference,180,True,10,8.0,0.2727639472320264,78
heldout,7015,arithmetic_mean,98,False,0,6.0,0.26386928828906675,81
heldout,7015,geometric_mean,180,True,10,10.0,0.28279255382405416,85
heldout,7015,incomplete_preference,102,False,0,6.5,0.2506616701084036,81
heldout,7016,arithmetic_mean,104,False,0,2.0,0.24398092625641116,78
heldout,7016,geometric_mean,127,False,0,4.0,0.23178940941117976,79
heldout,7016,incomplete_preference,94,False,0,1.0,0.2488764586865723,77
heldout,7017,arithmetic_mean,95,False,0,3.0,0.2681783432908616,79
heldout,7017,geometric_mean,128,False,0,6.0,0.2527807875098039,82
heldout,7017,incomplete_preference,105,False,0,4.0,0.23547725622206192,79
heldout,7018,arithmetic_mean,115,False,0,2.5,0.2248472642721111,80
heldout,7018,geometric_mean,136,True,0,5.5,0.24150314665725925,80
heldout,7018,incomplete_preference,90,False,0,0.5,0.2616195625765839,78
heldout,7019,arithmetic_mean,93,False,0,4.0,0.27454291374598616,80
heldout,7019,geometric_mean,180,True,9,9.0,0.2814927800113994,86
heldout,7019,incomplete_preference,93,False,0,4.0,0.2787576308785724,79
heldout,7020,arithmetic_mean,96,False,0,2.0,0.26619352337055746,80
heldout,7020,geometric_mean,180,True,9,8.0,0.24335699635925648,80
heldout,7020,incomplete_preference,119,False,0,5.0,0.2657510409644163,81
heldout,7021,arithmetic_mean,93,False,0,3.0,0.3038654868380828,72
heldout,7021,geometric_mean,180,True,9,8.0,0.29847820732846725,75
heldout,7021,incomplete_preference,100,False,0,4.0,0.3059146005145294,73
heldout,7022,arithmetic_mean,106,False,0,2.0,0.2447425852538497,78
heldout,7022,geometric_mean,180,True,9,8.0,0.2860628683481447,78
heldout,7022,incomplete_preference,126,False,0,1.0,0.19484490188184703,77
heldout,7023,arithmetic_mean,127,False,0,7.5,0.22734134477057844,80
heldout,7023,geometric_mean,113,False,0,6.5,0.24987770465184084,82
heldout,7023,incomplete_preference,114,False,0,5.5,0.24029998113073678,80
heldout,7024,arithmetic_mean,117,False,0,4.5,0.21270464958772653,78
heldout,7024,geometric_mean,130,False,0,5.0,0.22838688230955614,78
heldout,7024,incomplete_preference,119,False,0,5.0,0.229255413261349,79
heldout,7025,arithmetic_mean,123,False,0,1.5,0.19245471625976335,79
heldout,7025,geometric_mean,95,False,0,1.5,0.2550851050741364,79
heldout,7025,incomplete_preference,110,False,0,2.5,0.22315471656134458,79
heldout,7026,arithmetic_mean,137,True,0,7.0,0.24357220413600442,81
heldout,7026,geometric_mean,180,True,11,9.0,0.32106272347348214,80
heldout,7026,incomplete_preference,100,False,0,4.0,0.2998489746022383,79
heldout,7027,arithmetic_mean,106,False,0,1.5,0.2550713399797097,78
heldout,7027,geometric_mean,180,True,11,9.0,0.28926271643704116,77
heldout,7027,incomplete_preference,102,False,0,1.5,0.26874305701142137,77
heldout,7028,arithmetic_mean,125,False,0,4.0,0.22476067109140752,80
heldout,7028,geometric_mean,180,True,10,9.0,0.26010370207060973,83
heldout,7028,incomplete_preference,128,False,0,4.0,0.2332507618687182,80
heldout,7029,arithmetic_mean,122,False,0,3.0,0.19824940915832784,81
heldout,7029,geometric_mean,106,False,0,4.0,0.23585468606667942,84
heldout,7029,incomplete_preference,107,False,0,2.0,0.21336733322929835,81
