seed,mode,world,policy,audit_intervention,delay,t_irrev,R,containment_strength,capture_threshold,permanence,collapse,capture_index,strict_zero_capture,resource_hhi,max_lineage_share,exploitative_strategy_mass,cooperative_strategy_mass,strategy_diversity,response_diversity,welfare,minimum_zone_welfare,neighbor_harm_volume,aid_interception_volume,extraction_volume,deception_level,catastrophe_recovery_rate,mutation_survival,containment_cost,false_containment,delayed_consequence_true_harm_mi,irreversible_failures,containment_events,mutation_events,selection_delta_seen,initial_exploitative_strategy_mass,exploit_payoff_total,coop_payoff_total,no_strategy_observation_asserted,capture_component_resource_concentration,capture_component_exploit_mass,capture_component_neighbor_harm,capture_component_aid_interception,capture_component_coop_loss
9610,governance,W4_scavenger_catastrophe,response_to_aid,audit_no_intervention,2,8,4.0,0.62,0.5,0.0,1.0,0.7138191389875557,0.0,0.18921303582450874,0.015570064620791163,0.677234201669489,0.3227657983304244,0.3909763158480735,0.9930934948897335,0.11757369281726529,0.0,10.942636200484548,1.9677344273487196,1.1621036635499629,0.1985498927806652,0.0,1472,0.0,0.0,0.0035476301586974453,9,0,1472,1.0,0.013236233799245637,22903.531348922013,3687.3395774032538,1.0,0.22314835632399327,1.0,1.0,1.0,0.23151000397517996
9611,governance,W4_scavenger_catastrophe,response_to_aid,audit_no_intervention,2,8,4.0,0.62,0.5,0.0,1.0,0.7143691175842011,0.0,0.18989139728048,0.015515935815834258,0.6775802255775872,0.32241977442232644,0.4243167527575094,0.9929012151163941,0.13563268471028378,0.0,10.485144877738087,2.0916461987728323,1.1605479569436818,0.19171902541578634,0.0,1512,0.0,0.0,2.537450723762852e-05,9,0,1512,1.0,0.013202417823587942,21279.46062250193,3936.352778650147,1.0,0.22508653191248254,1.0,1.0,1.0,0.23233387042303225
9612,governance,W4_scavenger_catastrophe,response_to_aid,audit_no_intervention,2,8,4.0,0.62,0.5,0.0,1.0,0.7052013679473185,0.0,0.18959935541063241,0.01556910556738894,0.6524245202852478,0.34757547971466574,0.4401730121978366,0.9927021927200553,0.12428136872265928,0.0,11.081682979869411,2.1660446423431012,1.240682123642377,0.1937094799630347,0.0,1508,0.0,0.0,5.3054329667610346e-05,9,0,1508,1.0,0.012297537532775194,22836.740799931824,3957.0680269097033,1.0,0.2242521265700609,1.0,1.0,1.0,0.1724393340127006
9613,governance,W4_scavenger_catastrophe,response_to_aid,audit_no_intervention,2,8,4.0,0.62,0.5,0.0,1.0,0.7155282068255856,0.0,0.1933715832395924,0.015691904424871835,0.6597004772794929,0.32529945183448733,0.4792047266335459,0.9933260469843721,0.14222870538826682,0.0,10.913113229241153,2.184616494789467,1.2151389183324608,0.19655810951180155,0.0,1523,0.0,0.0,1.4712536689564593e-05,8,0,1523,1.0,0.012660719572263338,22175.185022237845,4416.2682757763105,1.0,0.2350299203670894,1.0,1.0,1.0,0.225477495632173
9614,governance,W4_scavenger_catastrophe,response_to_aid,audit_no_intervention,2,8,4.0,0.62,0.5,0.0,1.0,0.6834427654950705,0.0,0.19065281792824504,0.01557892374568565,0.5896463393879553,0.41035366061195805,0.43629119944262607,0.9941432502047791,0.13270014454026127,0.0,10.914853816950222,2.0580160614831486,1.1077898489161344,0.1832594283228356,0.0,1472,0.0,0.0,3.4372922060136105e-05,9,0,1472,1.0,0.010445751455223863,20963.92253766716,4568.409284360067,1.0,0.22726201947752553,1.0,1.0,1.0,0.02296747473343318
9615,governance,W4_scavenger_catastrophe,response_to_aid,audit_no_intervention,2,8,4.0,0.62,0.5,0.0,1.0,0.7249807575417978,0.0,0.1935748329678714,0.01572122827984595,0.7008099706490478,0.2991900293508647,0.40225008037338955,0.9936263742946324,0.1307964919092948,0.0,10.423775129492471,2.1212492250060775,1.1697263984198947,0.20243050430325757,0.0,1435,0.0,0.0,0.003099177300744587,9,0,1435,1.0,0.014397793511722589,21567.816238986277,3348.931921263677,1.0,0.235610633876458,1.0,1.0,1.0,0.28764278725984593
9616,governance,W4_scavenger_catastrophe,response_to_aid,audit_no_intervention,2,8,4.0,0.62,0.5,0.0,1.0,0.7045579647228327,0.0,0.19468176965054884,0.015745334876430345,0.6416779421944336,0.3583220578054787,0.4224849438411217,0.9932312430715875,0.1801106473775295,0.0,11.252099666083836,2.120532293429097,1.1962439621834695,0.1851032160706807,0.0,1530,0.0,0.0,1.0586973279360138e-05,7,0,1530,1.0,0.012068190435874702,22269.09833461778,4521.516702370276,1.0,0.23877331011267927,1.0,1.0,1.0,0.14685224332028876
9617,governance,W4_scavenger_catastrophe,response_to_aid,audit_no_intervention,2,8,4.0,0.62,0.5,0.0,1.0,0.7114200262275088,0.0,0.19170961882806734,0.015693751337175547,0.6661226998550943,0.3338773001448184,0.4001497187338543,0.9932280400452149,0.14447502205754884,0.0,10.856313020428225,2.0528667105575678,1.2026341707149308,0.20151259012936915,0.0,1529,0.0,0.0,8.888187069251577e-05,9,0,1529,1.0,0.01290014700338451,22070.141479816743,3531.9479251048397,1.0,0.23028145061987496,1.0,1.0,1.0,0.2050540472742418
9618,governance,W4_scavenger_catastrophe,response_to_aid,audit_no_intervention,2,8,4.0,0.62,0.5,0.0,1.0,0.7329377543135597,0.0,0.19120416902684859,0.01554934188189992,0.7272619301461823,0.27273806985373117,0.312004798742689,0.9934170980585928,0.14655617741524724,0.0,11.396994627352534,2.117954313975155,1.1997621446852897,0.20769105973922974,0.0,1531,0.0,0.0,0.0003949678605607732,9,0,1531,1.0,0.015606065463048343,25339.900234194676,3380.42498846182,1.0,0.22883730833067853,1.0,1.0,1.0,0.35062364320540196
9619,governance,W4_scavenger_catastrophe,response_to_aid,audit_no_intervention,2,8,4.0,0.62,0.5,0.0,1.0,0.7343830500275109,0.0,0.19640544197859428,0.015890052879776958,0.7221545177501717,0.27784548224973993,0.3986592454791668,0.9943861540502108,0.18959536693888573,0.0,10.891243946593102,2.1709355319423973,1.1695308811579939,0.21242660339766595,0.0,1601,0.0,0.0,0.0002430795281601816,8,0,1601,1.0,0.015651857335202305,23037.59152984132,3159.1501496772717,1.0,0.24369808819280908,1.0,1.0,1.0,0.3384631375006192
