mode,world,policy,audit_intervention,delay,t_irrev,containment_strength,capture_threshold,n,permanence_wilson_lo,permanence_wilson_hi,R,permanence_probability,collapse_probability,capture_index,strict_zero_capture_probability,resource_hhi,max_lineage_share,exploitative_strategy_mass,cooperative_strategy_mass,strategy_diversity,response_diversity,welfare,minimum_zone_welfare,neighbor_harm_volume,aid_interception_volume,extraction_volume,deception_level,catastrophe_recovery_rate,mutation_survival,containment_cost,false_containment,delayed_consequence_true_harm_mi,irreversible_failures,containment_events,mutation_events,selection_delta_seen,initial_exploitative_strategy_mass,exploit_payoff_total,coop_payoff_total,no_strategy_observation_asserted,capture_component_resource_concentration,capture_component_exploit_mass,capture_component_neighbor_harm,capture_component_aid_interception,capture_component_coop_loss,delta_capture_index,delta_exploitative_strategy_mass,delta_welfare,delta_response_diversity
governance,W3_catastrophe_ambiguity,action_channel_containment,audit_no_intervention,2,8,0.62,0.5,25,0.6534598601976183,0.9359665239142201,4.0,0.84,0.0,0.4561845840012736,0.0,0.24791434007676105,0.21458043625081114,0.10489075890312771,0.8951092410943318,0.15688020512842052,0.9359656778936286,0.9444911335532423,0.818172752313507,0.32954830498187687,0.9166041638192229,1.03405000482067,0.1990284943354123,0.9673176817434006,460.44,0.013579921705567218,0.7528,0.010942482636789106,1.92,136.0,460.44,1.0,0.07388634635527183,6.0900719169977755,1121.7719017561135,1.0,0.39086636847328565,0.18084613603987537,1.0,0.7970470989732373,0.0,-0.19308505064032266,-0.4264267862161144,0.846408266823105,-0.03481156593738688
governance,W3_catastrophe_ambiguity,consequence_plus_diversity,audit_no_intervention,2,8,0.62,0.5,25,0.6534598601976183,0.9359665239142201,4.0,0.84,0.0,0.4613356792096321,0.0,0.24937650554785284,0.21733769236146913,0.11386402171322199,0.8861359782841914,0.16182256320065494,0.943938328784822,0.949021517886604,0.8339757968599466,0.33408218746318197,0.9158382622253204,1.0303294689210343,0.20260893758722723,0.9654876983591995,443.24,0.013569746213646483,0.8952,0.011290936858987183,2.2,128.44,443.24,1.0,0.07573271632718763,8.321698820135508,1068.0038218784325,1.0,0.3950439841049765,0.19631727881590003,1.0,0.7963810975872352,0.0,-0.18793395543196417,-0.41745352340602015,0.8509386511564667,-0.026838915046193512
governance,W4_scavenger_catastrophe,feature_proxy,audit_no_intervention,2,8,0.62,0.5,25,0.0,0.13319649395317873,4.0,0.0,1.0,0.6641635895455008,0.0,0.16606489291761004,0.01442601080569761,0.660936627543681,0.33906337245623874,0.38333378565207943,0.9936161209584575,0.12248527952839958,0.0,8.470810102637941,0.9254837673448405,0.7548219987834434,0.20581102888165656,0.0,1547.88,0.0,0.0,0.002697784449244444,8.48,0.0,1547.88,1.0,0.011744933367503606,17461.9007178893,4135.849617080445,1.0,0.15701080516142554,1.0,1.0,0.8047684933433397,0.19270625605657435,-0.058185091517307996,-0.030667983919162256,0.00021028497593797435,0.00011821167433478941
governance,W4_scavenger_catastrophe,consequence_neighbor,audit_no_intervention,2,8,0.62,0.5,25,0.0,0.13319649395317873,4.0,0.0,1.0,0.7223486810628088,0.0,0.19461775628891442,0.01578014319820233,0.6916046114628432,0.30839538853706905,0.41016881618007534,0.9934979092841227,0.1222749945524616,0.0,11.38430938489935,2.2453566213329728,1.2367229729150966,0.19963564043365015,0.0,1538.04,0.0,0.0,0.0006084367978881988,8.8,0.0,1538.04,1.0,0.014219547391562377,24483.518029306615,3645.2383271740323,1.0,0.23859041479372378,1.0,1.0,1.0,0.2657252653879308,0.0,0.0,0.0,0.0
governance,W4_scavenger_catastrophe,response_to_aid,audit_no_intervention,2,8,0.62,0.5,25,0.0,0.13319649395317873,4.0,0.0,1.0,0.7124575429080352,0.0,0.1910684824172424,0.015625802351964355,0.6689351145457073,0.3298438533562928,0.4043988747273306,0.993487906212698,0.13577768419823152,0.0,11.119626418852937,2.058172244644096,1.1702382200297419,0.19633938776377277,0.0,1531.6,0.0,0.0,0.0006253991134540615,8.72,0.0,1531.6,1.0,0.01308059089138341,22942.415103260944,3904.785554046203,1.0,0.22844963230323231,1.0,1.0,1.0,0.2146574920088267,-0.009891138154773604,-0.022669496917135934,0.013502689645769922,-1.0003071424735666e-05
governance,W4_scavenger_catastrophe,action_channel_containment,audit_no_intervention,2,8,0.62,0.5,50,0.4230578680014353,0.6883801278976466,4.0,0.56,0.0,0.5005546426484289,0.0,0.1606939165628053,0.11789827197145707,0.24730435185709038,0.7525532801271397,0.32350925554558985,0.965708616715127,0.965448935188551,0.8845783026068623,0.37873117248539173,1.3366296513654583,0.8594716667042698,0.13150262962805784,0.9819690519491084,484.72,0.01049064872339867,0.7668,0.010350125528271813,0.92,113.6,484.72,1.0,0.14176624539201874,3.8383749098720847,1104.3990053355528,1.0,0.14166515843341204,0.4263868135467076,1.0,1.0,0.0,-0.22179403841437995,-0.44430025960575287,0.8431739406360894,-0.02778929256899576
governance,W4_scavenger_catastrophe,consequence_plus_diversity,audit_no_intervention,2,8,0.62,0.5,25,0.23403057664190918,0.5926087221487266,4.0,0.4,0.0,0.512027296489722,0.0,0.15883432923619883,0.11133329892863053,0.27349039341482007,0.7265096065827922,0.3272830042341276,0.9701509757410902,0.9623993469344616,0.8959325030183891,0.38397246832106374,1.3318102719057974,0.8559546711504384,0.1347203083775279,0.9806422605881564,485.08,0.010343025240401782,0.746,0.008491979668659376,1.12,110.04,485.08,1.0,0.1412940224985319,19.452571545324197,1107.396542552283,1.0,0.13635205178596496,0.4715351610600347,1.0,1.0,0.0,-0.2103213845730868,-0.4181142180480232,0.840124352382,-0.023346933543032522
governance,W5_monoculture_shock,feature_proxy,audit_no_intervention,2,8,0.62,0.5,25,0.0,0.13319649395317873,4.0,0.0,0.04,0.38267983442029385,0.0,0.11551508359781593,0.049025531260173706,0.0,0.026992056279195927,0.05259172564268302,0.9913486102235222,0.48161531902602817,0.1700437258819573,0.4655831827376897,0.3032292648603114,0.4797238566557809,0.0800950677279622,1.0,1459.72,0.0,0.0,0.0,7.88,0.0,1459.72,1.0,0.0,0.0,2087.418000389929,1.0,0.012582778533442352,0.0,1.0,0.26367762161766206,0.9357331993352477,-0.0014259713524261697,0.0,0.005449527880011296,-0.0022296635818181976
governance,W5_monoculture_shock,consequence_neighbor,audit_no_intervention,2,8,0.62,0.5,25,0.0,0.13319649395317873,4.0,0.0,0.12,0.38410580577272,0.0,0.11265365541006914,0.04964934220045051,0.0,0.01849557069266967,0.03286729034040955,0.9935782738053404,0.47616579114601687,0.24439991922785623,0.459636847996847,0.30468688386580356,0.47867064762228984,0.08015084990768276,1.0,1485.32,0.0,0.0,0.0,8.2,0.0,1485.32,1.0,0.0,0.0,2077.663917270927,1.0,0.00440726942559434,0.0,1.0,0.2649451164050466,0.9559629269222151,0.0,0.0,0.0,0.0
governance,W5_monoculture_shock,response_to_aid,audit_no_intervention,2,8,0.62,0.5,25,0.0,0.13319649395317873,4.0,0.0,0.2,0.3839499764818294,0.0,0.11500108173690862,0.04883529657939177,0.0,0.023700361872982335,0.05490523527642718,0.9910887759440556,0.4802389377008549,0.25142315458349934,0.4554990413922963,0.3064310473304905,0.47750446710341743,0.08056228797253101,1.0,1468.88,0.0,0.0,0.0,8.48,0.0,1468.88,1.0,0.0,0.0,2085.7403227159125,1.0,0.011114201787992899,0.0,1.0,0.266461780287383,0.9435705669690897,-0.00015582929089064113,0.0,0.004073146554838036,-0.0024894978612847174
