,class_size,object_diversity,operator_diversity,depth_min,depth_max,reuse_count,role_score,action_effect_score,redundancy_score,signature_len,frequency,depth_score,reuse_rate,complexity,M1_original_score,M2_intervention_score,M3_reuse_score,M4_compression_score,M5_perturbation_centrality_score,M6_frequency_control_score,M7_random_matched_score
depth_score,-0.21695300052391756,-0.2022806131886177,-0.37323459071606985,0.9999999999999991,0.9999999999999991,-0.21533856687707295,0.5003398127912873,0.03897934005881654,0.4301056470889439,0.3443164849086348,-0.21695300052391825,1.0,0.4474353897755192,0.9505162558722455,0.5051713422687987,0.03897934005881652,0.4474353897755192,-0.17931947701642348,0.4230023580115491,-0.21211497144896996,-0.008497777585991899
reuse_rate,-0.23789006826907924,-0.2650281340257049,0.09378598148836242,0.4474353897755267,0.4474353897755267,-0.16263979201014397,0.41299602485362186,-0.7864896970404908,0.9894173629232293,0.5315952420281249,-0.23789006826908102,0.4474353897755192,1.0,0.5126244595475982,0.9900686967555372,-0.7864896970404908,1.0,-0.1830068270640558,0.9659929988616118,-0.2566774008378196,0.0019049993538903433
complexity,-0.1723435895674819,-0.18085671859961774,-0.06654101510735479,0.9505162558722526,0.9505162558722526,-0.1379900146653938,0.47270532585615677,-0.059393980503481325,0.5004284877618166,0.2902853838403442,-0.1723435895674821,0.9505162558722455,0.5126244595475982,1.0,0.5894481312170822,-0.05939398050348133,0.5126244595475982,-0.15132138262389125,0.5071983468234433,-0.179741328167307,-0.010902579961685057
M1_original_score,-0.16630901425085817,-0.19438389955941499,0.13776820906429288,0.505171342268796,0.505171342268796,-0.1020214291915874,0.4669577876170983,-0.7357781006802928,0.9898255268351956,0.4871742296537268,-0.16630901425085867,0.5051713422687987,0.9900686967555372,0.5894481312170822,1.0,-0.7357781006802927,0.9900686967555372,-0.1191759354344803,0.9738116574937158,-0.18451661211210005,-0.0005445145473014627
M2_intervention_score,0.10317392605262997,0.14223616632253813,-0.3025508836568904,0.038979340058816626,0.038979340058816626,0.026049981231721243,0.12156967938147227,1.0,-0.7881291010364113,-0.556832141073411,0.10317392605263112,0.03897934005881652,-0.7864896970404908,-0.05939398050348133,-0.7357781006802927,1.0,-0.7864896970404908,0.07215735382190312,-0.6789852709016009,0.1265334701515955,-0.006731934984639921
M3_reuse_score,-0.23789006826907924,-0.2650281340257049,0.09378598148836242,0.4474353897755267,0.4474353897755267,-0.16263979201014397,0.41299602485362186,-0.7864896970404908,0.9894173629232293,0.5315952420281249,-0.23789006826908102,0.4474353897755192,1.0,0.5126244595475982,0.9900686967555372,-0.7864896970404908,1.0,-0.1830068270640558,0.9659929988616118,-0.2566774008378196,0.0019049993538903433
M4_compression_score,0.952924409407475,0.8801929713143734,0.12403838648559891,-0.17931947701642242,-0.17931947701642242,0.8671827742815464,-0.15934097797583677,0.07215735382190312,-0.05591851600335226,-0.12573355138679546,0.9529244094074851,-0.17931947701642348,-0.1830068270640558,-0.15132138262389125,-0.1191759354344803,0.07215735382190312,-0.1830068270640558,1.0,-0.17752265964743982,0.9270562057367636,-0.01050512410918
M5_perturbation_centrality_score,-0.22441772056617093,-0.24984333842817671,0.1560532573312454,0.4230023580115495,0.4230023580115495,-0.1521097141884872,0.5969504286844451,-0.6789852709016009,0.9566989963618523,0.3637740701087443,-0.2244177205661734,0.4230023580115491,0.9659929988616118,0.5071983468234433,0.9738116574937158,-0.6789852709016009,0.9659929988616118,-0.17752265964743982,1.0,-0.24204323530733962,0.0009207772034980323
M6_frequency_control_score,0.9815279239608201,0.9875619820542549,0.14449892573854034,-0.2121149714489724,-0.2121149714489724,0.7970485841146854,-0.1735118744636759,0.1265334701515955,-0.11559079195193546,-0.17168912463977762,0.9815279239608117,-0.21211497144896996,-0.2566774008378196,-0.179741328167307,-0.18451661211210005,0.1265334701515955,-0.2566774008378196,0.9270562057367636,-0.24204323530733962,1.0,-0.009582529826484183
M7_random_matched_score,-0.009850176434306043,-0.009097914026447643,-0.005265257444326264,-0.008497777585991838,-0.008497777585991838,-0.008883419796972925,-0.0026994490522621113,-0.006731934984639921,0.0005917723285464363,0.003938170009902617,-0.009850176434306053,-0.008497777585991899,0.0019049993538903433,-0.010902579961685057,-0.0005445145473014627,-0.006731934984639921,0.0019049993538903433,-0.01050512410918,0.0009207772034980323,-0.009582529826484183,1.0
