class_id,class_key,class_size,object_diversity,operator_diversity,depth_min,depth_max,reuse_count,role_score,action_effect_score,redundancy_score,signature_len,representative,operator_family,frequency,depth_score,reuse_rate,complexity,M1_original_score,M2_intervention_score,M3_reuse_score,M4_compression_score,M5_perturbation_centrality_score,M6_frequency_control_score,M7_random_matched_score,class_a_survives,class_b_survives,class_b_attack_cost,class_b_auc_gns
77b6a1021cf1a462,"Ancestor(N3, N1) || Effect(N3 -> N1) || Reachable(N3, N1)",113,58,3,1,1,339,0.3274336283185841,0.3274336283185841,0.08431257658045423,246,"Ancestor(N3, N1) || Effect(N3 -> N1) || Reachable(N3, N1)",Ancestor;Effect;Reachable,0.1725190839694656,0.1666666666666666,2.0501998117759093e-05,5.0,0.1934154386001055,0.3274336283185841,2.0501998117759093e-05,10.127657584637449,0.2982393143947282,0.1707575892064619,0.6216599625252344,True,False,1.0,0.5
0f2f893b845d1cf6,"Ancestor(N3, N2) || Effect(N3 -> N2) || Reachable(N3, N2)",132,55,3,1,1,396,0.3409090909090909,0.3409090909090909,0.07995211146417514,247,"Ancestor(N3, N2) || Effect(N3 -> N2) || Reachable(N3, N2)",Ancestor;Effect;Reachable,0.2015267175572519,0.1666666666666666,2.0501998117759093e-05,5.0,0.1977437206775913,0.3409090909090909,2.0501998117759093e-05,11.660595871859533,0.3022819531718803,0.1827873690750932,0.3918731302095569,True,False,1.0,0.5
d34283f682fb5db5,P(N1 | N0),52,52,1,2,2,52,0.0,0.0,0.07560087104823046,283,P(N1 | N0),P_obs,0.0793893129770992,0.3333333333333333,3.895139878651031e-05,4.0,0.0980595056890416,0.0,3.895139878651031e-05,4.957608362559162,0.0833508614627872,0.111687377951358,0.6605574078115255,True,False,1.0,0.0
210dc2e782ce6534,P(N2 | N0),44,44,1,2,2,44,0.0,0.0,0.06397296407148625,284,P(N2 | N0),P_obs,0.0671755725190839,0.3333333333333333,3.895139878651031e-05,4.0,0.0928465640948645,0.0,3.895139878651031e-05,4.039167686658507,0.0833508614627872,0.0945047044203799,0.383402100119019,True,False,1.0,0.0
53b16c30a7f9d314,P(N3 | N0),48,48,1,2,2,48,0.0,0.0,0.06978691755985836,283,P(N3 | N0),P_obs,0.0732824427480916,0.3333333333333333,3.895139878651031e-05,4.0,0.095453034891953,0.0,3.895139878651031e-05,4.494535053968471,0.0833508614627872,0.103096041185869,0.6216599625252344,True,False,1.0,0.0
f0e578d57e5d51e5,P(N0 | N1),12,12,1,2,2,12,0.0,0.0,0.017461336164509508,280,P(N0 | N1),P_obs,0.0183206106870229,0.3333333333333333,3.895139878651031e-05,4.0,0.0719947977181558,0.0,3.895139878651031e-05,0.94391244870041,0.0833508614627872,0.0257740102964672,0.2355778804586744,,,,
37a2778aa2c10a05,P(N2 | N1),60,60,1,2,2,60,0.0,0.0,0.08722877802497465,284,P(N2 | N1),P_obs,0.0916030534351145,0.3333333333333333,3.895139878651031e-05,4.0,0.1032724472832188,0.0,3.895139878651031e-05,5.915952672378621,0.0833508614627872,0.1288700514823362,0.6248182843659388,True,False,1.0,0.0
d1ef19f473f194b5,P(N3 | N1),10,10,1,2,2,10,0.0,0.0,0.014554359420323454,280,P(N3 | N1),P_obs,0.015267175572519,0.3333333333333333,3.895139878651031e-05,4.0,0.0706915623196115,0.0,3.895139878651031e-05,0.7780437756497948,0.0833508614627872,0.0214783419137227,0.6216599625252344,,,,
af5dcc0f1bb1aaae,P(N0 | N2),11,11,1,2,2,11,0.0,0.0,0.016007847792416506,282,P(N0 | N2),P_obs,0.0167938931297709,0.3333333333333333,3.895139878651031e-05,4.0,0.0713431800188836,0.0,3.895139878651031e-05,0.858027006751688,0.0833508614627872,0.0236261761050949,0.6605574078115255,,,,
fb929282347e51f7,P(N1 | N2),44,44,1,2,2,44,0.0,0.0,0.06397296407148625,281,P(N1 | N2),P_obs,0.0671755725190839,0.3333333333333333,3.895139878651031e-05,4.0,0.0928465640948645,0.0,3.895139878651031e-05,4.056961376908103,0.0833508614627872,0.0945047044203799,0.5404617656055186,True,False,1.0,0.0
2198fe7030eb6d13,P(N3 | N2),11,11,1,2,2,11,0.0,0.0,0.016007847792416506,282,P(N3 | N2),P_obs,0.0167938931297709,0.3333333333333333,3.895139878651031e-05,4.0,0.0713431800188836,0.0,3.895139878651031e-05,0.858027006751688,0.0833508614627872,0.0236261761050949,0.5008129359642991,,,,
