,class_size,object_diversity,operator_diversity,depth_min,depth_max,reuse_count,role_score,action_effect_score,redundancy_score,signature_len,frequency,object_diversity_score,depth_score,reuse_rate,complexity,M2_intervention_score,M3_reuse_score,M4_compression_score,M5_perturbation_centrality_score,M1_original_score,M6_frequency_control_score,M7_random_matched_score
depth_score,0.18402911385752593,0.114691675567299,,0.8740946695782109,1.0,0.18585829507319393,0.31387174417288444,0.26636743914008165,0.19766888156798254,-0.001839444589891938,0.18402911385752638,0.1146916755672991,1.0,0.185858295073194,0.9999816940860242,0.26636743914008165,0.5509008828603761,-0.009733547859183891,0.38338239758674525,0.5969977404849222,0.1533251408745826,-0.13304959683202786
reuse_rate,0.7906318806883622,0.6161265446498267,,-0.12082655952187275,0.1858582950731941,0.9999999999999984,0.10566474568206938,0.027699911590206572,0.11021488271074845,0.14717115770300468,0.7906318806883609,0.6161265446498266,0.185858295073194,1.0,0.18674745775786908,0.027699911590206558,0.6936967735262719,0.5222939267390235,0.24778453017165109,0.5274874668826173,0.7296911757884046,-0.03239782013982752
complexity,0.1857775610120143,0.11719857536205643,,0.8729120458807048,0.9999816940860239,0.18674745775786888,0.3102485356756141,0.262330520847936,0.1932226659520552,0.004211322011109692,0.18577756101201456,0.11719857536205636,0.9999816940860242,0.18674745775786908,1.0,0.2623305208479361,0.5492048700734381,-0.00790449183911034,0.3799517132076428,0.5952728738654879,0.15559705804776702,-0.132939244246226
M2_intervention_score,0.0353674256421604,0.03817337843790673,,0.2470192294699417,0.2663674391400818,0.027699911590206544,0.9701880464983318,1.0,0.8489463941968473,-0.6668602406166023,0.035367425642160395,0.038173378437906774,0.26636743914008165,0.027699911590206558,0.2623305208479361,1.0,0.6746716773220983,0.013323569417969177,0.9571761094678116,0.7771530189661723,0.038745447966835704,-0.044667470712154614
M3_reuse_score,0.5225534178514725,0.40574660112771727,,0.31501813388619376,0.5509008828603768,0.6936967735262718,0.7502052487205615,0.6746716773220983,0.6046473717738218,-0.27964444614839223,0.5225534178514741,0.4057466011277183,0.5509008828603761,0.6936967735262719,0.5492048700734381,0.6746716773220983,1.0,0.27814653459932964,0.8422117757049232,0.9601280086281728,0.4814298102237384,-0.0908614255994853
M4_compression_score,0.7622327586706571,0.7884403088864613,,-0.18458968996704286,-0.00973354785918375,0.5222939267390229,-0.038834341107357985,0.013323569417969177,0.04847204168720594,0.30227412222941263,0.7622327586706581,0.788440308886462,-0.009733547859183891,0.5222939267390235,-0.00790449183911034,0.013323569417969177,0.27814653459932964,1.0,0.054692911234869794,0.3008720399842036,0.815325600176489,0.02495715562359329
M5_perturbation_centrality_score,0.16018287531151143,0.13222976876922862,,0.29338903607382827,0.38338239758674497,0.24778453017165128,0.9864688184987268,0.9571761094678116,0.8105041039477328,-0.5665299909676015,0.16018287531151196,0.13222976876922873,0.38338239758674525,0.24778453017165109,0.3799517132076428,0.9571761094678116,0.8422117757049232,0.054692911234869794,1.0,0.8977296688460592,0.1520937733469817,-0.06979156644462524
M1_original_score,0.47511878186532847,0.4587247886132668,,0.36432537925138714,0.5969977404849223,0.527487466882617,0.8246167894040767,0.7771530189661723,0.673585440650681,-0.284358412277925,0.4751187818653296,0.4587247886132673,0.5969977404849222,0.5274874668826173,0.5952728738654879,0.7771530189661723,0.9601280086281728,0.3008720399842036,0.8977296688460592,1.0,0.4893866950442472,-0.08370403024044261
M6_frequency_control_score,0.9421804512153725,0.961001641341388,,-0.22569218386597764,0.15332514087458277,0.7296911757884041,0.029213003447013712,0.038745447966835704,0.07605674556503332,0.3756585777848886,0.9421804512153742,0.9610016413413899,0.1533251408745826,0.7296911757884046,0.15559705804776702,0.038745447966835704,0.4814298102237384,0.815325600176489,0.1520937733469817,0.4893866950442472,1.0,0.009307134048261544
M7_random_matched_score,-0.018358956991186358,0.031331232432559336,,-0.1186199034361827,-0.1330495968320278,-0.0323978201398275,-0.06323706903249816,-0.044667470712154614,0.004556845464310517,0.018080035574271493,-0.018358956991186372,0.03133123243255935,-0.13304959683202786,-0.03239782013982752,-0.132939244246226,-0.044667470712154614,-0.0908614255994853,0.02495715562359329,-0.06979156644462524,-0.08370403024044261,0.009307134048261544,1.0
