feature_set,component,feature,loading
F3_all_internal,5,reuse_rate,0.07226358765397496
F3_all_internal,5,complexity,-0.2816183987257893
F3_all_internal,5,M1_original_score,0.06415135914945286
F3_all_internal,5,M2_intervention_score,0.0927008063376708
F3_all_internal,5,M3_reuse_score,0.07226358765397513
F3_all_internal,5,M4_compression_score,0.3243808518828094
F3_all_internal,5,M5_perturbation_centrality_score,0.19312914610622645
F3_all_internal,5,M6_frequency_control_score,0.20453014813683384
F3_all_internal,5,M7_random_matched_score,0.014870908941227138
F1_success_cluster,1,M1_original_score,0.5794401997717232
F1_success_cluster,1,M3_reuse_score,0.5779136138149455
F1_success_cluster,1,M5_perturbation_centrality_score,0.5746867928322834
F1_success_cluster,2,M1_original_score,-0.2867355079079684
F1_success_cluster,2,M3_reuse_score,-0.5154938016878764
F1_success_cluster,2,M5_perturbation_centrality_score,0.8074954420466658
F1_success_cluster,3,M1_original_score,0.7629100886692121
F1_success_cluster,3,M3_reuse_score,-0.6326784296850422
F1_success_cluster,3,M5_perturbation_centrality_score,-0.13298947784695025
