world,policy,delay,t_irrev,containment_C,containment_duration,concentration_threshold,escrow_rate,adversarial_strength,catastrophe_severity,migration_speed,migration_cost,scavenger_enabled,R,n,permanence_probability,permanence_wilson_lo,permanence_wilson_hi,capture_probability,strict_zero_capture_probability,collapse_probability,fraction_irreversible_zones,irreversible_zone_failures_mean,adversarial_share,mean_welfare,non_adv_diversity,containment_cost_share,false_containment_rate,containment_events,extraction_volume,extraction_cap_active_steps,outgoing_influence_volume,influence_throttle_active_steps,aid_intercepted,aid_escrowed,resource_hhi,max_zone_resource_share,migration_follow_events,replication_throttle_active_steps,capture_pressure_before,capture_pressure_after,collateral_welfare_loss,viable,action_viable
PURE_CAPTURE,action_containment_replication_throttle,2,7,0.7,4,0.24,0.55,0.7,0.55,0.22,0.08,0,3.5,25,0.0,0.0,0.13319649395317873,1.0,0.0,0.0,0.33333333333333326,3.0,0.7301512882304623,0.6431733258526927,0.5730576010114312,0.45627726528077805,0.0,59.96,65.92779387116377,0.0,0.0,0.0,65.92779387116377,0.0,0.1689833640296486,0.24277385323251807,0.0,93.0,1.7733805777356844,1.7773837284252607,0.0,0,0
PURE_CAPTURE,combined_action_containment,2,7,0.25,4,0.24,0.55,0.7,0.55,0.22,0.08,0,3.5,25,0.0,0.0,0.13319649395317873,1.0,0.0,0.0,0.33333333333333326,3.0,0.7219749392459534,0.6454129731468546,0.5670929812355474,0.31781280016885877,0.0,57.28,64.30398900088832,87.6,0.8810809578084579,87.6,64.30398900088832,0.9819213242421386,0.16742480823484807,0.23585734713788742,87.6,87.6,1.7703735853266949,1.7742867038886547,0.0,0,0
PURE_CAPTURE,combined_action_containment,2,7,0.45,4,0.24,0.55,0.7,0.55,0.22,0.08,0,3.5,50,0.0,0.0,0.07135003417431873,1.0,0.0,0.0,0.33333333333333326,3.0,0.724577134382651,0.6452771424141326,0.5691483131709968,0.4729466483635701,0.0,56.84,62.968384010558175,94.84,1.575753444768502,94.84,62.968384010558175,2.6425548047629066,0.16732687244796124,0.23592481216568054,94.84,94.84,1.771395845233414,1.7753064525136526,0.0,0,0
PURE_CAPTURE,combined_action_containment,2,7,0.7,4,0.24,0.55,0.7,0.55,0.22,0.08,0,3.5,25,0.0,0.0,0.13319649395317873,1.0,0.0,0.0,0.33333333333333326,3.0,0.7278291809028198,0.6456159954701025,0.5720771111302908,0.6163501489595508,0.0,57.84,61.070466793180415,109.64,2.572819601444346,109.64,61.070466793180415,4.904153861304144,0.16708649834775235,0.23576718026361743,109.64,109.64,1.7724961999573228,1.7764124782490591,0.0,0,0
PURE_CAPTURE,combined_action_containment_plus_diversity,2,7,0.25,4,0.24,0.55,0.7,0.55,0.22,0.08,0,3.5,25,0.0,0.0,0.13319649395317873,1.0,0.0,0.0,0.33333333333333326,3.0,0.7125768004315344,0.6457718573662622,0.6643817800665972,0.3178144342242698,0.0,57.28,64.19598006301301,87.6,0.8811268988495261,87.6,64.19598006301301,0.9820073360416379,0.16728641129970273,0.2354693204217235,87.6,87.6,1.7680744838422853,1.7719408971583261,0.0,0,0
PURE_CAPTURE,combined_action_containment_plus_diversity,2,7,0.45,4,0.24,0.55,0.7,0.55,0.22,0.08,0,3.5,25,0.0,0.0,0.13319649395317873,1.0,0.0,0.0,0.33333333333333326,3.0,0.715169739639544,0.6454578962316784,0.6667895441230286,0.47294677060849016,0.0,56.84,62.86546073844227,94.84,1.5757499847901235,94.84,62.86546073844227,2.6425717168180514,0.16676437767524166,0.2353307251864374,94.84,94.84,1.769236499220306,1.773098994046545,0.0,0,0
PURE_CAPTURE,combined_action_containment_plus_diversity,2,7,0.7,4,0.24,0.55,0.7,0.55,0.22,0.08,0,3.5,25,0.0,0.0,0.13319649395317873,1.0,0.0,0.0,0.33333333333333326,3.0,0.7188520995442641,0.6461090550820626,0.6654574302068906,0.6163511333149648,0.0,57.84,60.97804985965957,109.64,2.5728179883943185,109.64,60.97804985965957,4.90417562716172,0.16656551836672587,0.2360882581317909,109.64,109.64,1.7705422736636904,1.7744114220671918,0.0,0,0
PURE_CAPTURE,combined_action_containment_plus_response_to_aid,2,7,0.25,4,0.24,0.55,0.7,0.55,0.22,0.08,0,3.5,25,0.0,0.0,0.13319649395317873,1.0,0.0,0.0,0.33333333333333326,3.0,0.7063900984530197,0.6578767881542746,0.5581844957929343,0.32403986278518665,0.0,56.28,65.79690180625998,88.0,0.40299845684857155,88.0,65.79690180625998,0.4134805025136328,0.15542752136907545,0.23989830952833016,88.0,88.0,1.764355798833204,1.7682654739435264,0.0,0,0
PURE_CAPTURE,combined_action_containment_plus_response_to_aid,2,7,0.45,4,0.24,0.55,0.7,0.55,0.22,0.08,0,3.5,25,0.0,0.0,0.13319649395317873,1.0,0.0,0.0,0.33333333333333326,3.0,0.7082670633788293,0.6584445252404235,0.5608455885636731,0.46051801776096274,0.0,56.24,64.69341321365509,89.52,0.5912292667963506,89.52,64.69341321365509,0.9010745850874784,0.15323403073810465,0.23830650004391082,89.52,89.52,1.767174101288846,1.7710500995384777,0.0,0,0
PURE_CAPTURE,combined_action_containment_plus_response_to_aid,2,7,0.7,4,0.24,0.55,0.7,0.55,0.22,0.08,0,3.5,25,0.0,0.0,0.13319649395317873,1.0,0.0,0.0,0.33333333333333326,3.0,0.7093747585971645,0.6589489037516971,0.5642389418431807,0.586422043292012,0.0,60.08,63.15346105294396,97.04,1.1319023741214065,97.04,63.15346105294396,2.0078090933801223,0.15239971338683297,0.23841567730547875,97.04,97.04,1.7694820658532928,1.773339511268905,0.0,0,0
PURE_CAPTURE,response_to_neighbor_aid,2,7,0.45,4,0.24,0.55,0.7,0.55,0.22,0.08,0,3.5,25,0.0,0.0,0.13319649395317873,1.0,0.0,0.0,0.33333333333333326,3.0,0.6295102405685885,0.6571238240931947,0.5406411235224811,0.0,0.0,0.0,71.57081657307677,0.0,0.0,0.0,71.57081657307677,0.0,0.1937128211687641,0.3000032104097098,0.0,0.0,1.7477285576980288,1.7516543568587446,0.0,0,0
PURE_CAPTURE,diversity_non_adversarial_only,2,7,0.45,4,0.24,0.55,0.7,0.55,0.22,0.08,0,3.5,25,0.0,0.0,0.13319649395317873,1.0,0.0,0.0,0.33333333333333326,3.0,0.7123867896591376,0.6277958596949194,0.6330298600714209,0.0,0.0,0.0,65.47718240345799,0.0,0.0,0.0,65.47718240345799,0.0,0.17295288966608413,0.2540234177680701,0.0,0.0,1.7658370707456676,1.7697767108466869,0.0,0,0
