seed,world,policy,delay,t_irrev,R,adversarial_strength,catastrophe_severity,diversity_floor,enforcement_C,containment_C,containment_duration,concentration_threshold,escrow_rate,audit_p,audit_kappa,penalty_duration,quarantine_strictness,migration_speed,migration_cost,scavenger_enabled,permanence,collapse,capture,mean_welfare,min_welfare,adversarial_share,dove_share,total_diversity,non_adv_diversity,adv_diversity,irreversible_zone_failures,time_to_first_irreversible_failure,fraction_irreversible_zones,last_aid_updates_nonzero,neighbor_metrics_nonzero,signal_truth_corr,mutual_information,enforcement_cost_share,false_positive_punishment_rate,collateral_dove_harm,enforcement_events,strict_zero_capture,containment_cost_share,false_containment_rate,containment_events,extraction_volume,extraction_cap_active_steps,outgoing_influence_volume,influence_throttle_active_steps,aid_intercepted,aid_escrowed,resource_hhi,max_zone_resource_share,migration_follow_events,replication_throttle_active_steps,capture_pressure_before,capture_pressure_after,collateral_welfare_loss
9405,T2_sag_ambiguity_trap,always_cut_sagging,2,7,3.5,0.7,0.55,0.35,0.45,0.45,4,0.24,0.55,0.0,0.0,4,0.45,0.22,0.08,0,0.0,1.0,1.0,0.5627750922023601,0.0,0.0800415387298768,0.8688309894253696,0.3366609519616186,0.4636611528354719,0.6797419698785284,4,6,0.4444444444444444,1.0,1.0,0.9794380374253435,0.952717783001327,0.0,0.0,0.0,0,0.0,0.0,0.0,0,65.55346053240861,0,0.0,0,65.55346053240861,0.0,0.1958582081307502,0.19790438048455108,0,0,2.2773535629148327,2.278726123906607,0.0
9406,T2_sag_ambiguity_trap,always_cut_sagging,2,7,3.5,0.7,0.55,0.35,0.45,0.45,4,0.24,0.55,0.0,0.0,4,0.45,0.22,0.08,0,0.0,1.0,1.0,0.5627750874109375,0.0,0.08043847759494391,0.8683049129915555,0.3318639051131601,0.47198780071726826,0.6797295444159188,4,6,0.4444444444444444,1.0,1.0,0.9759517210540616,0.9504076712981337,0.0,0.0,0.0,0,0.0,0.0,0.0,0,65.54572232867892,0,0.0,0,65.54572232867892,0.0,0.195858208373763,0.19790438060902932,0,0,2.2721638068554495,2.273617897641994,0.0
9407,T2_sag_ambiguity_trap,always_cut_sagging,2,7,3.5,0.7,0.55,0.35,0.45,0.45,4,0.24,0.55,0.0,0.0,4,0.45,0.22,0.08,0,0.0,1.0,1.0,0.5627746792666558,0.0,0.08017587362964423,0.8686589753869774,0.33880976853478867,0.4599025899875472,0.6804736979748035,4,6,0.4444444444444444,1.0,1.0,0.9762842648448021,0.9084264491492303,0.0,0.0,0.0,0,0.0,0.0,0.0,0,65.5846512170554,0,0.0,0,65.5846512170554,0.0,0.1958582240573437,0.19790438864259766,0,0,2.27420184622197,2.2756167818963258,0.0
9408,T2_sag_ambiguity_trap,always_cut_sagging,2,7,3.5,0.7,0.55,0.35,0.45,0.45,4,0.24,0.55,0.0,0.0,4,0.45,0.22,0.08,0,0.0,1.0,1.0,0.5627761097708309,0.0,0.08055754067640541,0.8681407586998561,0.3382115370534928,0.4600815567781493,0.6790444680089487,4,6,0.4444444444444444,1.0,1.0,0.9763637904560892,0.8977111085197014,0.0,0.0,0.0,0,0.0,0.0,0.0,0,65.46592045621325,0,0.0,0,65.46592045621325,0.0,0.19585816606289147,0.19790435893621297,0,0,2.273402745652406,2.2748720654101984,0.0
9409,T2_sag_ambiguity_trap,always_cut_sagging,2,7,3.5,0.7,0.55,0.35,0.45,0.45,4,0.24,0.55,0.0,0.0,4,0.45,0.22,0.08,0,0.0,1.0,1.0,0.5627751726594008,0.0,0.08107602333891545,0.867405222003604,0.3411485007614699,0.45988146961368276,0.6799836019220326,4,6,0.4444444444444444,1.0,1.0,0.976891527902609,0.9055391490558636,0.0,0.0,0.0,0,0.0,0.0,0.0,0,65.53796133939582,0,0.0,0,65.53796133939582,0.0,0.1958582032402708,0.19790437797950988,0,0,2.2653159608829525,2.2669087009725506,0.0
9410,T2_sag_ambiguity_trap,always_cut_sagging,2,7,3.5,0.7,0.55,0.35,0.45,0.45,4,0.24,0.55,0.0,0.0,4,0.45,0.22,0.08,0,0.0,1.0,1.0,0.5627756310510927,0.0,0.08041655348415962,0.8682994838673341,0.3424224831573824,0.45822157198807684,0.6801968717499405,4,6,0.4444444444444444,1.0,1.0,0.9758717486654436,0.9011208634987009,0.0,0.0,0.0,0,0.0,0.0,0.0,0,65.50038526048313,0,0.0,0,65.50038526048313,0.0,0.1958581865748339,0.19790436944300668,0,0,2.2698434441844797,2.271368252219317,0.0
9411,T2_sag_ambiguity_trap,always_cut_sagging,2,7,3.5,0.7,0.55,0.35,0.45,0.45,4,0.24,0.55,0.0,0.0,4,0.45,0.22,0.08,0,0.0,1.0,1.0,0.5627754913779996,0.0,0.08063965664666913,0.8679818129240061,0.342236046012779,0.45766890042169783,0.6800153531866411,4,6,0.4444444444444444,1.0,1.0,0.9750672346826263,0.8708640118676431,0.0,0.0,0.0,0,0.0,0.0,0.0,0,65.49305758792146,0,0.0,0,65.49305758792146,0.0,0.19585818948251404,0.1979043709324013,0,0,2.2681094617174926,2.2696745911117477,0.0
9412,T2_sag_ambiguity_trap,always_cut_sagging,2,7,3.5,0.7,0.55,0.35,0.45,0.45,4,0.24,0.55,0.0,0.0,4,0.45,0.22,0.08,0,0.0,1.0,1.0,0.5627746670454817,0.0,0.08056084590614022,0.8681380818827737,0.3339739838388111,0.46567470311338,0.6795849619664781,4,6,0.4444444444444444,1.0,1.0,0.9775804481960314,0.9406611849541504,0.0,0.0,0.0,0,0.0,0.0,0.0,0,65.58613148712976,0,0.0,0,65.58613148712976,0.0,0.19585822444390022,0.1979043888406017,0,0,2.273074225481375,2.274506106890224,0.0
9413,T2_sag_ambiguity_trap,always_cut_sagging,2,7,3.5,0.7,0.55,0.35,0.45,0.45,4,0.24,0.55,0.0,0.0,4,0.45,0.22,0.08,0,0.0,1.0,1.0,0.5627743779782244,0.0,0.08087844186991046,0.8676876272109262,0.33543004523455955,0.46455485372387656,0.6799784976747965,4,6,0.4444444444444444,1.0,1.0,0.9758113433548136,0.8601425252256775,0.0,0.0,0.0,0,0.0,0.0,0.0,0,65.60577158672098,0,0.0,0,65.60577158672098,0.0,0.1958582347078707,0.1979043940980937,0,0,2.269755836222022,2.271259377006137,0.0
9414,T2_sag_ambiguity_trap,always_cut_sagging,2,7,3.5,0.7,0.55,0.35,0.45,0.45,4,0.24,0.55,0.0,0.0,4,0.45,0.22,0.08,0,0.0,1.0,1.0,0.5627755515827669,0.0,0.08078190513971294,0.8678239462090559,0.33971078220774115,0.45794662381444706,0.6794952001980826,4,6,0.4444444444444444,1.0,1.0,0.9762706610894373,0.9280110037190958,0.0,0.0,0.0,0,0.0,0.0,0.0,0,65.51428191764016,0,0.0,0,65.51428191764016,0.0,0.19585819040882255,0.19790437140688327,0,0,2.270779249100751,2.2722722519841434,0.0
