class_id,k,persistence,class_size
1a548869f66c2e7c,1,0.0,228
1a548869f66c2e7c,2,0.0,228
1a548869f66c2e7c,3,0.0,228
1a548869f66c2e7c,4,0.0,228
491ca705673fd562,0,1.0,228
491ca705673fd562,1,0.0,228
491ca705673fd562,2,0.0,228
491ca705673fd562,3,0.0,228
491ca705673fd562,4,0.0,228
8959232792ca88b1,0,1.0,228
8959232792ca88b1,1,1.0,228
8959232792ca88b1,2,1.0,228
8959232792ca88b1,3,1.0,228
8959232792ca88b1,4,1.0,228
d53de0fdf9ed6571,0,1.0,227
d53de0fdf9ed6571,1,1.0,227
d53de0fdf9ed6571,2,0.5,227
d53de0fdf9ed6571,3,0.5,227
d53de0fdf9ed6571,4,0.5,227
fdb58ef9a852cbdf,0,1.0,227
fdb58ef9a852cbdf,1,0.5,227
fdb58ef9a852cbdf,2,0.5,227
fdb58ef9a852cbdf,3,0.5,227
fdb58ef9a852cbdf,4,0.5,227
3eda75dd3fd8193e,0,1.0,226
3eda75dd3fd8193e,1,0.0,226
3eda75dd3fd8193e,2,0.0,226
3eda75dd3fd8193e,3,0.0,226
3eda75dd3fd8193e,4,0.0,226
6ebac04a743cc80e,0,1.0,226
6ebac04a743cc80e,1,1.0,226
6ebac04a743cc80e,2,1.0,226
6ebac04a743cc80e,3,1.0,226
6ebac04a743cc80e,4,1.0,226
d92bdf13def8dec0,0,1.0,226
d92bdf13def8dec0,1,1.0,226
d92bdf13def8dec0,2,0.0,226
d92bdf13def8dec0,3,0.0,226
d92bdf13def8dec0,4,0.0,226
e0b81fb890105b24,0,1.0,226
e0b81fb890105b24,1,0.0,226
e0b81fb890105b24,2,0.0,226
e0b81fb890105b24,3,0.0,226
e0b81fb890105b24,4,0.0,226
62a1047c5866c2f9,0,1.0,224
62a1047c5866c2f9,1,0.0,224
62a1047c5866c2f9,2,0.0,224
62a1047c5866c2f9,3,0.0,224
62a1047c5866c2f9,4,0.0,224
6b74b81c77ab30a8,0,1.0,224
6b74b81c77ab30a8,1,0.0,224
6b74b81c77ab30a8,2,0.0,224
6b74b81c77ab30a8,3,0.0,224
6b74b81c77ab30a8,4,0.0,224
85f86af669d48f90,0,1.0,224
85f86af669d48f90,1,1.0,224
85f86af669d48f90,2,0.5,224
85f86af669d48f90,3,0.5,224
85f86af669d48f90,4,0.0,224
9255006dc40fdc78,0,1.0,224
9255006dc40fdc78,1,1.0,224
9255006dc40fdc78,2,1.0,224
9255006dc40fdc78,3,1.0,224
9255006dc40fdc78,4,1.0,224
a91cd87936d8548d,0,1.0,223
a91cd87936d8548d,1,0.0,223
a91cd87936d8548d,2,0.0,223
a91cd87936d8548d,3,0.0,223
a91cd87936d8548d,4,0.0,223
d622539aadbdefcc,0,1.0,223
d622539aadbdefcc,1,1.0,223
d622539aadbdefcc,2,0.0,223
d622539aadbdefcc,3,0.0,223
d622539aadbdefcc,4,0.0,223
ac3d178dae40cba0,0,1.0,220
ac3d178dae40cba0,1,1.0,220
ac3d178dae40cba0,2,1.0,220
ac3d178dae40cba0,3,1.0,220
ac3d178dae40cba0,4,1.0,220
57fa86a7b4840e85,0,1.0,217
57fa86a7b4840e85,1,0.0,217
57fa86a7b4840e85,2,0.0,217
57fa86a7b4840e85,3,0.0,217
57fa86a7b4840e85,4,0.0,217
5e5220eb2a7fab00,0,1.0,217
5e5220eb2a7fab00,1,1.0,217
5e5220eb2a7fab00,2,1.0,217
5e5220eb2a7fab00,3,0.0,217
5e5220eb2a7fab00,4,0.0,217
d201c023f52bc1c3,0,1.0,217
d201c023f52bc1c3,1,0.0,217
d201c023f52bc1c3,2,0.0,217
d201c023f52bc1c3,3,0.0,217
d201c023f52bc1c3,4,0.0,217
5ea08d3f215b4b00,0,1.0,216
5ea08d3f215b4b00,1,0.5,216
5ea08d3f215b4b00,2,0.0,216
5ea08d3f215b4b00,3,0.0,216
5ea08d3f215b4b00,4,0.0,216
90cefc9b766e431f,0,1.0,216
90cefc9b766e431f,1,0.0,216
90cefc9b766e431f,2,0.0,216
