class_id,class_size,analyzed_pair_count,same_dag_pair_count,cross_dag_pair_count,alias_pair_count,nontrivial_pair_count,alias_pair_fraction,broken,attack_cost,old_gns,attack_auc_gns,persistence_k1,persistence_k2,persistence_k3,persistence_k4,operator_diversity,operators,depth_min,depth_max,dag_diversity,representative
d53de0fdf9ed6571,227,2,0,2,0,2,0.0,True,2.0,1.0,0.625,1.0,0.5,0.5,0.5,1,P_multi_do,5,5,227,"P(N0 | do(N3), do(N1))"
fdb58ef9a852cbdf,227,2,0,2,0,2,0.0,True,1.0,1.0,0.5,0.5,0.5,0.5,0.5,1,P_do,2,2,227,P(N1 | do(N4))
3eda75dd3fd8193e,226,2,0,2,0,2,0.0,True,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1,P_do,2,2,226,P(N0 | do(N5))
d92bdf13def8dec0,226,2,0,2,0,2,0.0,True,2.0,1.0,0.25,1.0,0.0,0.0,0.0,1,P_multi_do,5,5,226,"P(N3 | do(N2), do(N0))"
e0b81fb890105b24,226,2,0,2,0,2,0.0,True,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1,P_do,2,2,226,P(N4 | do(N5))
62a1047c5866c2f9,224,2,0,2,0,2,0.0,True,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1,P_do,2,2,224,P(N5 | do(N4))
6b74b81c77ab30a8,224,2,0,2,0,2,0.0,True,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1,P_multi_do,5,5,224,"P(N2 | do(N1), do(N0))"
85f86af669d48f90,224,2,0,2,0,2,0.0,True,2.0,1.0,0.5,1.0,0.5,0.5,0.0,1,P_multi_do,5,5,224,"P(N3 | do(N1), do(N2))"
a91cd87936d8548d,223,2,0,2,0,2,0.0,True,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1,P_multi_do,5,5,223,"P(N1 | do(N0), do(N3))"
d622539aadbdefcc,223,2,0,2,0,2,0.0,True,2.0,1.0,0.25,1.0,0.0,0.0,0.0,1,P_do,2,2,223,P(N5 | do(N3))
57fa86a7b4840e85,217,2,0,2,0,2,0.0,True,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1,P_do,2,2,217,P(N4 | do(N0))
5e5220eb2a7fab00,217,2,0,2,0,2,0.0,True,3.0,1.0,0.5,1.0,1.0,0.0,0.0,1,P_multi_do,5,5,217,"P(N3 | do(N2), do(N1))"
d201c023f52bc1c3,217,2,0,2,0,2,0.0,True,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1,P_multi_do,5,5,217,"P(N0 | do(N3), do(N2))"
5ea08d3f215b4b00,216,2,0,2,0,2,0.0,True,1.0,1.0,0.125,0.5,0.0,0.0,0.0,1,P_do,2,2,216,P(N4 | do(N2))
90cefc9b766e431f,216,2,0,2,0,2,0.0,True,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1,P_do_cond,4,4,216,"P(N2 | do(N0), N3)"
a74053cd9fbcdf58,216,2,0,2,0,2,0.0,True,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1,P_do_cond,4,4,216,"P(N2 | do(N1), N0)"
1459edfd8986a239,215,2,0,2,0,2,0.0,True,2.0,1.0,0.25,1.0,0.0,0.0,0.0,1,P_obs,2,2,215,P(N3 | N1)
3dbce805a0b141a8,215,2,0,2,0,2,0.0,True,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1,P_multi_do,5,5,215,"P(N0 | do(N2), do(N1))"
952059cd0404cb5f,215,2,0,2,0,2,0.0,True,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1,P_multi_do,5,5,215,"P(N3 | do(N0), do(N2))"
b3993b8e57f8a169,214,2,0,2,0,2,0.0,True,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1,P_multi_do,5,5,214,"P(N3 | do(N0), do(N1))"
3e1359b0723bcff4,213,2,0,2,0,2,0.0,True,1.0,1.0,0.5,0.5,0.5,0.5,0.5,1,P_do,2,2,213,P(N3 | do(N5))
deb58f5ea5753fb1,213,2,0,2,0,2,0.0,True,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1,P_do_cond,4,4,213,"P(N1 | do(N0), N2)"
1d67abcf23151a94,212,2,0,2,0,2,0.0,True,2.0,1.0,0.625,1.0,0.5,0.5,0.5,1,P_multi_do,5,5,212,"P(N3 | do(N1), do(N0))"
23d692927ea19a6c,212,2,0,2,0,2,0.0,True,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1,P_multi_do,5,5,212,"P(N0 | do(N1), do(N3))"
3cdaebde575c5b37,212,2,0,2,0,2,0.0,True,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1,P_do_cond,4,4,212,"P(N2 | do(N0), N1)"
6820c5d670a6d1b8,212,2,0,2,0,2,0.0,True,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1,P_multi_do,5,5,212,"P(N2 | do(N0), do(N3))"
50435e826defda84,209,2,0,2,0,2,0.0,True,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1,P_multi_do,5,5,209,"P(N1 | do(N2), do(N3))"
ea9ccc8c09fa75d7,207,2,0,2,0,2,0.0,True,4.0,1.0,0.875,1.0,1.0,1.0,0.5,1,P_obs,2,2,207,P(N1 | N3)
cb94e7d7e1f7d083,206,2,0,2,0,2,0.0,True,1.0,1.0,0.125,0.5,0.0,0.0,0.0,1,P_do_cond,4,4,206,"P(N0 | do(N2), N3)"
5a84018b7ada0f76,205,2,0,2,0,2,0.0,True,2.0,1.0,0.25,1.0,0.0,0.0,0.0,1,P_do_cond,4,4,205,"P(N1 | do(N0), N3)"
5af5480f52cf5615,204,2,0,2,0,2,0.0,True,2.0,1.0,0.625,1.0,0.5,0.5,0.5,1,P_do_cond,4,4,204,"P(N0 | do(N3), N1)"
3d44c118bbff65e9,203,2,0,2,0,2,0.0,True,2.0,1.0,0.25,1.0,0.0,0.0,0.0,1,P_multi_do,5,5,203,"P(N0 | do(N1), do(N2))"
bd14af00f41da381,203,2,0,2,0,2,0.0,True,2.0,1.0,0.25,1.0,0.0,0.0,0.0,1,P_do_cond,4,4,203,"P(N2 | do(N1), N3)"
4453fc0896b211ea,202,2,0,2,0,2,0.0,True,2.0,1.0,0.25,1.0,0.0,0.0,0.0,1,P_do_cond,4,4,202,"P(N0 | do(N1), N3)"
b49119c13665cce9,202,2,0,2,0,2,0.0,True,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1,P_do_cond,4,4,202,"P(N3 | do(N0), N1)"
3e20939de73aa357,201,2,0,2,0,2,0.0,True,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1,P_multi_do,5,5,201,"P(N1 | do(N3), do(N2))"
02045ee32d053013,197,2,0,2,0,2,0.0,True,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1,P_do_cond,4,4,197,"P(N0 | do(N2), N1)"
b480fbcf99aa331c,197,4,2,2,4,0,1.0,True,1.0,1.0,0.5,0.5,0.5,0.5,0.5,2,Blocked;Independent,3,3,120,"Blocked(N0, N2 | N1) || Independent(N0, N2 | N1)"
3106fdec81eb7cf2,196,2,0,2,0,2,0.0,True,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1,P_do_cond,4,4,196,"P(N0 | do(N1), N2)"
a11c2863198aa93b,195,2,0,2,0,2,0.0,True,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1,P_do_cond,4,4,195,"P(N3 | do(N0), N2)"
cb7d67388749b3b5,195,2,0,2,0,2,0.0,True,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1,P_do_cond,4,4,195,"P(N0 | do(N3), N2)"
e9fa4024f8762230,195,2,0,2,0,2,0.0,True,1.0,1.0,0.5,0.5,0.5,0.5,0.5,1,P_multi_do,5,5,195,"P(N1 | do(N3), do(N0))"
2b7f0d4e6e6eae6e,194,4,2,2,4,0,1.0,True,1.0,1.0,0.5,0.5,0.5,0.5,0.5,2,Blocked;Independent,3,3,120,"Blocked(N0, N1 | N3) || Independent(N0, N1 | N3)"
4c081c59a3909c3f,194,4,2,2,4,0,1.0,True,1.0,1.0,0.5,0.5,0.5,0.5,0.5,2,Blocked;Independent,3,3,119,"Blocked(N2, N0 | N3) || Independent(N2, N0 | N3)"
9ef5790eada8a129,194,2,0,2,0,2,0.0,True,1.0,1.0,0.5,0.5,0.5,0.5,0.5,1,P_do_cond,4,4,194,"P(N2 | do(N3), N1)"
2b69a96860905434,192,4,2,2,4,0,1.0,True,1.0,1.0,0.5,0.5,0.5,0.5,0.5,2,Blocked;Independent,3,3,118,"Blocked(N0, N2 | N3) || Independent(N0, N2 | N3)"
87c14dd4a70303a3,192,2,0,2,0,2,0.0,True,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1,P_do_cond,4,4,192,"P(N2 | do(N3), N0)"
87e639f5c9ed4c90,190,2,0,2,0,2,0.0,True,1.0,1.0,0.5,0.5,0.5,0.5,0.5,1,P_do_cond,4,4,190,"P(N3 | do(N1), N0)"
4499febacc3f222f,189,2,0,2,0,2,0.0,True,1.0,1.0,0.375,0.5,0.5,0.5,0.0,1,P_do_cond,4,4,189,"P(N3 | do(N1), N2)"
54ef6082de2ef264,189,2,0,2,0,2,0.0,True,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1,P_do_cond,4,4,189,"P(N1 | do(N2), N0)"
65d48fb1aa39b3e1,189,4,2,2,4,0,1.0,True,1.0,1.0,0.5,0.5,0.5,0.5,0.5,2,Blocked;Independent,3,3,115,"Blocked(N2, N1 | N0) || Independent(N2, N1 | N0)"
05894539fcdf4840,188,4,2,2,4,0,1.0,True,1.0,1.0,0.5,0.5,0.5,0.5,0.5,2,Blocked;Independent,3,3,115,"Blocked(N2, N3 | N0) || Independent(N2, N3 | N0)"
9b800db4670e2be1,187,2,0,2,0,2,0.0,True,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1,P_do_cond,4,4,187,"P(N1 | do(N2), N3)"
fcadfa2dbea901bf,187,4,2,2,4,0,1.0,True,1.0,1.0,0.5,0.5,0.5,0.5,0.5,2,Blocked;Independent,3,3,116,"Blocked(N0, N3 | N1) || Independent(N0, N3 | N1)"
a16e3db210295541,186,4,2,2,4,0,1.0,True,1.0,1.0,0.5,0.5,0.5,0.5,0.5,2,Blocked;Independent,3,3,112,"Blocked(N3, N2 | N0) || Independent(N3, N2 | N0)"
6a2060297152f5d7,183,4,2,2,4,0,1.0,True,1.0,1.0,0.5,0.5,0.5,0.5,0.5,2,Blocked;Independent,3,3,111,"Blocked(N1, N0 | N3) || Independent(N1, N0 | N3)"
