cell_id,split,seed,experiment,policy,delay,t_irrev,R,adversarial_strength,camouflage_cost,audit_p,audit_C,audit_kappa,catastrophe_frequency,catastrophe_severity,mutation_rate,migration_cost,migration_speed,diversity_floor,channel_reliability,scavenger_enabled,future_shock,permanence,collapse,capture,dove_extinct,hawk_extinct,mutant_extinct,scavenger_extinct,resource_hhi,mean_welfare_final,min_zone_welfare,geometric_welfare,recovery_time,adversarial_share,dove_share,mutation_survival,diversity,false_positive_punishment,false_negative_aid_to_hawk,scavenger_exploitation,signal_truth_corr,mutual_information,audit_cost_share,collapse_step,population_final
A_000_feature_proxy_d1_a0.25_s0.00_v0.00,heldout,9100,A,feature_proxy,1,8,8.0,0.25,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.2,0.0,0.78,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.013183888629522286,0.9521858718631019,0.03463023950697911,0.15785812236923188,0.0,0.0,0.0020805205543683544,0.3430593152135614,0.0,0.0,140,2520.516288803014
A_000_feature_proxy_d1_a0.25_s0.00_v0.00,heldout,9101,A,feature_proxy,1,8,8.0,0.25,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.2,0.0,0.78,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.012851841422651738,0.9558891299118163,0.03125902866513369,0.14846441840941038,0.0,0.0,0.002047202570121386,0.32252721395384537,0.0,0.0,140,2510.7514301584865
A_000_feature_proxy_d1_a0.25_s0.00_v0.00,heldout,9102,A,feature_proxy,1,8,8.0,0.25,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.2,0.0,0.78,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.013063811150361272,0.947796122509098,0.03914006634014573,0.1683610142925794,0.0,0.0,0.0020868131739086885,0.33299923690825983,0.0,0.0,140,2532.190144063408
A_000_feature_proxy_d1_a0.25_s0.00_v0.00,heldout,9103,A,feature_proxy,1,8,8.0,0.25,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.2,0.0,0.78,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.012963276244376128,0.9567807510632972,0.03025597269192798,0.14665624025229312,0.0,0.0,0.0020722638771529856,0.31142432796202385,0.0,0.0,140,2508.411668328252
A_000_feature_proxy_d1_a0.25_s0.00_v0.00,heldout,9104,A,feature_proxy,1,8,8.0,0.25,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.2,0.0,0.78,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.013925340992923134,0.9508115393447434,0.03526311966193727,0.1610625612840499,0.0,0.0,0.0021901374110555346,0.39810056802236854,0.0,0.0,140,2524.159521300111
A_000_feature_proxy_d1_a0.25_s0.00_v0.00,heldout,9105,A,feature_proxy,1,8,8.0,0.25,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.2,0.0,0.78,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.016583990926698072,0.9531903598727668,0.030225649200138077,0.15710438938672677,0.0,0.0,0.002560689198667427,0.3994155902986264,0.0,0.0,140,2517.860126406862
A_000_feature_proxy_d1_a0.25_s0.00_v0.00,heldout,9106,A,feature_proxy,1,8,8.0,0.25,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.2,0.0,0.78,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.015145245747923667,0.9537645704398954,0.03109018381178357,0.15394169180252046,0.0,0.0,0.00240065873641927,0.39336937326100613,0.0,0.0,140,2516.344257673692
A_000_feature_proxy_d1_a0.25_s0.00_v0.00,heldout,9107,A,feature_proxy,1,8,8.0,0.25,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.2,0.0,0.78,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0143223739152529,0.957654509853892,0.028023116230456138,0.14503034692410902,0.0,0.0,0.0023016201526785294,0.4127808096145153,0.0,0.0,140,2506.12300710118
A_000_feature_proxy_d1_a0.25_s0.00_v0.00,heldout,9108,A,feature_proxy,1,8,8.0,0.25,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.2,0.0,0.78,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.01127009766698119,0.9578200158767424,0.030909886455877285,0.14270282555952976,0.0,0.0,0.0017898199656597596,0.3075459155814925,0.0,0.0,140,2505.689962849855
A_000_feature_proxy_d1_a0.25_s0.00_v0.00,heldout,9109,A,feature_proxy,1,8,8.0,0.25,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.2,0.0,0.78,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.01248197989105128,0.958290107537851,0.029227912570698372,0.14187533344857553,0.0,0.0,0.001955152289183649,0.32767899843667375,0.0,0.0,140,2504.46079023543
