class_id,label,class_size,valid_pair_count,broken,attack_cost,auc_gns,persistence_k1,persistence_k2,persistence_k3,persistence_k4,operator_diversity,depth_max,dag_diversity,representative
8061f519a055e2f1,representation_only,231,2,False,,1.0,1.0,1.0,1.0,1.0,1,2,231,P(N5 | do(N2))
061d51f8a43f53d2,representation_only,230,2,False,,1.0,1.0,1.0,1.0,1.0,1,2,230,P(N1 | N2)
d5261fa8638ea9f5,representation_only,229,2,False,,1.0,1.0,1.0,1.0,1.0,1,5,229,"P(N2 | do(N1), do(N3))"
1a548869f66c2e7c,representation_only,228,2,False,,1.0,1.0,1.0,1.0,1.0,1,2,228,P(N2 | do(N4))
491ca705673fd562,representation_only,228,2,False,,1.0,1.0,1.0,1.0,1.0,1,2,228,P(N4 | do(N1))
8959232792ca88b1,representation_only,228,2,False,,1.0,1.0,1.0,1.0,1.0,1,2,228,P(N4 | do(N3))
d53de0fdf9ed6571,representation_only,227,2,False,,1.0,1.0,1.0,1.0,1.0,1,5,227,"P(N0 | do(N3), do(N1))"
fdb58ef9a852cbdf,representation_only,227,2,False,,1.0,1.0,1.0,1.0,1.0,1,2,227,P(N1 | do(N4))
3eda75dd3fd8193e,representation_only,226,2,False,,1.0,1.0,1.0,1.0,1.0,1,2,226,P(N0 | do(N5))
6ebac04a743cc80e,representation_only,226,2,False,,1.0,1.0,1.0,1.0,1.0,1,2,226,P(N0 | do(N4))
d92bdf13def8dec0,representation_only,226,2,False,,1.0,1.0,1.0,1.0,1.0,1,5,226,"P(N3 | do(N2), do(N0))"
e0b81fb890105b24,representation_only,226,2,False,,1.0,1.0,1.0,1.0,1.0,1,2,226,P(N4 | do(N5))
62a1047c5866c2f9,representation_only,224,2,False,,1.0,1.0,1.0,1.0,1.0,1,2,224,P(N5 | do(N4))
6b74b81c77ab30a8,representation_only,224,2,False,,1.0,1.0,1.0,1.0,1.0,1,5,224,"P(N2 | do(N1), do(N0))"
85f86af669d48f90,representation_only,224,2,False,,1.0,1.0,1.0,1.0,1.0,1,5,224,"P(N3 | do(N1), do(N2))"
