class_id,label,class_size,valid_pair_count,broken,attack_cost,auc_gns,persistence_k1,persistence_k2,persistence_k3,persistence_k4,operator_diversity,depth_max,dag_diversity,representative
ee1b864a704f7369,theory_change,211,2,False,,1.0,1.0,1.0,1.0,1.0,1,5,211,"P(N2 | do(N3), do(N1))"
50435e826defda84,theory_change,209,2,True,1.0,0.0,0.0,0.0,0.0,0.0,1,5,209,"P(N1 | do(N2), do(N3))"
ea9ccc8c09fa75d7,theory_change,207,2,True,2.0,0.5,1.0,0.5,0.5,0.0,1,2,207,P(N1 | N3)
cb94e7d7e1f7d083,theory_change,206,2,True,1.0,0.5,0.5,0.5,0.5,0.5,1,4,206,"P(N0 | do(N2), N3)"
5a84018b7ada0f76,theory_change,205,2,True,2.0,0.25,1.0,0.0,0.0,0.0,1,4,205,"P(N1 | do(N0), N3)"
5af5480f52cf5615,theory_change,204,2,False,,1.0,1.0,1.0,1.0,1.0,1,4,204,"P(N0 | do(N3), N1)"
3d44c118bbff65e9,theory_change,203,2,True,1.0,0.5,0.5,0.5,0.5,0.5,1,5,203,"P(N0 | do(N1), do(N2))"
bd14af00f41da381,theory_change,203,2,True,1.0,0.5,0.5,0.5,0.5,0.5,1,4,203,"P(N2 | do(N1), N3)"
4453fc0896b211ea,theory_change,202,2,True,3.0,0.5,1.0,1.0,0.0,0.0,1,4,202,"P(N0 | do(N1), N3)"
b49119c13665cce9,theory_change,202,2,True,1.0,0.0,0.0,0.0,0.0,0.0,1,4,202,"P(N3 | do(N0), N1)"
3e20939de73aa357,theory_change,201,2,True,1.0,0.125,0.5,0.0,0.0,0.0,1,5,201,"P(N1 | do(N3), do(N2))"
02045ee32d053013,theory_change,197,2,True,1.0,0.0,0.0,0.0,0.0,0.0,1,4,197,"P(N0 | do(N2), N1)"
b480fbcf99aa331c,theory_change,197,4,True,1.0,0.5,0.5,0.5,0.5,0.5,2,3,120,"Blocked(N0, N2 | N1) || Independent(N0, N2 | N1)"
3106fdec81eb7cf2,theory_change,196,2,True,1.0,0.0,0.0,0.0,0.0,0.0,1,4,196,"P(N0 | do(N1), N2)"
a11c2863198aa93b,theory_change,195,2,True,1.0,0.0,0.0,0.0,0.0,0.0,1,4,195,"P(N3 | do(N0), N2)"
cb7d67388749b3b5,theory_change,195,2,True,1.0,0.0,0.0,0.0,0.0,0.0,1,4,195,"P(N0 | do(N3), N2)"
e9fa4024f8762230,theory_change,195,2,True,1.0,0.5,0.5,0.5,0.5,0.5,1,5,195,"P(N1 | do(N3), do(N0))"
2b7f0d4e6e6eae6e,theory_change,194,4,True,1.0,0.5,0.5,0.5,0.5,0.5,2,3,120,"Blocked(N0, N1 | N3) || Independent(N0, N1 | N3)"
4c081c59a3909c3f,theory_change,194,4,True,1.0,0.5,0.5,0.5,0.5,0.5,2,3,119,"Blocked(N2, N0 | N3) || Independent(N2, N0 | N3)"
9ef5790eada8a129,theory_change,194,2,True,2.0,0.625,1.0,0.5,0.5,0.5,1,4,194,"P(N2 | do(N3), N1)"
4b5d05947b62026f,theory_change,193,2,False,,1.0,1.0,1.0,1.0,1.0,1,4,193,"P(N3 | do(N2), N0)"
2b69a96860905434,theory_change,192,4,True,1.0,0.5,0.5,0.5,0.5,0.5,2,3,118,"Blocked(N0, N2 | N3) || Independent(N0, N2 | N3)"
87c14dd4a70303a3,theory_change,192,2,True,1.0,0.0,0.0,0.0,0.0,0.0,1,4,192,"P(N2 | do(N3), N0)"
87e639f5c9ed4c90,theory_change,190,2,True,4.0,0.75,1.0,1.0,1.0,0.0,1,4,190,"P(N3 | do(N1), N0)"
885e0775dbe82fcc,theory_change,190,2,False,,1.0,1.0,1.0,1.0,1.0,1,4,190,"P(N3 | do(N2), N1)"
4499febacc3f222f,theory_change,189,2,True,3.0,0.75,1.0,1.0,0.5,0.5,1,4,189,"P(N3 | do(N1), N2)"
54ef6082de2ef264,theory_change,189,2,True,1.0,0.0,0.0,0.0,0.0,0.0,1,4,189,"P(N1 | do(N2), N0)"
65d48fb1aa39b3e1,theory_change,189,4,True,1.0,0.5,0.5,0.5,0.5,0.5,2,3,115,"Blocked(N2, N1 | N0) || Independent(N2, N1 | N0)"
05894539fcdf4840,theory_change,188,4,True,1.0,0.5,0.5,0.5,0.5,0.5,2,3,115,"Blocked(N2, N3 | N0) || Independent(N2, N3 | N0)"
9b800db4670e2be1,theory_change,187,2,True,1.0,0.0,0.0,0.0,0.0,0.0,1,4,187,"P(N1 | do(N2), N3)"
fcadfa2dbea901bf,theory_change,187,4,True,1.0,0.5,0.5,0.5,0.5,0.5,2,3,116,"Blocked(N0, N3 | N1) || Independent(N0, N3 | N1)"
a16e3db210295541,theory_change,186,4,True,1.0,0.5,0.5,0.5,0.5,0.5,2,3,112,"Blocked(N3, N2 | N0) || Independent(N3, N2 | N0)"
6a2060297152f5d7,theory_change,183,4,True,1.0,0.5,0.5,0.5,0.5,0.5,2,3,111,"Blocked(N1, N0 | N3) || Independent(N1, N0 | N3)"
59a8881b96fb5ada,theory_change,182,2,False,,1.0,1.0,1.0,1.0,1.0,1,4,182,"P(N1 | do(N3), N2)"
5a5194b943ca7fb0,theory_change,181,4,True,1.0,0.5,0.5,0.5,0.5,0.5,2,3,110,"Blocked(N2, N0 | N1) || Independent(N2, N0 | N1)"
9cf1065f26518c10,theory_change,181,4,True,1.0,0.5,0.5,0.5,0.5,0.5,2,3,115,"Blocked(N0, N3 | N2) || Independent(N0, N3 | N2)"
c595b30162c25e08,theory_change,178,4,True,1.0,0.5,0.5,0.5,0.5,0.5,2,3,107,"Blocked(N1, N2 | N0) || Independent(N1, N2 | N0)"
5c765713553f954a,theory_change,175,4,True,1.0,0.5,0.5,0.5,0.5,0.5,3,1,105,"Ancestor(N4, N7) || Effect(N4 -> N7) || Reachable(N4, N7)"
a3de368c5fdff3c3,theory_change,175,4,True,1.0,0.5,0.5,0.5,0.5,0.5,2,3,108,"Blocked(N2, N3 | N1) || Independent(N2, N3 | N1)"
07bc49e1c055f3b2,theory_change,174,2,False,,1.0,1.0,1.0,1.0,1.0,1,4,174,"P(N1 | do(N3), N0)"
749b3152bc4c62b7,theory_change,174,2,True,2.0,0.25,1.0,0.0,0.0,0.0,1,2,174,P(N2 | N5)
68e277f026e4f333,theory_change,173,2,True,4.0,0.75,1.0,1.0,1.0,0.0,1,2,173,P(N5 | N2)
bc0d4043cdbf6ab1,theory_change,172,4,True,1.0,0.5,0.5,0.5,0.5,0.5,2,3,104,"Blocked(N3, N0 | N1) || Independent(N3, N0 | N1)"
25572c9e75be476a,theory_change,171,4,True,1.0,0.5,0.5,0.5,0.5,0.5,2,3,104,"Blocked(N3, N0 | N2) || Independent(N3, N0 | N2)"
218c9377835c7fdd,theory_change,170,4,True,1.0,0.5,0.5,0.5,0.5,0.5,3,1,109,"Ancestor(N6, N4) || Effect(N6 -> N4) || Reachable(N6, N4)"
20441710b6474ee5,theory_change,169,4,True,1.0,0.5,0.5,0.5,0.5,0.5,3,1,102,"Ancestor(N0, N7) || Effect(N0 -> N7) || Reachable(N0, N7)"
33c20b0013778993,theory_change,169,2,True,1.0,0.0,0.0,0.0,0.0,0.0,1,2,169,P(N5 | N4)
ca5a0d4466da3a0f,theory_change,169,4,True,1.0,0.5,0.5,0.5,0.5,0.5,3,1,104,"Ancestor(N6, N2) || Effect(N6 -> N2) || Reachable(N6, N2)"
0d7619ef3e57cb35,theory_change,167,2,True,1.0,0.0,0.0,0.0,0.0,0.0,1,2,167,P(N5 | N1)
16590d791998de04,theory_change,165,4,True,1.0,0.5,0.5,0.5,0.5,0.5,3,1,71,"Ancestor(N1, N3) || Effect(N1 -> N3) || Reachable(N1, N3)"
3b2aba26cd86dc2f,theory_change,165,4,True,1.0,0.5,0.5,0.5,0.5,0.5,2,3,104,"Blocked(N0, N1 | N2) || Independent(N0, N1 | N2)"
e207c9cbf8393e9b,theory_change,165,4,True,1.0,0.5,0.5,0.5,0.5,0.5,3,1,104,"Ancestor(N6, N1) || Effect(N6 -> N1) || Reachable(N6, N1)"
1d7a1ac1513eb48c,theory_change,164,4,True,2.0,0.625,1.0,0.5,0.5,0.5,3,1,103,"Ancestor(N3, N6) || Effect(N3 -> N6) || Reachable(N3, N6)"
27e26d2341e697ad,theory_change,164,4,True,1.0,0.5,0.5,0.5,0.5,0.5,2,3,103,"Blocked(N1, N0 | N2) || Independent(N1, N0 | N2)"
cd253129c9a24d43,theory_change,164,2,True,1.0,0.0,0.0,0.0,0.0,0.0,1,2,164,P(N1 | N4)
d594b4a2418a7382,theory_change,164,4,True,3.0,0.75,1.0,1.0,0.5,0.5,2,3,98,"Blocked(N3, N2 | N1) || Independent(N3, N2 | N1)"
