system,horizon,shape,count,fraction
A_dead_control,2,"mul(s(s(_)),s(s(s(_)))) -> add(s(s(s(_))),mul(s(_),s(s(s(_))))) -> add(s(s(s(_))),add(s(s(s(_))),mul(_,s(s(s(_)))))) :: mul_succ;mul_succ",307,0.01535
A_dead_control,2,"mul(s(s(s(_))),s(s(_))) -> add(s(s(_)),mul(s(s(_)),s(s(_)))) -> s(add(s(_),mul(s(s(_)),s(s(_))))) :: mul_succ;add_succ",306,0.0153
A_dead_control,2,"mul(s(s(_)),s(_)) -> add(s(_),mul(s(_),s(_))) -> add(s(_),add(s(_),mul(_,s(_)))) :: mul_succ;mul_succ",305,0.01525
A_dead_control,2,"mul(s(s(s(_))),s(s(s(_)))) -> add(s(s(s(_))),mul(s(s(_)),s(s(s(_))))) -> add(s(s(s(_))),add(s(s(s(_))),mul(s(_),s(s(s(_)))))) :: mul_succ;mul_succ",305,0.01525
A_dead_control,2,"mul(s(s(s(_))),s(s(s(_)))) -> add(s(s(s(_))),mul(s(s(_)),s(s(s(_))))) -> s(add(s(s(_)),mul(s(s(_)),s(s(s(_)))))) :: mul_succ;add_succ",305,0.01525
A_dead_control,2,"mul(s(s(_)),s(s(_))) -> add(s(s(_)),mul(s(_),s(s(_)))) -> s(add(s(_),mul(s(_),s(s(_))))) :: mul_succ;add_succ",304,0.0152
A_dead_control,2,"mul(s(s(_)),_) -> add(_,mul(s(_),_)) -> mul(s(_),_) :: mul_succ;add_zero",303,0.01515
A_dead_control,2,"mul(s(_),s(s(s(_)))) -> add(s(s(s(_))),mul(_,s(s(s(_))))) -> add(s(s(s(_))),_) :: mul_succ;mul_zero",301,0.01505
A_dead_control,2,"mul(s(_),_) -> add(_,mul(_,_)) -> mul(_,_) :: mul_succ;add_zero",299,0.01495
A_dead_control,2,"mul(s(_),s(_)) -> add(s(_),mul(_,s(_))) -> s(add(_,mul(_,s(_)))) :: mul_succ;add_succ",296,0.0148
A_dead_control,2,"mul(s(s(s(_))),_) -> add(_,mul(s(s(_)),_)) -> add(_,add(_,mul(s(_),_))) :: mul_succ;mul_succ",288,0.0144
A_dead_control,4,"mul(_,_) -> _ :: mul_zero",661,0.03305
A_dead_control,4,"add(s(_),s(s(s(_)))) -> s(add(_,s(s(s(_))))) -> s(s(s(s(_)))) :: add_succ;add_zero",658,0.0329
A_dead_control,4,"add(s(s(s(_))),s(s(_))) -> s(add(s(s(_)),s(s(_)))) -> s(s(add(s(_),s(s(_))))) -> s(s(s(add(_,s(s(_)))))) -> s(s(s(s(s(_))))) :: add_succ;add_succ;add_succ;add_zero",651,0.03255
A_dead_control,4,"add(s(s(_)),_) -> s(add(s(_),_)) -> s(s(add(_,_))) -> s(s(_)) :: add_succ;add_succ;add_zero",648,0.0324
A_dead_control,4,"mul(_,s(s(_))) -> _ :: mul_zero",648,0.0324
A_dead_control,4,"add(_,s(_)) -> s(_) :: add_zero",643,0.03215
A_dead_control,4,"add(s(s(s(_))),s(s(s(_)))) -> s(add(s(s(_)),s(s(s(_))))) -> s(s(add(s(_),s(s(s(_)))))) -> s(s(s(add(_,s(s(s(_))))))) -> s(s(s(s(s(s(_)))))) :: add_succ;add_succ;add_succ;add_zero",642,0.0321
A_dead_control,4,"mul(_,s(s(s(_)))) -> _ :: mul_zero",641,0.03205
A_dead_control,4,"add(_,s(s(s(_)))) -> s(s(s(_))) :: add_zero",638,0.0319
A_dead_control,4,"add(_,_) -> _ :: add_zero",637,0.03185
A_dead_control,4,"add(s(s(_)),s(s(_))) -> s(add(s(_),s(s(_)))) -> s(s(add(_,s(s(_))))) -> s(s(s(s(_)))) :: add_succ;add_succ;add_zero",630,0.0315
A_dead_control,4,"add(_,s(s(_))) -> s(s(_)) :: add_zero",622,0.0311
A_dead_control,4,"add(s(s(_)),s(_)) -> s(add(s(_),s(_))) -> s(s(add(_,s(_)))) -> s(s(s(_))) :: add_succ;add_succ;add_zero",620,0.031
A_dead_control,4,"mul(_,s(_)) -> _ :: mul_zero",615,0.03075
A_dead_control,4,"add(s(s(s(_))),s(_)) -> s(add(s(s(_)),s(_))) -> s(s(add(s(_),s(_)))) -> s(s(s(add(_,s(_))))) -> s(s(s(s(_)))) :: add_succ;add_succ;add_succ;add_zero",614,0.0307
A_dead_control,4,"add(s(_),_) -> s(add(_,_)) -> s(_) :: add_succ;add_zero",599,0.02995
A_dead_control,4,"add(s(_),s(_)) -> s(add(_,s(_))) -> s(s(_)) :: add_succ;add_zero",596,0.0298
A_dead_control,4,"add(s(s(_)),s(s(s(_)))) -> s(add(s(_),s(s(s(_))))) -> s(s(add(_,s(s(s(_)))))) -> s(s(s(s(s(_))))) :: add_succ;add_succ;add_zero",590,0.0295
A_dead_control,4,"add(s(_),s(s(_))) -> s(add(_,s(s(_)))) -> s(s(s(_))) :: add_succ;add_zero",586,0.0293
A_dead_control,4,"add(s(s(s(_))),_) -> s(add(s(s(_)),_)) -> s(s(add(s(_),_))) -> s(s(s(add(_,_)))) -> s(s(s(_))) :: add_succ;add_succ;add_succ;add_zero",575,0.02875
A_dead_control,4,"mul(s(_),s(_)) -> add(s(_),mul(_,s(_))) -> add(s(_),_) -> s(add(_,_)) -> s(_) :: mul_succ;mul_zero;add_succ;add_zero",342,0.0171
A_dead_control,4,"mul(s(_),s(s(_))) -> add(s(s(_)),mul(_,s(s(_)))) -> add(s(s(_)),_) -> s(add(s(_),_)) -> s(s(add(_,_))) :: mul_succ;mul_zero;add_succ;add_succ",327,0.01635
A_dead_control,4,"mul(s(_),_) -> add(_,mul(_,_)) -> add(_,_) -> _ :: mul_succ;mul_zero;add_zero",310,0.0155
A_dead_control,4,"mul(s(_),_) -> add(_,mul(_,_)) -> mul(_,_) -> _ :: mul_succ;add_zero;mul_zero",304,0.0152
A_dead_control,4,"mul(s(_),s(s(s(_)))) -> add(s(s(s(_))),mul(_,s(s(s(_))))) -> add(s(s(s(_))),_) -> s(add(s(s(_)),_)) -> s(s(add(s(_),_))) :: mul_succ;mul_zero;add_succ;add_succ",280,0.014
A_dead_control,4,"mul(s(s(s(_))),_) -> add(_,mul(s(s(_)),_)) -> mul(s(s(_)),_) -> add(_,mul(s(_),_)) -> add(_,add(_,mul(_,_))) :: mul_succ;add_zero;mul_succ;mul_succ",175,0.00875
A_dead_control,4,"mul(s(s(_)),_) -> add(_,mul(s(_),_)) -> mul(s(_),_) -> add(_,mul(_,_)) -> add(_,_) :: mul_succ;add_zero;mul_succ;mul_zero",167,0.00835
A_dead_control,4,"mul(s(_),s(s(_))) -> add(s(s(_)),mul(_,s(s(_)))) -> s(add(s(_),mul(_,s(s(_))))) -> s(add(s(_),_)) -> s(s(add(_,_))) :: mul_succ;add_succ;mul_zero;add_succ",164,0.0082
A_dead_control,4,"mul(s(s(s(_))),_) -> add(_,mul(s(s(_)),_)) -> mul(s(s(_)),_) -> add(_,mul(s(_),_)) -> mul(s(_),_) :: mul_succ;add_zero;mul_succ;add_zero",160,0.008
A_dead_control,4,"mul(s(_),s(_)) -> add(s(_),mul(_,s(_))) -> s(add(_,mul(_,s(_)))) -> s(mul(_,s(_))) -> s(_) :: mul_succ;add_succ;add_zero;mul_zero",158,0.0079
A_dead_control,4,"mul(s(_),s(_)) -> add(s(_),mul(_,s(_))) -> s(add(_,mul(_,s(_)))) -> s(add(_,_)) -> s(_) :: mul_succ;add_succ;mul_zero;add_zero",158,0.0079
A_dead_control,4,"mul(s(s(_)),_) -> add(_,mul(s(_),_)) -> mul(s(_),_) -> add(_,mul(_,_)) -> mul(_,_) :: mul_succ;add_zero;mul_succ;add_zero",154,0.0077
A_dead_control,4,"mul(s(_),s(s(s(_)))) -> add(s(s(s(_))),mul(_,s(s(s(_))))) -> s(add(s(s(_)),mul(_,s(s(s(_)))))) -> s(add(s(s(_)),_)) -> s(s(add(s(_),_))) :: mul_succ;add_succ;mul_zero;add_succ",150,0.0075
A_dead_control,4,"mul(s(s(_)),s(_)) -> add(s(_),mul(s(_),s(_))) -> s(add(_,mul(s(_),s(_)))) -> s(mul(s(_),s(_))) -> s(add(s(_),mul(_,s(_)))) :: mul_succ;add_succ;add_zero;mul_succ",149,0.00745
A_dead_control,4,"mul(s(s(s(_))),s(_)) -> add(s(_),mul(s(s(_)),s(_))) -> s(add(_,mul(s(s(_)),s(_)))) -> s(mul(s(s(_)),s(_))) -> s(add(s(_),mul(s(_),s(_)))) :: mul_succ;add_succ;add_zero;mul_succ",134,0.0067
